Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri kitchen,Gathangari Primary,Githunguri 2,January,Primary,White,2026-01-05,Rice and Greengrams,220,219,200,19.0,0,3,17,13,3,7.0,7.0,,250,0.0,,49,2026-01-05 12:40:55,2026-01-05 13:30:06,,Food was delicious and hot,Queue was smoothly managed by the T.O.D,Being the first day in school it was 17,Successful taps was 219.Kids did not report well to school,@Pauline Gatimu
Githunguri kitchen,Kigumo Primary,Ruiru-Githunguri,January,Primary,White,2026-01-05,Rice and Greengrams,110,125,106,19.0,0,2,14,0,1,0.0,0.0,,150,0.0,,40,2026-01-05 12:40:35,2026-01-05 13:20:40,,Food was delicious,Line management was orderly assisted by the teacher on duty,We had 14 failed taps parents forgot to top up,"We had 125 actual meals served,most kids were absent since it's the opening day",@S C PCEA Kigumo Comprehensive School
Githunguri kitchen,Kihuririo Primary,Ruiru-Githunguri,January,Primary,White,2026-01-05,Rice and Greengrams,330,301,254,47.0,0,3,15,21,1,7.0,9.0,,370,0.0,,70,2026-01-05 12:50:43,2026-01-05 14:00:49,,The food was delicious,Line management was okay,Failed taps were 15,Successful taps were 254,@kihuririo primary
Githunguri kitchen,Gitombo Primary,Githunguri 1,January,Primary,White,2026-01-05,Rice and Greengrams,90,126,111,15.0,0,2,8,1,0,0.0,0.0,,150,0.0,,33,2026-01-05 12:50:36,2026-01-05 13:23:43,,Food was delicious.,Queue was manageable.,Failed taps were 8 some parents forgot to top up on time.,Actual meal served today was 126 most kids reported back to school.,@Veronica Mwaura -S/C- Gitombo primary
Githunguri kitchen,Kiambururu Primary,Githunguri 1,January,Primary,White,2026-01-05,Rice and Greengrams,180,167,148,19.0,0,3,9,1,3,2.0,2.5,,190,0.0,,67,2026-01-05 12:50:40,2026-01-05 13:57:50,,Food was delicious,Line management was smooth,Failed taps were 9.Some parents hadn't topped up on time,Actual meals served was 167.This is because there was low student turnout since it was opening day,@Kiambururu Comprehensive School
Githunguri kitchen,Giathieko Primary,Githunguri 2,January,Primary,White,2026-01-05,Rice and Greengrams,90,123,111,13.0,0,2,6,3,0,0.0,0.0,,150,0.0,,85,2026-01-05 12:40:06,2026-01-05 14:05:35,,Lunch was good,Queue management was smooth with classes transitioning well.,Failed taps register were 6,Successful taps registered were 123,@SL PCEA Kagema Comprehensive school
Githunguri kitchen,Ihiga Primary,Githunguri 1,January,Primary,White,2026-01-05,Rice and Greengrams,120,127,115,12.0,0,2,7,5,2,0.0,0.0,,150,0.0,,30,2026-01-05 12:45:28,2026-01-05 13:15:36,,Food was Enough,Queues were manageable with assistance from teacher on duty.,Today's failed taps were 7.Most parents forgot to top up their accounts being the first day of school opening.,Successful taps was 127.This was a fair number considering it's the first day of school opening.,@Naomi SC-Ihiga Comprehensive
Githunguri kitchen,Gatitu Primary,Githunguri 1,January,Primary,White,2026-01-05,Rice and Greengrams,240,252,230,22.0,0,3,12,26,8,0.0,0.0,,300,3.0,,109,2026-01-05 12:10:56,2026-01-05 14:00:08,,Food was well cooked and enough.,Lines were orderly from class to class.,"Previous failed taps were 29,a decrease today to 12 caused by parents topping up.","Successful taps today were 252,a decrease from 258 which was caused by absenteeism.",@Wambui ikonya SC Gatitu comprehensive
Githunguri kitchen,Ngewa Primary,Githunguri 2,January,Primary,White,2026-01-05,Rice and Greengrams,200,147,124,23.0,0,2,12,0,1,13.0,16.0,,150,0.0,,60,2026-01-05 12:30:46,2026-01-05 13:30:48,,Food was delicious,queue was transitioning well from class to class,we had 12 failed taps today,we had 147 successful taps served today,@Ngewa primary school.
Githunguri kitchen,Kanjai Primary,Githunguri 2,January,Primary,White,2026-01-05,Rice and Greengrams,280,187,169,18.0,0,3,3,0,1,23.0,28.0,,220,0.0,,60,2026-01-05 12:40:03,2026-01-05 13:40:13,,Food was hot and delicious,Line management was organized,Number of failed taps were 3.,Number of successful taps was relatively low compared to projection.Most students were absent and some were sent home for fees balances.,"@Haron Muiruri,SL Kanyore Primary"
