Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Kiambu kitchen,Kiambaa Primary,Kiambu Regions,January,Primary,White,2026-01-23,Rice and Western,240,222,207,15.0,0,3,23,0,0,0.0,0.0,0.0,240,0,3.0,40,2026-01-23 12:35:37,2026-01-23 13:15:56,Expecting ahigher projection since kids will not be sent home,Food was hot and delicious,Queue was well managed the help of the teacher on duty and the deputy,Failed taps increased from 22 to 23 due to delay I. Payments,Successful taps decreased from 230 to 222 due to delay in payments,@Tabitha wairimu
Kiambu kitchen,Hgm Ting'Ang'A Secondary,Kiambu Regions,January,Secondary,White,2026-01-23,Rice and Western,90,94,91,3.0,0,2,6,0,0,0.0,0.0,0.0,95,0,2.0,15,2026-01-23 13:00:13,2026-01-23 13:15:14,Projection was met,Food was hot and delicious,Excellent queue management,Failed taps decreased from 13 to 6,Actual meals increased from 86 to 94,@Tapper-Hgm Ting'ang'a Sec Sch
Kiambu kitchen,Ngemwa Secondary,Githunguri 2,January,Secondary,White,2026-01-23,Rice and Western,215,205,203,2.0,0,3,9,0,1,0.0,0.0,0.0,210,0,3.0,50,2026-01-23 12:40:52,2026-01-23 13:30:56,Students with insufficient balances will top up their accounts on time.,Food was hot and delicious,Teacher on duty helped with line management,"Number of actual meals increased from 195 to 205, students with insufficient balances topped up their accounts on time","Number of failed taps increased from 6 to 9, Students with insufficient balances reminded to top up their accounts on time",@Nicholas Tapper PCEA Ngemwa Secondary
Kiambu kitchen,Kiairia Secondary,Githunguri 2,January,Secondary,Masala,2026-01-23,Rice and Western,56,49,49,0.0,0,2,4,0,0,0.0,0.0,0.0,56,0,2.0,17,2026-01-23 13:13:08,2026-01-23 13:30:17,I expect a higher number on Monday,The food was very nice,Line management was neat,Failed taps today increased from 2 to 4 parents didn't top up their accounts on time,Successful taps decreased from 52 to 49 students they didn't show up time of tapping and others were absent,@Janet tapper kiairia secondary
Kiambu kitchen,Ak Magugu Primary,Githunguri 2,January,Primary,Masala,2026-01-23,Rice and Western,415,397,357,40.0,0,3,11,0,3,4.5,5.4,0.0,415,0,3.0,60,2026-01-23 12:20:01,2026-01-23 13:20:07,We expect a higher turnout on Monday,The food was good,The queue was orderly,The number of failed taps reduced slightly from 12 to 11. Respective accounts had not been topped up,"The number of actual meals served today reduced from 424 to 397. Being on a Friday, some students were absent",@SC Margaret Maigua - Ak magugu comprehensive
Kiambu kitchen,Kiababu Primary,Githunguri 1,January,Primary,Masala,2026-01-23,Rice and Western,270,267,249,28.0,0,2,6,0,2,1.0,1.0,0.0,270,0,2.0,40,2026-01-23 12:40:08,2026-01-23 13:20:14,Expecting similar turnout to today,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps remained the same as some parents did not manage to pay on Time,Successful taps remained the same as some parents did not manage to pay on Time,@kiaibabu primary school
Kiambu kitchen,Kahunira Secondary,Githunguri 1,January,Secondary,Masala,2026-01-23,Rice and Western,145,151,151,0.0,0,3,1,0,1,0.0,0.0,0.0,155,0,3.0,29,2026-01-23 13:00:57,2026-01-23 13:30:05,Expecting students to resume back to school who were sent for school fee,Food was delicious,Queue was well managed by TOD,"Failed taps decreased from 2 to 1, parents topped their accounts","Meals served today increased from 138 to 151, parents topped their accounts",@Tapper kahunira secondary
Kiambu kitchen,St. Joseph Gathanga Secondary,Kiambu Regions,January,Secondary,,2026-01-23,,55,48,48,,0,3,1,0,0,0.0,0.0,,55,0,3.0,6,2026-01-23 13:15:04,2026-01-23 13:20:55,55,Food was hot and delicious,The Queue was well managed by the TOD,The number reduced to 1 because of sufficient funds,The number increased by 5 because of high turnout.,@Oness Tapper St. Joseph high-school Gathanga
Kiambu kitchen,Njenga Karume Primary,Kiambu Regions,January,Primary,,2026-01-23,,190,192,182,,0,3,19,0,2,0.0,0.0,,200,0,3.0,50,2026-01-23 12:40:25,2026-01-23 13:30:29,Expecting a higher number come next week,No kids came back for second serving as no food was left.,Queue was well managed by techer on duty,Failed taps decreased from 20 to 19,Successful taps increased from 180 to 182 as we had additional Successful taps.,@Eliud Nderu Sc Njenga karume comprehensive
Kiambu kitchen,Riara Primary,Kiambu Regions,January,Primary,White,2026-01-23,Rice and Western,190,196,185,11.0,0,2,11,0,1,0.0,0.0,0.0,200,0,2.0,69,2026-01-23 12:20:29,2026-01-23 13:29:32,We expect a good turn out  on Monday,Food was delicious,Easy queue management,Failed taps have reduced from 13 to 11 some parents are still falling to top up on time,Successful taps have increased from 184 to 196 today's turn out was good,@Jeniffer -(SC) Riara primary school
Kiambu kitchen,Gathanji Secondary,Githunguri 2,January,Secondary,Masala,2026-01-23,Rice and Western,65,65,65,0.0,0,2,0,1,1,0.0,0.0,0.0,68,0,2.0,10,2026-01-23 13:20:12,2026-01-23 13:30:30,We expect a higher turnout  on Monday.,Food  was sweet and delicious.,The queue  was well managed  by the teacher on duty.,There was a decrease  in failed  taps from 1 to 0 since  parents toped up their accounts.,There  was  an increase  in successful  taps from 61 to 65 since parents  toped up their accounts.,@Purity _ tapper Gathanji sec.
Kiambu kitchen,Ack Riabai Primary,Kiambu Regions,January,Primary,Masala,2026-01-23,Rice and Western,310,335,291,44.0,0,3,7,3,5,0.0,0.0,0.0,315,0,3.0,70,2026-01-23 12:35:06,2026-01-23 13:45:11,Expecting the failed taps topped up and turn out to be good.,The food was delicious,Kids know how to queue on their own,Failed taps today is 7 compared to yesterday's 1.Most parents didn't top up their kids account,Successful taps today is 291 compared to yesterday's 305. Turn out was low though projection was met.,@Camilla (SC) ACK RIABAI PRIMARY
Kiambu kitchen,Ting'Ang'A Model,Kiambu Regions,January,Primary,Masala,2026-01-23,Rice and Western,370,381,33,42.0,0,3,16,0,4,0.0,12.0,0.0,380,0,3.0,55,2026-01-23 12:45:39,2026-01-23 13:40:44,We expect good turn up from the kids on Monday.,Food was delicious,We had neat queues.,"Our failed taps increased from 11 to 16,,most parents didn't top up on time.","Our successful taps decreased from 345 to 339,,most kids had insufficient balances today.",@Faith Mueni (SC) Ting'ang'a model.
Kiambu kitchen,Kawaida Secondary,Kiambu Regions,January,Secondary,Masala,2026-01-23,Rice and Western,95,85,85,0.0,2,3,2,0,0,0.34,0.39,0.0,90,2,3.0,20,2026-01-23 13:10:19,2026-01-23 13:30:34,Expecting higher turn out,Food was hot and delicious,Well managed,Decreased from 5 to 2 due to early payment,Increased from 82 to 85 due to higher turn out,@Rahab Wangui Chege
Kiambu kitchen,St. Joseph Riabai Secondary,Kiambu Regions,January,Secondary,Tumeric,2026-01-23,Rice and Western,130,127,127,0.0,0,3,13,1,4,0.0,0.0,0.0,140,0,3.0,30,2026-01-23 12:30:09,2026-01-23 13:00:15,We expect more students,The food was warm and delicious,The line was well managed,Failed taps increased from 5 to 13 this is because some students had not topped up their accounts,Successful taps decreased from 120 to 127 this is because some students had insufficient funds in their accounts,@Kwamboka (T) St.​joseph riabai secondary (edited)
Kiambu kitchen,Cianda Secondary,Kiambu Regions,January,Secondary,Masala,2026-01-23,Rice and Western,145,137,137,0.0,0,3,5,0,0,0.0,0.0,0.0,145,0,3.0,20,2026-01-23 13:20:01,2026-01-23 13:40:08,Expecting a higher turn out on Monday,Food was hot and delicious,Ques well managed,Failed taps yesterday were 5 and today's failed taps were 5,Successful taps yesterday were 137 and today's successful taps 137,@Valentine -Tapper Cianda Secondary
Kiambu kitchen,Chief Wandie Primary,Kiambu Regions,January,Primary,Masala,2026-01-23,Rice and Western,320,318,287,31.0,0,1,10,0,1,0.0,0.0,0.0,330,0,1.0,60,2026-01-23 12:40:00,2026-01-23 13:40:00,Projecting 330 hoping for a higher turnout,Food was hot and delicious,Line management was excellent,10 failed taps compared to yesterday’s 13 due to insufficient funds,318 actual meals served compared to yesterday’s 330 a decrease because Friday’s turnout is usually low,@Washeke-SC-Chief Wandie Pri
Kiambu kitchen,Ngemwa Primary,Githunguri 2,January,Primary,Masala,2026-01-23,Rice and Western,200,214,195,19.0,1,1,4,0,1,0.0,0.0,0.0,220,1,1.0,50,2026-01-23 12:30:30,2026-01-23 13:20:46,Students with insufficient balances will top up their accounts,The food was hot and delicious,queuing was well managed,Number of actual meals decreased from 220 to 214.Students with sufficient balances reminded to top up their accounts.,Failed taps decreased from 8 to 4.Students with insufficient balances topped up their accounts,@Nicholas Tapper PCEA Ngemwa Secondary
