Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri kitchen,Githima Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,250,252,233,19.0,3,2,2,0,0,0.0,0.0,,255,4,2,60,2026-03-18 12:30:21,2026-03-18 13:30:26,,Today's meal was delicious,"With the help of the deputy headteacher, queue management was smooth and orderly.",We had 2 failed taps which is an increase from yesterday's 1 failed tap.Two parents did not top up on time,We had 252 actual meals served which is an increase from yesterday's 249 actual meals served.Turn up was higher today.,@Brenda kamawe Githima primary and junior secondary school
Githunguri kitchen,Kigumo Primary,Ruiru-Githunguri,March,Primary,White,2026-03-18,Rice and Beans,165,165,149,16.0,0,2,11,0,0,0.0,0.0,,165,0,2,29,2026-03-18 12:40:42,2026-03-18 13:09:46,,Food was delicious,Line management was orderly assisted by the teacher on duty,The number of failed taps remained constant to yesterday where we had 11.,We had 165 actual meals served compared to yesterday where we had 164.This increase was led by parents topping up their accounts,@S C PCEA Kigumo Comprehensive School
Githunguri kitchen,Ihiga Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,155,157,141,16.0,0,2,0,0,0,0.0,0.0,,160,0,2,29,2026-03-18 12:40:59,2026-03-18 13:10:05,,Food was Enough,Queues were manageable,"Failed taps was 0, the same as yesterday's which was 0.Parents are topping up on time.",Successful taps were 157 a decrease from yesterday's which was 160.6 kids went for games.,@Naomi SC-Ihiga Comprehensive
Githunguri kitchen,Matuguta Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,440,439,408,31.0,4,3,15,0,1,0.0,0.0,,460,4,3,55,2026-03-18 12:30:26,2026-03-18 13:25:31,,Food was delicious and sweet,Queue was well managed,Failed taps were 15 an increase of 2 taps from yesterday's 13 failed taps.Respective parents had not topped up,Actual meals were 439 an increase of 18 taps from yesterday's 421 actual meals.Some of the absent students reported to school today.,@Matuguta primary
Githunguri kitchen,Gitombo Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,160,179,168,11.0,0,2,0,0,0,0.0,0.0,,140,0,2,60,2026-03-18 12:30:42,2026-03-18 13:30:47,,Food was delicious,Queue was manageable by the help of teacher.,Today failed taps was 0 just like yesterday the number maintained.,Actual meals served today was 179 an increase of 9 from 170 yesterday learners show up well today.,@Veronica Mwaura -S/C- Gitombo primary
Githunguri kitchen,Ikinu Primary,Githunguri 2,March,Primary,White,2026-03-18,Rice and Beans,875,861,776,87.0,0,5,28,0,3,0.0,10.0,,880,0,5,90,2026-03-18 12:15:33,2026-03-18 13:45:44,,The food was delicious,Queue management was smooth,Failed taps decreased from 52 to 28. More parents topped up,Increased from 839 to 863. More learners showed up,@SL Janet-Ikinu primary School
Githunguri kitchen,Kanjai Secondary,Githunguri 2,March,Secondary,White,2026-03-18,Rice and Beans,185,185,185,0.0,0,2,3,0,0,0.0,0.0,,185,0,2,30,2026-03-18 13:10:31,2026-03-18 13:40:01,,The meal was undercooked or hard and it was still fine.,Queue management was ordered by me and TOD.,Actual meal was 185 compared to yesterday with an increase of 2.,We  had 3 failed taps the same  as yesterday students not reminding their parents to fund their accounts.,"@mercy, tapper, kanjai secondary"
Githunguri kitchen,Mitahato Primary,Githunguri 2,March,Primary,White,2026-03-18,Rice and Beans,220,233,209,24.0,0,2,6,0,2,0.0,0.0,,230,0,2,60,2026-03-18 12:20:34,2026-03-18 13:20:40,,Food was yummy,The queue was well managed by T.OD and I,Failed taps rose by 1 because one of the consistent feeder's account had insufficient balance,The number of successful taps increased by 8 because we're to exams where almost 100% of the kids come to school,@SC George-Mitahato Comprehensive
Githunguri kitchen,Gikang'A Kageche Secondary,Githunguri 1,March,Secondary,White,2026-03-18,Rice and Beans,315,315,315,0.0,0,2,12,0,1,0.0,0.0,,320,0,2,40,2026-03-18 13:10:06,2026-03-18 13:50:11,,Food was delicious,Queue was well managed by TOD and deputy principal,Today's failed taps increased from 4 to 12.parent didn't top up on time,Today successful taps increased from 310 to 315.Turn was great,@Pauline Gatimu
Githunguri kitchen,Ngewa Primary,Githunguri 2,March,Primary,White,2026-03-18,Rice and Beans,285,286,256,30.0,0,2,14,0,2,0.0,0.0,,290,0,2,90,2026-03-18 12:00:02,2026-03-18 13:30:04,,The food was delicious,Queue was transitioning well from class to class,We had 14 failed taps today which is an increase from 13 yesterday,We had 286 actual meals served today which is an increase from 282 yesterday,@Ngewa primary school.
Githunguri kitchen,Gathugu Primary,Ruiru-Githunguri,March,Primary,White,2026-03-18,Rice and Beans,260,255,227,28.0,0,2,8,0,2,6.0,2.0,,260,0,2,60,2026-03-18 12:40:26,2026-03-18 13:40:30,,Food was delicious,Queue was orderly,Failed taps today reduced from yesterday's 14 to 8 few parents forgot to top up their accounts,"We fed 255 actual meals today compared to 250 of yesterday's, more pupils fed with us today",@SC Gathugu Comprehensive School
Githunguri kitchen,Kiawairia Secondary,Githunguri 1,March,Secondary,White,2026-03-18,Rice and Beans,55,52,52,0.0,0,2,2,0,1,4.0,1.0,,55,0,2,15,2026-03-18 13:25:04,2026-03-18 13:40:12,,Food was appetizing and yummy,Students queued neatly,Number of failed taps decreased from 3 to 2 parents topped up their accounts on time,Number of actual meals increased from 50 to 52 students are continuing to report back gradually but 10 form 4 agriculture students were sent home yesterday,@Patrick Kariuki Kiawairia secondary school Tapper
Githunguri kitchen,Kiawaiguru Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,220,232,212,20.0,1,2,2,0,0,0.0,0.0,,235,1,2,60,2026-03-18 12:30:00,2026-03-18 13:30:00,,Lunch was delicious.,Queue was oderly.,Failed taps decreased from yesterday’s 3 to today 2.A parent topped up.,Actual meals served increased from yesterday’s 224 to today 232.Most pupils reported to a higher.,@ANN SC KIAWAIGURU PRIMARY SCHOOL
Githunguri kitchen,Mathanja Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,210,196,176,20.0,0,2,2,0,0,14.0,4.0,,200,0,2,80,2026-03-18 12:10:26,2026-03-18 13:30:32,,Food was delicious,I managed the queue without any assistance,Today we had 2 failed taps an increase compared to yesterday 1. Some parents didn't top-up their accounts on time.,Today we had 196 actual meals served a decrease compared to yesterday 206. Some kids were absent today.,@mathanja primary school
Githunguri kitchen,William Ng'Iru Secondary,Githunguri 2,March,Secondary,White,2026-03-18,Rice and Beans,520,537,537,0.0,0,3,11,0,5,0.0,0.0,,530,0,3,76,2026-03-18 12:40:22,2026-03-18 13:56:28,,Food was hot and delicious,Queue was well managed,"Today's failed taps are on a stand still 11, same as of the previous",Successful taps increased from 517 to 537 students turn up was high,@Tapper Dennis -william Ng'iru Secondary
Githunguri kitchen,Kiambururu Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,270,270,247,23.0,0,3,5,0,0,0.0,0.0,,275,0,3,70,2026-03-18 12:30:03,2026-03-18 13:40:08,,The food was delicious.The kids enjoyed,Line management was smooth and fast,The number of failed decreased from 8 to 5.Most parents topped up on time,Actual meals served increased from 252 to 270.There was a good student turnout today and parents had topped up,@Kiambururu Comprehensive School
Githunguri kitchen,Nyaga Primary,Githunguri 2,March,Primary,White,2026-03-18,Rice and Beans,480,482,419,63.0,0,3,16,0,4,0.0,0.0,,480,0,3,50,2026-03-18 12:40:10,2026-03-18 13:30:14,,The food was delicious,The queue was well organized,The number of failed taps reduced from 22 to 16.Some accounts had not been topped up,The number of actual meals served increased from 477 to 482. More learners came for lunch,@SL Nyaga Primary and Junior School-Gladys
Githunguri kitchen,Kagema Secondary,Ruiru-Githunguri,March,Secondary,White,2026-03-18,Rice and Beans,220,213,213,0.0,0,2,8,0,4,5.0,2.0,,220,0,2,20,2026-03-18 12:55:31,2026-03-18 13:15:37,,Food was delicious,Queue was manageable,Fail tap was a decrease of 8 while yesterday was 17,"Successful tap was an increase of 213, while yesterday was 212",@Tapper Kagema secondary
Githunguri kitchen,Kibichoi Primary,Ruiru-Githunguri,March,Primary,White,2026-03-18,Rice and Beans,220,224,198,26.0,3,2,9,0,5,1.0,2.0,,220,3,2,30,2026-03-18 13:00:01,2026-03-18 13:30:13,,The food was delicious,I managed the queue well,The number of failed taps increased from 5 to 9 as some parents didn't top up their accounts on time,"The number of successful taps increased from 192 to 198, as most parents topped up their accounts on time",@sc kibichoi primary school
Githunguri kitchen,Miiri Primary,Githunguri 2,March,Primary,White,2026-03-18,Rice and Beans,420,402,358,44.0,0,3,34,0,2,2.0,3.0,,415,0,3,59,2026-03-18 12:30:55,2026-03-18 13:30:01,,The food was hot and delicious.,The queue was well organized and managed by the prefects on duty and me.,"Failed taps dropped to 34 from 37 , as parents hadn't topped up on time.","Actual meals served dropped to 402 from 420, despite timely parents top-ups as we had a decrease in student turnout and high failed taps.",@SC Daniel Ng'ang'a - Miiri Primary School
Githunguri kitchen,Githiga Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,415,425,378,47.0,0,3,18,0,0,0.0,0.0,,435,0,3,54,2026-03-18 12:30:58,2026-03-18 13:25:04,,Food was well cooked,Line Management was smooth,Failed taps  decreased from 27 to 18.parents topped up their accounts.,Actual meals  increased  from 411 to 425.turn out increased.,@SC - Githiga Comprehensive
Githunguri kitchen,Thuita Primary,Ruiru-Githunguri,March,Primary,White,2026-03-18,Food Was Delicious,220,216,183,33.0,0,2,2,0,1,1.0,1.0,,215,0,2,55,2026-03-18 12:25:45,2026-03-18 13:20:38,,Food was hot and delicious,Queue was transitioning well from grade to grade,Number of failed taps increased from 1 to 2 because some parents forgot to top up,Number of actual meals decreased from 225 to 215 because we didn't have bananas today,@SC Thuita Comprehensive school
Githunguri kitchen,Komothai Primary,Githunguri 2,March,Primary,White,2026-03-18,Rice and Beans,180,175,153,22.0,0,2,6,0,0,1.0,2.0,,175,0,2,50,2026-03-18 12:40:36,2026-03-18 13:30:41,,Food was yummy,Kids were organized,"Failed taps decreased from 8 to 6, some parents remembered to top up","Actual meals decreased from 180 to 175, some students were absent",@SC Komothai Comprehensive
Githunguri kitchen,Matuguta Secondary,Githunguri 1,March,Secondary,White,2026-03-18,Rice and Beans,90,92,92,0.0,0,2,7,0,0,0.0,0.0,,95,0,2,15,2026-03-18 12:45:43,2026-03-18 13:00:48,,Food was hot and delicious,Queues were orderly and well managed by me,"Failed taps today increased from 02 yesterday to 07 today,most of the parents didn't top up on time",Successful taps today increased from 83 yesterday to 92,@Njeri -Matuguta secondary school
Githunguri kitchen,Kambui Primary,Githunguri 2,March,Primary,White,2026-03-18,Rice and Beans,250,240,187,53.0,0,2,7,0,0,3.0,3.5,,240,0,2,70,2026-03-18 12:50:56,2026-03-18 14:00:57,,The food was delicious,The line was well managed,We had 7 failed taps a lower number compared to yesterday's that were 10.,We had 187 successful taps a lower number compared to yesterday's that were 191. Some kids did not come for lunch since they had a cooking project for homescience.,@Kambui Primary and Junior School
Githunguri kitchen,Kiawairia Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,125,121,109,12.0,4,2,9,0,0,1.0,1.0,,125,4,2,90,2026-03-18 12:00:04,2026-03-18 13:30:10,,Food was hot and delicious,Lines were neat and organized,We had 9 failed taps an increase from 4 some parents didn't top up on time,We had 109.sucessful taps an increase from 105 turn out was okay,@Mary kimani SC kiawairia comprehensive school
Githunguri kitchen,Gataka Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,285,294,268,26.0,0,2,11,0,1,0.0,0.0,,300,0,2,68,2026-03-18 12:34:27,2026-03-18 13:42:32,,The food was delicious,The queue was well managed by the school coordinator,"The number of failed taps rose from 4 to 11, some parents failed to make timely payments for their kids.","The number of actual meals dropped from 298 to 294, 7 kids were out for games and they were not feeding with us.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
Githunguri kitchen,Nyaga Secondary,Githunguri 2,March,Secondary,White,2026-03-18,Rice and Beans,320,352,352,0.0,0,3,13,0,5,0.0,0.0,,360,0,3,30,2026-03-18 12:40:04,2026-03-18 13:10:15,,Food was hot and delicious,Line was quick and manageable,"Had a decrease from 14 to 13,,,1 student's meal card was recharged.","Had an increase from 308 to 352,,,44 more students' accounts had funds and they turned up for lunch today.",@Hellen Tapper P.C.E.A Nyaga Senior School
Githunguri kitchen,Mitahato Secondary,Githunguri 2,March,Secondary,White,2026-03-18,Rice and Beans,40,42,42,0.0,0,2,6,0,0,0.0,0.0,,40,0,2,10,2026-03-18 12:45:00,2026-03-18 12:55:05,,Lunch was well prepared and balanced,The students were served in the order they arrived at,The number of failed taps increased from 3 to 6 today compared to yesterday's because parents forgot to top up,The number increased from 38_42 compared to yesterday's because more students ate today,"@minne,Tapper Mitahato Secondary"
Githunguri kitchen,Githioro Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,340,339,304,35.0,0,2,4,0,0,0.0,0.0,,345,0,2,100,2026-03-18 12:05:06,2026-03-18 13:45:20,,The food was appetising,Line management was organised assisted by tod,Failed taps reduced from 9 yesterday to 4 today.,"Successful taps reduced from 344 to 339, five kids were absent today representing the school in games competition.",@SC - Githioro Comprehensive School
Githunguri kitchen,Giathieko Primary,Githunguri 2,March,Primary,White,2026-03-18,Rice and Beans,185,190,179,11.0,0,2,5,0,0,0.0,0.0,,200,0,2,15,2026-03-18 12:50:04,2026-03-18 13:05:10,,Lunch was delicious,Line transitioned well from class to class.,"From 7 failed taps to 5, parents topped up students accounts on time.",Successful taps decreased from 195 to 190 as a result of7 students went for games and didn't feed.,"@SC, Giathieko Comprehensive -Rose"
Githunguri kitchen,Gatina Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,380,437,388,49.0,0,3,12,0,0,0.0,0.0,,440,0,3,105,2026-03-18 12:35:47,2026-03-18 14:20:55,,Food was delicious,Line was smooth and orderly,"Failed taps increased from 7 to 12 , majority of parents didn't manage to credit accounts on time","Actual meal served were 437 an increase compared to yesterday's number of 423,the number raised due date More accounts had sufficient funds.",@Kang'ethe Dennis
Githunguri kitchen,Gitiha Secondary,Githunguri 1,March,Secondary,White,2026-03-18,Rice and Beans,160,158,158,0.0,0,2,0,0,0,0.0,0.0,,160,0,2,76,2026-03-18 12:40:00,2026-03-18 13:56:06,,Food was delicious,Queue was smooth and manageable,No failed taps compared to the previous day from 1 to 0,Increased number of successful taps compared to the previous day from 157 to 158,"@Jecinta muthoni Gitonga-Gitiha secondary school, Tapper"
Githunguri kitchen,Gathiruini Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,240,245,225,20.0,0,2,3,0,2,0.0,0.0,,245,0,2,60,2026-03-18 12:30:28,2026-03-18 13:30:34,,Lunch was delicious,Line management was good with help of teacher on duty,Failed taps today were 3 a decrease from 6 this is because parents topped up their accounts on time,Actual meals served today were 245 an increase from 241 this is because parents topped up their accounts on time,@Catherine Wanjiru
Githunguri kitchen,Njunu Primary,Githunguri 1,March,Primary,White,2026-03-18,Rice and Beans,260,226,243,17.0,0,2,2,0,2,10.0,8.0,,250,0,2,45,2026-03-18 12:40:17,2026-03-18 13:25:35,,Food was delicious,Queue was well managed,They have reduced since parents were reminded to top up the account by the help of the deputy,They have reduced students are out for games,@Sc Elizabeth -Njunu primary school
Githunguri kitchen,Kigumo Secondary,Ruiru-Githunguri,March,Secondary,White,2026-03-18,Rice and Beans,110,115,115,0.0,0,2,4,0,0,0.0,0.0,,120,0,2,20,2026-03-18 13:00:08,2026-03-18 13:20:18,,Food was hot and sweet,Queue was smooth,Failed taps increased with 1 from the previous day,Successful taps increased from 110 to 115,@daniel Kariuki
