Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Kiambu kitchen,Njenga Karume Primary,Kiambu Regions,March,Primary,,2026-03-06,,210,180,165,,0,3,17,0,0,,2.0,,210,0,3,40,2026-03-06 12:40:19,2026-03-06 13:20:23,Expecting a normal turnout as there a no events.,9 kids with sufficient balances came back for second serving,Queue was well managed by techer on duty,Failed taps increased from 15 to 17 as some parents hadn't topped up.,*Successful taps decreased from 179 to 165 mainly because of low turnout as there were games today and some kids dint report.,@Eliud Nderu Sc Njenga karume comprehensive
Kiambu kitchen,St. Augustine Gatono Primary,Kiambu Regions,March,Primary,,2026-03-06,,170,170,150,,2,3,9,0,1,,0.0,,180,2,3,60,2026-03-06 12:30:07,2026-03-06 13:30:14,Expecting higher turn out next day,Food was delicious,Queue was well managed,Failed taps decreased from 10 to 9 as parents topped up on time,*Successful taps decreased from 153 to 150 as some kids were absent,@Anne Njoroge -SC St.?Augustine
Kiambu kitchen,Ting'Ang'A Secondary,Kiambu Regions,March,Secondary,White,2026-03-06,Rice and Beans,100,108,100,8.0,0,4,7,0,1,0.0,0.0,0.0,100,0,4,14,2026-03-06 13:30:56,2026-03-06 13:45:04,Hopping for a better turn out on Monday,The food was hot and delicious,Queue was neat and manageable,Today's failed taps were 7 which was a decrease from yesterday's taps due to parent topping up on time,Today successful taps were 100 which was an increase from yesterdays taps due to higher turn outs,@Brenda Kamau Tapper Ting'ang'a Secondary school
Kiambu kitchen,Cianda Secondary,Kiambu Regions,March,Secondary,White,2026-03-06,Rice and Beans,135,129,128,1.0,0,3,19,0,0,2.0,2.0,0.0,135,0,3,25,2026-03-06 13:20:02,2026-03-06 13:45:16,Expecting a higher turn out tomorrow,Food was hot and delicious,Queue well managed,Failed taps increased 9 to 19,Successful taps remained 128 as yesterday's,@Valentine -Tapper Cianda Secondary
Kiambu kitchen,Riara Primary,Kiambu Regions,March,Primary,White,2026-03-06,Rice and Beans,200,200,179,21.0,0,2,11,0,0,0.0,0.0,0.0,210,0,2,69,2026-03-06 12:20:52,2026-03-06 13:30:01,We expect a good turn out on Monday,Food was delicious,Easy queue management,Failed taps have reduced from 15 to 11 parents improved on topping up,Successful taps have reduced from 189 to 179  some students missed school,@Jeniffer -(SC) Riara primary school
Kiambu kitchen,Hgm Ting'Ang'A Secondary,Kiambu Regions,March,Secondary,White,2026-03-06,Rice and Beans,90,83,83,3.0,1,2,6,1,1,,0.0,0.0,90,1,2,15,2026-03-06 12:55:43,2026-03-06 13:10:50,Projection to be meet,Ordarate,Well managed,"Failed taps reduced by one ,,still insufficient funds in some accounts","Successful taps increased,,,some of the students sent home resumed",@Linnet Tapper Ting'ang'a HGM Sec
Kiambu kitchen,Kawaida Secondary,Kiambu Regions,March,Secondary,White,2026-03-06,Rice and Beans,90,76,76,0.0,5,3,3,0,1,0.0,0.0,0.0,95,5,3,0,2026-03-06 13:20:15,2026-03-06 13:20:20,We expect a higher turneout on Monday,Food was delicious and tasty,Queue was well managed by the teacher on duty,Failed taps decreased from 4 to 3 parents topped up on time,Successful taps decreased from 79 to 76 parents topped up late,@Njeri kawaida secondary school
Kiambu kitchen,Kiambaa Primary,Kiambu Regions,March,Primary,White,2026-03-06,Rice and Beans,240,246,228,18.0,0,3,23,0,0,0.0,0.0,0.0,250,0,3,125,2026-03-06 12:45:51,2026-03-06 14:50:59,Expecting ahigher projection as parents continue to pay,Food was hot and delicious,Queue was well managed by the help of the teacher on duty,Failed taps increased from 18 to 23 due to delay in payments,Successful taps increased 230 to 246 due to early payment,@Tabitha wairimu
Kiambu kitchen,Ack Riabai Primary,Kiambu Regions,March,Primary,White,2026-03-06,Rice and Beans,320,345,305,40.0,0,3,15,1,1,0.0,0.0,0.0,330,0,3,85,2026-03-06 12:15:28,2026-03-06 13:40:31,On Monday the turn out is usually low and high failed taps.,The food was delicious,Kids know how to queue on their own,Failed taps today is 12 compared to yesterday's 13. Parents didn't top up their kids account,Successful taps today is 305 an increase from yesterday's 293. The kids turn out was good.,@Camilla (SC) ACK RIABAI PRIMARY
Kiambu kitchen,St. Joseph Riabai Secondary,Kiambu Regions,March,Secondary,White,2026-03-06,Rice and Beans,130,116,116,0.0,0,3,7,0,2,0.5,0.5,0.0,120,0,3,30,2026-03-06 12:30:53,2026-03-06 13:00:59,We expect more students to resume to school and also top up their accounts,The food was warm and delicious,The line was well managed,Failed taps decreased by 1 from 8 to 7 one parent topped up the account,Successful taps decreased from 128 to 116 this is because some students had insufficient funds,@Kwamboka (T) St.?joseph riabai secondary
Kiambu kitchen,Mukua Secondary,Githunguri 2,March,Secondary,White,2026-03-06,Rice and Beans,75,77,77,0.0,0,2,4,0,1,0.0,0.0,0.0,85,0,2,47,2026-03-06 13:15:20,2026-03-06 14:02:30,Expecting high turn up of students,Food was good,I managed the queue,Failed taps decreased from 6 to 4.most parents topped their accounts on time,Successful taps increased from 63 to 77.most students tapped,@Mukua secondary
Kiambu kitchen,St. Peters Ndumberi Secondary,Kiambu Regions,March,Secondary,White,2026-03-06,Rice and Beans,515,483,470,13.0,0,4,9,0,1,1.0,1.0,0.0,500,0,4,35,2026-03-06 13:00:24,2026-03-06 13:35:32,Expecting the above projection since the students who had not yet,The food was very delicious,There was an easy queue management,Today's failed taps were 9 compared to yesterdays which was 11.This is because some parents topped up.,Today's successful taps were 470 compared to yesterdays which was 495.This is because there was a decrease in the turn out.,@St Peters Ndumberi secondary
Kiambu kitchen,Ndumberi Primary,Kiambu Regions,March,Primary,White,2026-03-06,Rice and Beans,820,819,747,72.0,0,5,47,0,5,0.0,0.0,0.0,820,0,5,100,2026-03-06 12:10:17,2026-03-06 13:50:24,Expecting similar turn out as today,Food was very delicious,Easy queue management,Today's failed taps were 47 compared to yesterday 52 some parents topped up,Today's successful taps were 747 same as yesterday some parents dint top up,@Ndumberi primary school
Kiambu kitchen,Githunguri Primary,Githunguri 2,March,Primary,White,2026-03-06,Rice and Beans,450,457,410,47.0,0,3,15,0,0,0.0,0.0,0.0,450,0,3,45,2026-03-06 12:40:14,2026-03-06 13:25:17,We expect an increase on Monday's turn up,Food was good,Line was managed with the help of a senior teacher,"Failed taps were 15 a decrease from yesterdays 21,,respective parents didn't manage to top up on time","Successful taps were 410 an increase from yesterday's 406,,turn up was abit high",@SC- Githunguri Comprehensive
Kiambu kitchen,Kahunira Secondary,Githunguri 1,March,Secondary,White,2026-03-06,Rice and Beans,100,92,92,0.0,0,2,2,0,0,2.0,3.0,0.0,160,0,2,30,2026-03-06 12:55:19,2026-03-06 13:25:26,Expecting a higher turn up since it will be a normal school day,Food was hot and delicious,Line was well managed by TOD,"Failed taps increased from 1 to 2, parents didn't top up their account","Successful taps decreased from 158 to 92, form four students went for trip",@Tapper kahunira secondary
Kiambu kitchen,Lioki Secondary,Githunguri 2,March,Secondary,White,2026-03-06,Rice and Beans,140,124,124,0.0,0,2,10,0,1,4.8,5.6,0.0,185,0,3,20,2026-03-06 13:20:29,2026-03-06 13:40:34,a higher number on Monday,The food was hot,Queue was managed,Failed taps increase by 5 parents topped up their account,Successful taps decreased by 39 due to a lower number of students who show up,@Ann Tapper St. Vincent secondary
Kiambu kitchen,Ting'Ang'A Model,Kiambu Regions,March,Primary,White,2026-03-06,Rice and Beans,400,421,366,55.0,0,3,15,0,2,0.0,0.0,0.0,420,0,3,90,2026-03-06 12:20:46,2026-03-06 13:50:50,We expect kids to turn out in good numbers as we will be having beans stew.,Food was well prepared,We had neat queues,"Our failed taps increased from 10 to 15,,most parents didn't top up on time","Our successful taps increased from 355 to 366,,kids turn our was impressive as they like beans stew.",@Faith Mueni (SC) Ting'ang'a model.
Kiambu kitchen,Kiairia Primary,Githunguri 2,March,Primary,White,2026-03-06,Rice and Beans,220,206,184,22.0,3,2,5,0,1,3.0,3.0,0.0,220,3,2,15,2026-03-06 12:55:44,2026-03-06 13:10:51,We anticipate all kids to be present and all accounts to be updated.,The food was delicious,Queue was orderly,Failed taps decreased from 6 to 5. Respective parents didn't topup their accounts.,Successful taps decreased from 192 to 184. Some kids were absent,@SC Lilian - Kiairia comprehensive
Kiambu kitchen,Karia Secondary,Githunguri 2,March,Secondary,White,2026-03-06,Rice and Beans,50,41,41,0.0,5,2,2,0,0,0.0,0.0,0.0,50,5,2,15,2026-03-06 13:15:04,2026-03-06 13:30:10,We expect a higher turn out tomorrow,Food was delicious and enough,Line was well managed,The number of failed taps increased from 01 to 02,The number of successful taps decreased from 45 to 41,@Simon Tapper Karia secondary
Kiambu kitchen,Lioki Primary,Githunguri 2,March,Primary,White,2026-03-06,Rice and Beans,145,123,106,17.0,0,2,7,0,0,6.6,7.7,0.0,140,0,2,85,2026-03-06 13:00:37,2026-03-06 14:25:50,a higher number on Monday,The food was good,Queue was managed,Failed taps decreased by 6 parents had not topped up their account,Successful taps decreased by 18  due to a lower number of students who show up f,@Ann Tapper St. Vincent secondary
Kiambu kitchen,Ak Magugu Primary,Githunguri 2,March,Primary,White,2026-03-06,Rice and Beans,385,338,295,43.0,0,3,9,0,1,11.8,14.1,0.0,380,0,3,40,2026-03-06 12:25:51,2026-03-06 13:05:58,Normal school day,The food was delicious,The queue was orderly,The number of failed taps increased slightly from 7 to 9. The accounts had not been topped up,The number of successful taps reduced from 356 to 295. Some students had gone for games and didn't feed with us,@SC Margaret Maigua - Ak magugu comprehensive
Kiambu kitchen,Benson Njau Primary,Kiambu Regions,March,Primary,White,2026-03-06,Rice and Beans,420,424,375,49.0,0,3,23,0,3,0.0,0.0,0.0,430,0,3,89,2026-03-06 12:15:09,2026-03-06 13:43:43,"Anticipating a better turn up, hoping parents will top-up on time on Monday.",The food was well-prepared.,The ques were neat and manageable.,Failed taps increased from 20 to 23 due to delayed top-ups by parents.,Successful taps slightly increased from 370 to 375 due to a slight improvement in today's turn out.,@Serah (SC) Benson Njau Primary
Kiambu kitchen,Gicoco Primary,Kiambu Regions,March,Primary,White,2026-03-06,Rice and Beans,368,376,337,39.0,0,3,20,0,2,0.0,0.0,0.0,370,0,3,90,2026-03-06 12:20:18,2026-03-06 13:50:23,Kids will have a heavy break snack hence affecting the turn up,Food was delicious,Queue was manageable,Failed taps increased from 20 to 17 some parents didn't top up on time,Successful taps reduced from 347 to 337 lower turn up as kids had a heavy break snack,@Anne (SC) Gicoco comprehensive
Kiambu kitchen,Riara Secondary,Kiambu Regions,March,Secondary,White,2026-03-06,Rice and Beans,105,96,96,0.0,0,2,7,0,3,1.0,1.0,0.0,105,0,2,30,2026-03-06 13:10:00,2026-03-06 13:40:00,We expect the projection to be constant with follow-ups,Food quality and quantity was okay,No issues with queue management,Successful taps droped to 96 from 104 in yesterday,Failed taps were 7 and increase of 2 from yesterdays,@Tapper Riara Sec
Kiambu kitchen,Kiairia Secondary,Githunguri 2,March,Secondary,White,2026-03-06,Rice and Beans,55,42,42,0.0,0,2,3,0,0,0.0,0.0,0.0,55,0,2,11,2026-03-06 22:30:14,2026-03-06 22:40:48,I expect a higher number on Monday,The food was very sweet,Line management was neat helped by the teacher on duty,Failed taps remind as yesterday was 3,Successful taps decreased from 51 to 42 some students were absent,@Janet tapper kiairia secondary
Kiambu kitchen,Gathanji Primary,Githunguri 2,March,Primary,White,2026-03-06,Rice and Beans,340,338,304,34.0,0,3,16,0,2,0.0,0.0,0.0,330,0,3,139,2026-03-06 12:40:48,2026-03-06 15:00:02,We have projected 330 coz on Monday the turn out is usually low,The food was delicious and nutritious,Queue was managed by teacher on duty,Failed taps were 16 a decrease from 21 parents did top up on time,Successful taps were 304 an increase from 290 parents did top up on time,@SC Kepha Wangengi_Gathanji Comprehensive school
Kiambu kitchen,Githunguri Tech Secondary,Githunguri 1,March,Secondary,White,2026-03-06,Rice and Beans,222,196,196,0.0,0,2,10,2,3,5.0,7.0,0.0,220,0,2,34,2026-03-06 13:25:41,2026-03-06 14:00:02,We expect a rise of successful taps on Monday,Food was delicious and warm,The queue was well manageable,Failed taps today was 10 which is a increase compared from 1 to 10 parents didn't top up,The actual meal served today was 196 which is a decrease compared from 208 to 196 parents didn't top up,"@Yvonne mugure, Githunguri Technical And Secondary School , Tapper"
Kiambu kitchen,Kiababu Primary,Githunguri 1,March,Primary,White,2026-03-06,Rice and Beans,290,237,209,28.0,0,2,17,0,1,13.0,16.0,0.0,250,0,2,90,2026-03-06 12:00:19,2026-03-06 13:30:40,Expecting lower turnout on a Monday,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps increased from 6 to 17 as some parents did not manage to pay on Time,"Successful taps decreased from 258 to 237 as some students refused to feed with us today being a games day while others ,the parents did not manage to pay on Time",@kiaibabu primary school
