Kitchen,School,School_Type,Date,Menu,Rice_variant,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Lunch_Time_Min,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
kiambu kitchen,Ciiko Primary,Primary,2026-01-08,Rice and Beans,White,730,796,748,48,0,5,17,84,8,0.0,0.0,0.0,840,0,5.0,2026-01-08 12:40:13,2026-01-08 14:15:21,95,We don't expect  more turned tomorrow but not that great. All new comers were expected today,Food was hot and delicious,Queue was managed by teacher on duty,Failed taps remained same as yesterday 17.,Successful taps increased from 608 to 748,@Ciiko Comprehensive school -SL- Samy Migwi
kiambu kitchen,Kahunira Secondary,Secondary,2026-01-08,Rice and Beans,White,125,126,126,0,0,3,1,0,0,0.0,0.0,0.0,140,0,3.0,2026-01-08 12:55:38,2026-01-08 13:30:05,34,Expecting students will resume back to school,Food was tasty,Queue was well managed by TOD,"Failed taps decreased from 15 to 1, majority of parents topped up their accounts","Actual meals served today increased from 98 to 126, students are resuming back to school",@Tapper kahunira secondary
kiambu kitchen,Kahunira Primary,Primary,2026-01-08,Rice and Beans,White,645,666,607,59,0,4,24,8,13,0.0,0.0,0.0,700,0,4.0,2026-01-08 12:40:09,2026-01-08 13:35:09,55,We are expecting a high turn out tomorrow,Food was hot and delicious,Queue management was well executed by teacher on duty.,"Failed taps decreased from 31 to 24, parents made timely payment.","Actual meals served today increased from 611 to 666, students are still reporting back to school.",@Mwangi Mary Kahunira Comprehensive
kiambu kitchen,Githunguri Technical & Secondary,Secondary,2026-01-08,Rice and Beans,White,140,108,108,0,0,2,2,0,2,10.0,11.0,0.0,130,0,2.0,2026-01-08 13:30:53,2026-01-08 13:52:56,22,We might have a slight decrease due tomorrow we shall have no manual dedications,Food was hot and delicious,Line management was excellent,No comparison since it was the same number as yesterday,A difference of one pupil who missed school,@Mercy Njeri Nyambura
kiambu kitchen,Kiababu Primary,Primary,2026-01-08,Rice and Beans,White,260,248,221,27,0,2,9,3,0,3.0,4.0,0.0,250,0,2.0,2026-01-08 12:40:41,2026-01-08 13:30:54,50,Expecting more kids to,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps remained the same as some parents did not manage to pay on Time,Successful taps decreased from 250 to 248 as some parents did not manage to pay on Time,@kiaibabu primary school
Githunguri,Githima Primary,Primary,2026-01-08,Rice and Beans,White,200,225,203,22,0,2,3,11,3,0.0,0.0,,230,0,,2026-01-08 12:35:11,2026-01-08 13:50:18,75,,The food was delicious,I managed the queue and the kids were disciplined today,We had 3 failed taps which is a decrease from yesterday's 6 failed taps.Most accounts were topped up on time today,We had 225 actual meals served which is an increase from yesterday's 196 actual meals served.The turn out was higher today,@Brenda kamawe Githima primary and junior secondary school
Githunguri,Gitiha Secondary,Secondary,2026-01-08,Rice and Beans,White,80,93,93,0,0,2,4,0,1,0.0,0.0,,90,0,,2026-01-08 12:40:02,2026-01-08 13:05:19,25,,Food was tasty,queue was smooth and orderly,previous day tap was a lower compared to toady's,successful taps had increased from the previous day,@Kang'ethe Dennis
Githunguri,Gathaithi Secondary,Secondary,2026-01-08,Rice and Beans,White,100,81,81,0,0,2,3,0,3,5.7,6.6,,90,0,,2026-01-08 13:17:33,2026-01-08 13:58:49,41,,Food was delicious,Queuing was troublesomeroublesome but we managed,There was a slight drop of 8 failed taps from 11 to 3,Students attendance in school dropped,@Joseph mburu nga'ang'a
Githunguri,Gathaithi Primary,Primary,2026-01-08,Rice and Beans,White,450,442,406,36,0,3,18,4,5,2.0,2.4,,450,0,,2026-01-08 12:35:03,2026-01-08 13:40:12,65,,Food was delicious,School coordinator managed the queue successfully,We had 18 failed taps a drop from 50. Some Parents topped up today but some failed,We had 442 successful taps a rise from 403,@P.C.E.A Gathaithi primary and Junior secondary school
Githunguri,Mathanja Priamry,Primary,2026-01-08,Rice and Beans,White,175,169,147,22,0,2,4,3,5,2.0,2.0,,170,0,,2026-01-08 13:00:13,2026-01-08 13:50:23,50,,food was delicious,I managed the queue without any assistance,today we had 4 failed taps an increase compared to yesterday 3. some parents didn't top-up their accounts on time.,today we had 169 actual meals served an increase compared to yesterday 162. more kids reported today.,@mathanja primary school
Githunguri,Gitombo Primary,Primary,2026-01-08,Rice and Beans,White,170,167,153,14,0,2,0,0,2,1.0,1.0,,170,0,,2026-01-08 12:30:38,2026-01-08 13:30:51,60,,Food was yummy,Queue was manageable by the help of teacher.,Today failed was 0 a decrease of 5 from 5 yesterday  parent did top up on time.,Actual meal today was 167 a decrease of 1 from 168 yesterday this is due to absenteeism.,@Veronica Mwaura -S/C- Gitombo primary
Githunguri,Gatina Primary,Primary,2026-01-08,Rice and Beans,White,410,404,350,54,0,3,10,2,3,2.0,5.0,,400,0,,2026-01-08 12:31:17,2026-01-08 13:35:26,64,,food was hot and delicious,line was smooth and orderly,"Failed taps were 10 a decrease from yesterday's number of 12,more managed to credit accounts on time","Actual meals served increased from 391 to 404,these was due to high turn up and more accounts had sufficient funds.",@Kang'ethe Dennis
Githunguri,Kiawaiguru Primary,Primary,2026-01-08,Rice and Beans,White,190,187,168,19,1,2,4,0,2,1.0,1.0,,190,1,,2026-01-08 12:30:00,2026-01-08 13:28:00,58,,Lunch was delicious,Line transitioned from class to class.,"Failed taps decreased from yesterday’s 6 to today 4.I reminded parents to top up,",Actual meals served increased from yesterday’s 186 to today 187.Parents were able to top up.,@KIAWAIGURU PRIMARY SCHOOL
Githunguri,Ihiga Primary,Primary,2026-01-08,Rice and Beans,White,155,152,138,14,0,2,2,0,0,0.0,4.0,,150,0,,2026-01-08 12:40:49,2026-01-08 13:15:06,34,,Food was Enough,Queues were manageable,Failed taps were 2 an increase from yesterday's which was 0.Parents didn't top up their accounts on time.,Successful taps were 152 a decrease of 1 from yesterday's taps which was 153.Turn up was the same as yesterday's.,@Naomi SC-Ihiga Comprehensive
Githunguri,Gathiruini Primary,Primary,2026-01-08,Rice and Beans,White,210,228,207,21,0,2,6,0,0,0.0,0.0,,235,0,,2026-01-08 12:30:25,2026-01-08 13:30:35,60,,Lunch was delicious,Line management was good with help of teacher on duty,Failed taps today were 6 a decrease from 25 this is because parents topped up their accounts on time,Actual meal served today were 228 a increase from 199 this is because parents topped up their accounts on time,@Catherine Wanjiru
Githunguri,Kiambururu Secondary,Secondary,2026-01-08,Rice and Beans,White,150,159,159,0,0,3,2,0,2,0.0,0.0,,165,0,,2026-01-08 13:20:23,2026-01-08 13:50:31,30,,The food was delicious students enjoyed the meal,line was manageable,"Failed taps today was 2 a slightly decrease from previous which was 3, some parents forgot to top up.",successful taps was 159 compared from previous which was 133 more students reported back to school.,@Salome-kiambururu secondary school
Githunguri,Gathangari Primary,Primary,2026-01-08,Rice and Beans,White,320,368,343,25,0,3,7,0,5,0.0,0.0,,380,0,,2026-01-08 12:35:15,2026-01-08 13:47:31,72,,food was delicious,Queue was smoothly managed by the teacher,Failed taps reduced from 55 to 7.Some parents forgot to top up . I have urged kids to remind their parents,Successful taps increased from 368 to 306.Most parents topped up on time while Graduated kids was rectified,@Pauline Gatimu
Githunguri,Githiga Primary,Primary,2026-01-08,Rice and Beans,White,290,243,221,22,0,3,23,0,0,4.0,6.0,,270,0,,2026-01-08 12:30:38,2026-01-08 13:51:43,81,,Food was sweet and delicious,Line Management was smooth and managable.Students queued from lower classes to upper classes with assistance from teacher on duty.,Failed taps decreased from 26 to 23.some parents topped up their accounts.,Actual meals decreased from 318 to 243.students were sent home for school fees. Hence turnout  being low.,@Nicholas-SC - Githiga Comprehensive
Githunguri,Gataka Primary,Primary,2026-01-08,Rice and Beans,White,260,263,242,21,0,2,6,0,3,0.0,0.0,,270,0,,2026-01-08 12:34:18,2026-01-08 13:37:58,64,,The food was delicious,The queue was well managed,"The number of failed taps dropped from 21 to 6, we reminded kids to request their parents to top up.","The number of actual meals rose from 245 to 263, more parents made timely payments for their kids.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
Githunguri,Kanyore Primary,Primary,2026-01-08,Rice and Beans,White,520,537,500,37,0,3,31,5,12,4.0,0.0,,550,0,,2026-01-08 12:40:00,2026-01-08 13:30:00,50,,Food was delicious,Queue was well managed,The number of failed taps reduced from yesterday’s 48 to today’s 31 because more accounts were topped up.,The number of actual taps increased from yesterday’s 505 to today’s 537 because more accounts were topped up.,@Kanyore Comprehensive School
Githunguri,Gikang'A Kageche Secondary,Secondary,2026-01-08,Rice and Beans,White,110,103,103,0,0,3,4,0,7,2.0,2.0,,120,0,,2026-01-08 13:10:07,2026-01-08 13:35:16,25,,Food was delicious,Queue was smoothly managed by the help of TOD,Today's failed taps was the same as yesterday.. parents didn't top up on time,Today's successful taps was 103 an increase from yesterday which was 77.a number of students reported back,@Pauline Gatimu
Githunguri,Kiambururu Primary,Primary,2026-01-08,Rice and Beans,White,260,252,223,29,0,3,2,1,9,1.0,1.0,,275,0,,2026-01-08 12:25:19,2026-01-08 13:30:25,65,,The food was delicious.The kids enjoyed,Line management was smooth and fast,Failed taps decreased from 5 to 2.Parents are topping up on time,Actual meals served increased from 244 to 252.This is because most parents had topped up on time,@Kiambururu Comprehensive School
Githunguri,Matuguta Primary,Primary,2026-01-08,Rice and Beans,White,440,432,401,31,3,3,15,0,3,2.0,2.0,,450,3,,2026-01-08 12:30:17,2026-01-08 13:30:22,60,,Food was delicious,Queue was well managed,Failed taps were 15 an increase of 2 from yesterday's 13 failed taps. Respective parents had not topped up.,Actual meals were 432 an increase of 4 taps from yesterday's 428 actual meals. Some students with failed taps topped up thier accounts today.,@Matuguta primary
Githunguri,Matuguta Secondary,Secondary,2026-01-08,Rice and Beans,White,90,95,95,0,0,2,1,0,3,0.0,0.0,,90,0,,2026-01-08 12:50:00,2026-01-08 13:00:35,11,,Food was hot and delicious,Queues were orderly and well managed by the help of the tod,Number of failed taps today reduced from 04 yesterday to 01 today,Successful taps today surpassed the projection which was 90 and today's was 95,@Njeri -Matuguta secondary school
Githunguri,Gatitu Primary,Primary,2026-01-08,Rice and Beans,White,330,327,299,28,0,3,8,2,7,1.0,1.0,,330,0,,2026-01-08 12:10:11,2026-01-08 13:40:30,90,,"Food was enough for all,and well cooked.",Queues transitioned swiftly under ToD's cordinance..,"A decrease in failed taps from 12 to 8 resulted by parents topping up their respective accounts,,and on time.",An increase in successful taps from 291 to 299 which was caused by accounts having enough funds for feeding.,@Wambui ikonya -sc- Gatitu comprehensive
Githunguri,Kindiga Primary,Primary,2026-01-08,Rice and Beans,White,180,172,154,18,0,2,4,3,2,2.0,1.5,,175,0,,2026-01-08 12:20:47,2026-01-08 13:20:57,60,,The food was Great.,Queues were well managed with the help of TOD.,"The number of failed taps decreased to 4 from 13,some parents still did not top up accounts.","The no of successful taps increased to 172 from yesterday's 153,Grade 7 students reported today.students are still reporting back to school.",@James Mbugua SC Kindiga Primary
Githunguri,Githioro Primary,Primary,2026-01-08,Rice and Beans,White,290,294,272,22,0,2,6,4,6,0.0,0.0,,300,0,,2026-01-08 12:35:43,2026-01-08 13:36:50,61,,Food was appetising,Line management was orderly assisted by the TOD,"Failed taps reduced from 14 to 6 , some parents remembered to top up their accounts on time.","Successful taps increased from 277 to 294 today, kids are still resuming well to school.",@GITHIORO COMPREHENSIVE
Githunguri,Kiawairia Primary,Primary,2026-01-08,Rice and Beans,White,130,123,107,16,2,2,5,2,2,2.0,2.0,,130,2,,2026-01-08 12:00:56,2026-01-08 13:30:02,89,,Food was delicious,Lines were neat and ordely,We had 5 failed taps an increase from 4 some parents didn't top up on time,We had 107 successful taps a decrease from 110 failed taps were high,@Mary kimani SC kiawairia comprehensive school
Githunguri,Kiawairia Secondary,Secondary,2026-01-08,Rice and Beans,White,25,18,18,0,0,2,1,0,0,2.0,2.0,,25,0,,2026-01-08 13:20:29,2026-01-08 13:30:35,10,,Food was appetizing and delicious,Line management was transitioning good,Number of failed taps decreased from 2 to 1 parents topped up on time,Number of actual meals decreased from 41 to 18 students were sent home yesterday for school fees hence leading to the low turnout today,@Patrick Kariuki Kiawaria secondary school Tapper
Githunguri,Mukuyu Secondary,Secondary,2026-01-08,Rice and Beans,White,200,206,206,0,0,3,10,0,3,8.0,0.0,,210,0,,2026-01-08 12:40:49,2026-01-08 13:30:13,49,,Food was delicious,Queue was well managed,In Mukuyu we had 10 failed taps    which  is more than yesterday's 5 because less accounts were topped.,Mukuyu we had 206 actual taps and yesterday were 187 because today we had more students,@Kanyore Comprehensive School
