Kitchen,School,School_Type,Date,Menu,Rice_variant,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Lunch_Time_Min,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
kiambu kitchen,Ciiko Primary,Primary,2026-01-16,Rice and Western,White,960,938,875,63,0,5,13,0,2,10.0,15.0,0.0,950,0,5.0,2026-01-16 12:30:46,2026-01-16 13:30:52,60,We expect a higher turnout  than today . Also we expect failed taps to decrease thus projecting 950,The food was hot and delicious,The queue was managed by teacher on duty,Failed taps increased from 9 to 13.,Successful taps decrease from 965 to 938,@Ciiko Comprehensive school -SL- Samy Migwi
kiambu kitchen,Kahunira Primary,Primary,2026-01-16,Rice and Western,White,690,720,657,63,0,4,21,0,5,0.0,0.0,0.0,720,0,4.0,2026-01-16 12:40:09,2026-01-16 13:35:16,55,Normal school program,"Food was hot, delicious and at good temperatures.",Queue management was well executed by teacher on duty.,Failed taps decreased slightly from 22 to 21.,Actual meals served today remained constant like yesterday which was 720.,@Mwangi Mary Kahunira Comprehensive
kiambu kitchen,Kahunira Secondary,Secondary,2026-01-16,Rice and Western,White,155,152,152,0,0,3,3,0,1,0.0,0.0,0.0,160,0,3.0,2026-01-16 13:00:57,2026-01-16 13:35:39,35,Expecting grade 10 students to,Food was delicious,Line was well managed by TOD,"Failed taps decreased from 4 to 3, parents topped up their accounts","Meals served today increased from 149 to152, parents topped up their accounts",@Tapper kahunira secondary
kiambu kitchen,Kiababu Primary,Primary,2026-01-16,Rice and Western,White,270,254,229,25,0,0,8,0,3,14.0,5.0,0.0,230,0,2.0,2026-01-16 12:40:59,2026-01-16 13:30:22,49,Expecting more kids to,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps decreased from 13 to 8 as some parents managed to pay on Time,Successful taps decreased from 264 to 263 as some parents did not manage to pay on Time,@kiaibabu primary school
Githunguri,Matuguta Secondary,Secondary,2026-01-16,Rice and Western,White,105,108,108,0,0,2,6,0,1,0.0,0.0,,110,0,,2026-01-16 13:30:57,2026-01-16 13:45:09,14,,Food was hot and delicious the kids enjoyed themselves,Queues were orderly and well managed by the help of the tod,Failed taps today were 06 higher than yesterday's 03 most of the parents didn't top up on time,Successful taps today were same as yesterday 108,@Njeri -Matuguta secondary school
Githunguri,Mathanja Priamry,Primary,2026-01-16,Rice and Western,White,195,196,177,19,0,2,0,1,0,0.0,0.0,,210,0,,2026-01-16 12:20:07,2026-01-16 13:25:31,65,,food was delicious,I managed the queue without any assistance since kids came in turns,today we had zero failed taps . I reminded the parents to top-up on time and they did.,today we had 196 actual meals served same as yesterday.,@mathanja primary school
Githunguri,Matuguta Primary,Primary,2026-01-16,Rice and Western,White,450,448,416,32,2,3,13,0,4,0.0,0.0,,450,3,,2026-01-16 12:35:04,2026-01-16 13:30:13,55,,Food was sweet and delicious,Queue was well managed,Failed taps were 13 a decrease of 1 tap from yesterday 14 failed taps . Respective parents had not topped up.,Actual meals were 448 a decrease of 9 taps from yesterday's 457 actual meals. Some students were absent today.,@Matuguta primary
Githunguri,Githiga Primary,Primary,2026-01-16,Rice and Western,White,390,396,362,34,0,3,25,3,3,0.0,0.0,,400,0,,2026-01-16 12:30:16,2026-01-16 13:46:21,76,,Food was sweet and delicious.,Line Management was smooth.,Failed taps decreased from 31 to 25. Parents  topped  up.,Actual meals  increased  from 384 to 396. Students  turnout  increased.,@Nicholas-SC - Githiga Comprehensive
Githunguri,Gathangari Primary,Primary,2026-01-16,Rice and Western,White,405,409,374,30,0,3,8,0,1,10.0,0.0,,420,0,,2026-01-16 12:20:58,2026-01-16 13:30:05,69,,Food was delicious,The queue was smoothly managed by the teacher,Failed taps reduced from 12 to 8.some parents forgot to top up on timeHave urged to remind their parents.,Successful taps retained as 409.Parents topped up on time .,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
Githunguri,Mukuyu Secondary,Secondary,2026-01-16,Rice and Western,White,305,317,317,0,0,3,9,3,14,0.0,0.0,,330,0,,2026-01-16 12:40:05,2026-01-16 13:20:16,40,,Food was delicious,Queue was well managed,Mukuyu secondary school failed taps decreases from 11 to 9 because some parents paid,Mukuyu secondary school actual taps was 317 which increases from 293 because grade 10 students are joining F4E,@Mukuyu Secondary School
Githunguri,Kiambururu Primary,Primary,2026-01-16,Rice and Western,White,280,274,244,30,0,3,8,0,0,0.0,0.0,,275,0,,2026-01-16 12:30:22,2026-01-16 13:45:30,75,,The food was delicious,Line management was smooth and fast,Failed taps decreased from 13 to 8.We still had parents who failed to top up on time,Actual meals served decreased from 275 to 274.This is because we had a high number of failed taps,@Kiambururu Comprehensive School
Githunguri,Ihiga Primary,Primary,2026-01-16,Rice and Western,White,160,165,151,14,0,2,2,2,0,0.0,0.0,,160,0,,2026-01-16 12:40:39,2026-01-16 13:15:47,35,,Food was Tasty,Queues were manageable with assistance from teacher on duty.,Failed taps were 2 a decrease from yesterday's which was 5.Parents didn't top up their accounts on time.,Successful taps were 165 an increase from yesterday's number which was 157.Today's turn up was high.,@Naomi SC-Ihiga Comprehensive
Githunguri,Gitombo Primary,Primary,2026-01-16,Rice Andwestern,White,180,162,151,11,0,2,0,0,1,5.0,5.0,,170,0,,2026-01-16 12:30:13,2026-01-16 13:30:24,60,,Food was delicious,The line was manageable since most of the learners were self driven,There was 0 failed tap a decrease of 1 from one since all parents did top up their accounts on time.,Actual meals served today was 162 a decrease of 14 from 176 due to absenteeism.,@Veronica Mwaura -S/C- Gitombo primary
Githunguri,Gatitu Primary,Primary,2026-01-16,Rice and Western,White,380,374,340,34,1,3,13,0,0,1.0,1.0,,380,1,,2026-01-16 12:15:40,2026-01-16 13:25:01,69,,Food was delicious and well balanced.,Students were moving in order and lines transitioned smoothly.,Failed taps decreased from 18 to  13 resulted by parents making timely payments.,A decrease in successful taps from 343 to 340.. students were present and availed for tapping.,@Wambui ikonya -sc- Gatitu comprehensive
Githunguri,Kanyore Primary,Primary,2026-01-16,Rice and Western,White,630,610,579,41,8,3,34,3,2,15.0,6.0,,630,8,,2026-01-16 12:40:00,2026-01-16 13:20:00,40,,Food was delicious,Queue was well managed,The number of failed taps increased from 16 to 34 since more parents failed to top up the accounts.,The number of actual taps reduced from yesterday’s 642 to today’s  610 because less accounts were topped up.,@Kanyore Comprehensive School
Githunguri,Gitiha Secondary,Secondary,2026-01-16,Rice and Western,White,130,131,131,0,0,2,9,0,0,0.0,0.0,,140,0,,2026-01-16 12:40:51,2026-01-16 13:02:56,22,,Food was enough,Queue was managable,Failed taps had decreased,Successful tap had decreassed from the previous day,@Kang'ethe Dennis
Githunguri,Gathaithi Secondary,Secondary,2026-01-16,Rice and Western,White,110,102,102,0,0,2,8,1,1,0.0,0.0,,115,0,,2026-01-16 13:20:55,2026-01-16 13:55:09,34,,Food was delicious,Queuing was managed after some struggle,We had 8 failed taps a rise from yesterday's 6 due to failure of topping up,We had 102 failed taps a drop from yesterday's 112 due to failure of topping up,@Joseph mburu nga'ang'a
Githunguri,Kiambururu Secondary,Secondary,2026-01-16,Rice and Western,White,200,189,189,0,0,3,2,5,2,1.0,2.0,,200,0,,2026-01-16 13:25:19,2026-01-16 13:50:57,26,,The food was delicious,Line was smooth,"Failed taps slightly from 3 to 2, some parents topped up in time.","Successful taps was 189 compared to previous which was 194, some students did not come for lunch",@Salome-kiambururu secondary school
