Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri kitchen,Gathaithi Primary,Githunguri 1,March,Primary,White,2026-03-11,Rice and Beans,460,468,419,49.0,0,3,14,0,1,0.0,0,,480,0,3,55,2026-03-11 12:45:35,2026-03-11 13:40:43,,Food was delicious,Line management was successful,Failed taps remained the same 14,Successful taps reduced from 481 to 468. We had 20 kids who went for games and did not feed with us.,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
Githunguri kitchen,Kanyore Primary,Githunguri 1,March,Primary,White,2026-03-11,Rice and Beans,650,654,589,65.0,4,3,24,0,0,0.0,0,,630,3,3,60,2026-03-11 12:30:51,2026-03-11 13:30:55,,Food was delicious,Line management was organized,Number of failed taps increased from 15 to 24. Reminded kids to remind their parents to top up.,Number of successful taps decreased from 663 to 654 as failed taps increased.,"@Haron Muiruri,SL Kanyore Primary"
Githunguri kitchen,Gatitu Primary,Githunguri 1,March,Primary,White,2026-03-11,Rice and Beans,360,353,315,38.0,0,3,12,0,3,2.0,2,,375,1,3,66,2026-03-11 12:20:15,2026-03-11 13:26:24,,Food was delicious and well cooked.,Queues were easy to manage since students maintained order.,Failed taps have increased from 6 to 12 due to parents who never topped up on time or never picked up when I called.,Successful taps decreased from 342 to 315 due to the 26 jss learners who attended games and other students among the jss skipped school..,@Wambui ikonya SC Gatitu comprehensive
Githunguri kitchen,Matuguta Secondary,Githunguri 1,March,Secondary,White,2026-03-11,Rice and Beans,110,109,109,0.0,0,2,8,1,0,0.0,0,,110,0,2,15,2026-03-11 13:00:17,2026-03-11 13:15:26,,Food was hot and delicious the kids enjoyed,Queues were orderly and well managed by the help of the tod,"Failed taps today increased from 04 yesterday to 08,most of the parents didn't top up on time",Successful taps today increased from 108 yesterday to 109 today,@Njeri -Matuguta secondary school
Githunguri kitchen,Miiri Secondary,Githunguri 1,March,Secondary,White,2026-03-11,Rice and Beans,30,28,28,0.0,3,2,6,1,0,0.0,0,,35,3,2,20,2026-03-11 13:10:51,2026-03-11 13:30:57,,The food was hot and yummy,Queue management was neat and organized with assistance of TOD,"Failed taps increased from 3 to 6, more parents had not topped up","Successful taps decreased from 31 to 28,less parents had topped up on time","@Esther,Tapper; Miiri Secondary School"
Githunguri kitchen,Kagema Primary,Ruiru-Githunguri,March,Primary,White,2026-03-11,Rice and Beans,750,738,738,0.0,0,3,13,1,0,13.0,4,,740,0,3,75,2026-03-11 12:40:20,2026-03-11 13:55:27,,Lunch was good and delicious,Queue management was smooth transitioning well from class to class,Failed taps reduced from 20 to 13 as more kids had sufficient accounts,Successful taps today reduced from 747 to 738 as some kids were absent today.,@SL PCEA Kagema Comprehensive school
Githunguri kitchen,Kibichoi Primary,Ruiru-Githunguri,March,Primary,White,2026-03-11,Rice and Beans,230,207,183,24.0,4,2,10,0,4,7.0,6,,230,5,2,28,2026-03-11 13:00:27,2026-03-11 13:28:38,,The food was delicious,I managed the queue well,The number of failed taps increased from 5 to 10 as some parents didn't top up their accounts on time,The number of successful taps decreased from 201 to 183 due to the failed taps and some students didn't feed with us today,@sc kibichoi primary school
Githunguri kitchen,Kihuririo Primary,Ruiru-Githunguri,March,Primary,White,2026-03-11,Rice and Beans,460,473,418,55.0,0,3,7,0,8,0.0,0,,475,0,3,50,2026-03-11 12:50:25,2026-03-11 13:40:30,,The food was yummy,Queue was manageable,Failed taps remained constant at 7 parents didn't pay.,"Successful taps increased from 450 to 473 , many students reported.",@kihuririo primary
Githunguri kitchen,Kindiga Primary,Githunguri 1,March,Primary,White,2026-03-11,Rice and Beans,170,188,171,17.0,0,2,1,0,1,0.0,0,,185,0,2,50,2026-03-11 12:40:38,2026-03-11 13:30:45,,The food was Hot and Tasty,Queues transitioned smoothly,"Failed taps decreased to 1 from 13,most parents managed to top up accounts","Successful taps increased to 188 from 163,Majority of the kids were present since it's a normal school day.",@James Mbugua SC Kindiga Primary
Githunguri kitchen,Miguta Primary,Githunguri 2,March,Primary,White,2026-03-11,Rice and Beans,240,240,223,17.0,0,2,7,0,1,0.0,0,,240,0,2,50,2026-03-11 12:50:39,2026-03-11 13:40:47,,The food was delicious,I was able to manage the queue,"There were 7 failed taps, the same as the previous tapping. Parents did not top up on time","There were 223 successful taps, an increase of 10 from the previous tapping. Our population was slightly high today",@SC Pauline - Miguta Primary School
