Kitchen,School,School_Type,Date,Menu,Rice_variant,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Lunch_Time_Min,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri,Gikang'A Kageche Secondary,Secondary,2026-01-29,Rice and Western,White,330,309,309,0,8,3,9,0,8,5.0,5.0,,315,,15.0,2026-01-29 13:10:15,2026-01-29 13:50:25,40,,Food was delicious,Queue was well managed by Tod,Today's failed tap decreased from 11 to 9.some parents topped up on time,Today's successful taps decreased from 327 to 309.Turn out was low,@Pauline Gatimu
Githunguri,Githiga Primary,Primary,2026-01-29,Rice and Western,White,420,421,379,42,3,3,26,0,1,116.0,137.0,,420,0.0,,2026-01-29 12:30:07,2026-01-29 13:49:11,79,,Food was sweet and delicious,Line Management was smooth.,Failed taps increased  from 19 to 26.  Parents forgot to top up.,Actual taps increased  from 428 to 421. Parents topped up.,@Nicholas-SC - Githiga Comprehensive
Githunguri,Kiambururu Secondary,Secondary,2026-01-29,Rice and Western,White,205,204,204,0,0,3,4,1,0,0.0,0.0,,218,0.0,,2026-01-29 13:15:28,2026-01-29 13:50:50,35,,The food was delicious,Line management was smooth,Failed taps today was 4,Successful taps today was 204 an increase from previous which was 187,@Salome-kiambururu secondary school
Githunguri,Githioro Primary,Primary,2026-01-29,Rice and Western,White,345,347,318,29,0,2,5,0,1,0.0,0.0,,335,0.0,,2026-01-29 12:32:44,2026-01-29 13:35:49,63,,Food was appetising,Line management was organised assisted by tod,"Failed taps Remained same as yesterday 5, some parents forgot to top up their accounts on time","Successful taps increased from 346 to 347, kids turned up well today.",@GITHIORO COMPREHENSIVE
Githunguri,Gathaithi Primary,Primary,2026-01-29,Rice and Western,White,465,475,425,51,2,3,13,0,0,0.0,0.0,,470,2.0,,2026-01-29 12:45:54,2026-01-29 13:45:10,59,,Food was great,One teacher assisted with queue management,Failed taps dropped from 17 to 13.,Actual meals served increased from 461 to 475.,@P.C.E.A Gathaithi primary and Junior secondary school
Githunguri,Kiambururu Primary,Primary,2026-01-29,Rice and Western,White,280,286,257,29,0,3,9,0,1,0.0,0.0,,280,0.0,,2026-01-29 12:20:22,2026-01-29 13:40:43,80,,The food was delicious.The kids enjoyed,Line management was smooth and fast,Failed taps increased from 8 to 9.Parents failed to top up on time,Actual meals served increased from 278 to 286.Student turnout was high today,@Kiambururu Comprehensive School
Githunguri,Gathaithi Secondary,Secondary,2026-01-29,Rice and Western,White,115,111,111,0,0,2,5,0,1,1.2,1.4,,115,0.0,,2026-01-29 13:21:56,2026-01-29 13:49:10,27,,Food was delicious,Queuing was good,We had 5 failed taps a rise from yesterday's 4 due to failure of topping up by parents,We had 111 successful taps a drop from yesterday's 112 due to failure of topping up by parents,@Joseph mburu nga'ang'a
Githunguri,Kanyore Primary,Primary,2026-01-29,Rice and Western,White,600,632,595,40,4,3,22,5,5,0.0,0.0,,630,5.0,,2026-01-29 12:30:41,2026-01-29 13:45:45,75,,Food was delicious,Line management was organized,Number of failed taps increased from 20 to 22 . Reminded kids to remind their parents to top up.,Number of successful taps increased from 581 to 632  as more kids reported back due to the exams going on.,"@Haron Muiruri,SL Kanyore Primary"
Githunguri,Mathanja Priamry,Primary,2026-01-29,Rice and Western,White,205,205,177,23,0,2,5,0,0,5.0,2.0,,200,0.0,,2026-01-29 12:15:53,2026-01-29 13:30:03,74,,food was delicious,I managed the queue without any assistance,today we had 5 failed taps a decrease compared to yesterday 6. some parents didn't top-up on time.,today we had 200 actual meals served a decrease compared to yesterday 201.  some parents didn't top-up their accounts and some kids were absent today.,@mathanja primary school
Githunguri,Gatitu Primary,Primary,2026-01-29,Rice and Western,White,380,374,335,39,1,3,8,0,3,1.0,1.0,,380,1.0,,2026-01-29 12:20:27,2026-01-29 13:40:35,80,,Food was delicious :yum:.,I managed the queues without assistance..,A difference of 1 from 9 to 8.. some parents remembered to top up.,A difference of 4 being an increase from 370 to 374.. most accounts had enough funds to feed.,@Wambui ikonya -sc- Gatitu comprehensive
