Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri kitchen,Ndireti Secondary,Githunguri 2,March,Secondary,White,2026-03-13,Rice and Beans,45,37,37,0.0,0,2,3,0,0,3.0,4.0,,40,0,2,20,2026-03-13 12:30:23,2026-03-13 12:50:36,,The food was delicious,The line was manageable,The number of failed taps increased with a difference of 2 this is because the students claim they forgot to remind their parents to top up,The number of successful taps decreased with a difference of 7 this is because some students didn't attend school today due to their well known reasons and the number of successful taps increased,@Tracy Tapper Ndireti secondary school
Githunguri kitchen,Gikang'A Kageche Secondary,Githunguri 1,March,Secondary,White,2026-03-13,Rice and Beans,3290,281,281,0.0,0,2,11,0,3,2.0,2.0,,290,0,2,35,2026-03-13 13:10:38,2026-03-13 13:45:42,,Food was delicious,Queue was well managed by TOD,Today's failed taps increased from 7 to 11.parent didn't top up on time,Today's successful taps decreased from 303 to 281.Student turn out was low and parent didn't top up on time,@Pauline Gatimu
Githunguri kitchen,Njunu Primary,Githunguri 1,March,Primary,White,2026-03-13,Rice and Beans,235,242,217,25.0,0,2,9,0,0,0.0,0.0,,260,0,2,40,2026-03-13 12:40:24,2026-03-13 13:20:32,,Food was delicious,Line transition was well maintained,We had an increase from 3 to 9 most parents forgot to top up,We had a decrease from 256 to 242.20 kids went for games,@Sc Elizabeth -Njunu primary school
Githunguri kitchen,William Ng'Iru Secondary,Githunguri 2,March,Secondary,White,2026-03-13,Rice and Beans,500,525,525,0.0,0,3,24,0,4,0.0,0.0,,530,0,3,69,2026-03-13 12:40:49,2026-03-13 13:50:02,,Food was hot and delicious,Line was managable,"Failed taps are still the same as of the previous, accounts are not topped up on time",Successful taps increased from to 508 to 525 students turn out was slightly high,@Tapper Dennis -william Ng'iru Secondary
Githunguri kitchen,Mitahato Primary,Githunguri 2,March,Primary,White,2026-03-13,Rice and Beans,210,204,181,23.0,0,2,5,0,1,1.0,2.0,,220,0,2,55,2026-03-13 12:15:39,2026-03-13 13:10:56,,Food was delicious,Queue Management was transitioning from grade to grade,Failed taps decreased from 9 to 5 this caused by parents not topping up on time,Successful taps decreased from 224 to 204 this caused by kids being absent,@SC George-Mitahato Comprehensive
Githunguri kitchen,Miguta Secondary,Githunguri 1,March,Secondary,White,2026-03-13,Rice and Beans,40,40,40,0.0,0,2,3,0,0,0.0,0.0,,40,0,2,30,2026-03-13 13:10:13,2026-03-13 13:40:22,,The food was delicious,The queue well managed,There were 3 failed taps... cards tapped were not topped up on time,There were 40 successful taps... parents topped up their accounts on time and students came for lunch,"@Alex,Tapper Miguta Secondary"
Githunguri kitchen,Gatitu Primary,Githunguri 1,March,Primary,White,2026-03-13,Rice and Beans,370,381,343,38.0,1,3,5,0,0,0.0,0.0,,380,1,3,65,2026-03-13 12:20:07,2026-03-13 13:25:13,,Food today was yummy and enough for all.,"Since students are used to maintaining order, queues transitioned with ease.","Failed taps were 10 yesterday,today 5 being a decrease which was resulted by parents topping respective accounts.",Successful taps have remained constant at 343 both yesterday and today... parents are making timely payments.,@Wambui ikonya SC Gatitu comprehensive
Githunguri kitchen,Gitiha Secondary,Githunguri 1,March,Secondary,White,2026-03-13,Rice and Beans,150,144,144,0.0,0,2,7,0,0,2.0,2.0,,150,0,2,40,2026-03-13 12:40:35,2026-03-13 13:20:42,,Food was delicious,Queue was smooth and manageable,Increased number of failed taps compared to the previous day from 0 to 7,Decreased number of successful taps compared to the previous day from 153 to 144,"@Jecinta muthoni Gitonga-Gitiha secondary school, Tapper"
Githunguri kitchen,Kiambururu Secondary,Githunguri 1,March,Secondary,White,2026-03-13,Rice and Beans,200,192,192,0.0,0,2,3,0,0,1.0,2.0,,200,0,2,24,2026-03-13 13:15:54,2026-03-13 13:40:00,,The meal was delicious,Line management was smooth,Failed taps today was 3 same as previous,"Successful taps was 192 compared to previous which was 203 , some students did not come for lunch today.",@Salome-kiambururu secondary school
Githunguri kitchen,Ikinu Primary,Githunguri 2,March,Primary,White,2026-03-13,Rice and Beans,720,760,683,77.0,0,5,54,0,2,0.0,0.0,,880,0,5,90,2026-03-13 12:20:16,2026-03-13 13:50:29,,The food was hot and delicious,Queing was well managed,Failed taps increased from 24 to 54 since parents didn't top up their accounts,Successful taps decreased from 749 to 683 since there was a lower turn up,@SL Janet-Ikinu primary School
Githunguri kitchen,Gathangari Primary,Githunguri 2,March,Primary,White,2026-03-13,Rice and Beans,370,398,360,38.0,0,3,12,0,2,0.0,0.0,,400,0,3,50,2026-03-13 12:40:01,2026-03-13 13:30:31,,Food was hot and delicious,The queue was smoothly managed by the T.O.D,Failed taps reduced slightly from 15 to 12.parents dint top up on time,Successful taps increased from 375 to 398.Kids really turned up well in school.,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
Githunguri kitchen,Miguta Primary,Githunguri 2,March,Primary,White,2026-03-13,Rice and Beans,230,230,214,16.0,0,2,11,0,0,0.0,0.0,,245,0,2,39,2026-03-13 12:50:59,2026-03-13 13:30:04,,The food was delicious,Queue management was smooth,"There were 11 failed taps, an increase of 5 from the previous tapping. Parents did not top up on time","There were 214 successful taps, a decrease of 8 from the previous tapping. This is because of the ongoing games",@SC Pauline - Miguta Primary School
Githunguri kitchen,Gathaithi Secondary,Githunguri 1,March,Secondary,White,2026-03-13,Rice and Beans,95,73,73,0.0,0,2,6,0,0,6.6,7.7,,95,0,2,28,2026-03-13 13:17:53,2026-03-13 13:46:04,,Food was delicious,Queuing was good,We had similar numbers of failed taps as a similar number of top ups as yesterday,We had 73 successful taps a drop from yesterday's 90 due to students being sent home for disciplinary action,@Joseph mburu nga'ang'a
Githunguri kitchen,Kanyore Primary,Githunguri 1,March,Primary,White,2026-03-13,Rice and Beans,600,635,572,63.0,2,3,25,0,2,0.0,0.0,,630,3,3,65,2026-03-13 12:30:22,2026-03-13 13:35:25,,Food was delicious,Line management was organized,Number of failed taps increased from 13 to 25. Reminded kids to remind their parents to top up.,Number of successful taps decreased from 666 to 635. This can be attributed to increase in the number of failed taps.,"@Haron Muiruri,SL Kanyore Primary"
Githunguri kitchen,Kindiga Primary,Githunguri 1,March,Primary,White,2026-03-13,Rice and Beans,180,171,152,19.0,0,2,7,0,0,1.0,2.0,,180,0,2,49,2026-03-13 12:40:54,2026-03-13 13:30:00,,The food was Hot and delicious,Queues transitioned smoothly with the help of TOD,"Failed taps increased to 7 from 5,parents did not top up accounts","Successful taps decreased to 171 from 174,There was low turnout being a games day.",@James Mbugua SC Kindiga Primary
Githunguri kitchen,Ihiga Primary,Githunguri 1,March,Primary,White,2026-03-13,Rice and Beans,150,161,148,13.0,0,2,0,0,0,0.0,0.0,,160,0,2,35,2026-03-13 12:40:44,2026-03-13 13:15:52,,Food was delicious,Queues were manageable,Failed taps were 0 a decrease from yesterday's which was 1.Parents topped up on time,Successful taps was 161 an increase from yesterday's which was 155.Today's turn up was high,@Naomi SC-Ihiga Comprehensive
Githunguri kitchen,Mukuyu Secondary,Githunguri 1,March,Secondary,White,2026-03-13,Rice and Beans,325,325,325,0.0,0,2,10,0,0,0.0,0.0,,330,0,2,30,2026-03-13 12:50:17,2026-03-13 13:20:35,,Food was delicious,Queue was well managed,Failed taps was 10 it's remains intact,Successful taps increases from 323 to 325 some parents topped up on time,@Mukuyu Secondary School
Githunguri kitchen,Matuguta Secondary,Githunguri 1,March,Secondary,White,2026-03-13,Rice and Beans,105,108,108,0.0,0,5,8,0,1,0.0,0.0,,110,0,2,14,2026-03-13 13:05:41,2026-03-13 13:20:01,,Food was hot and delicious the kids enjoyed,Queues were orderly and well managed by the help of the tod,"Failed taps today remained same as yesterday 08, respective parents didn't top up on time","Successful taps today increased from 103 to 108,some of the kids that had been sent home came back today",@Njeri -Matuguta secondary school
Githunguri kitchen,Gathugu Secondary,Ruiru-Githunguri,March,Secondary,White,2026-03-13,Rice and Beans,250,257,257,0.0,0,2,16,0,6,0.0,0.0,,270,0,2,40,2026-03-13 12:40:36,2026-03-13 13:20:41,,Food was delicious,Queue management was good I managed,Number of failed taps increase from 14 to 16 . parents forgot to top up on time,Number of successful taps was 257,@Tapper Gathugu secondary school
Githunguri kitchen,Kihuririo Primary,Ruiru-Githunguri,March,Primary,White,2026-03-13,Rice and Beans,390,420,364,56.0,0,3,19,0,3,0.0,0.0,,480,3,3,50,2026-03-13 12:50:50,2026-03-13 13:40:54,,Food was sweet,Line up was manageable,"Failed taps increased from 12 to 19, parents didn't pay",Successful taps decreased from 471 to 420 some students went for games.,@kihuririo primary
Githunguri kitchen,Kambui Primary,Githunguri 2,March,Primary,White,2026-03-13,Rice and Beans,240,207,160,47.0,0,2,17,0,3,4.5,5.25,,250,0,2,70,2026-03-13 12:50:55,2026-03-13 14:00:57,,The food was delicious,The line was well managed,We had 17 failed taps a higher number compared to yesterday's that were 8. Most parents did not top up their accounts,We had 160 successful taps a lower number compared to yesterday's that were 197.,@Kambui Primary and Junior School
Githunguri kitchen,Kigumo Secondary,Ruiru-Githunguri,March,Secondary,White,2026-03-13,Rice and Beans,120,107,107,0.0,0,2,7,0,0,0.0,0.0,,110,0,2,20,2026-03-13 13:00:27,2026-03-13 13:20:34,,The food was sweet,Queue was smooth,Failed taps increased from 4 to 7 some parents did not top up on time,Successful taps decreased from 112 to 107 some students were absent,@daniel Kariuki
Githunguri kitchen,Kibichoi Primary,Ruiru-Githunguri,March,Primary,White,2026-03-13,Rice and Beans,190,201,180,21.0,1,2,10,0,1,0.0,0.0,,230,5,2,25,2026-03-13 13:00:25,2026-03-13 13:25:39,,The food was delicious,I managed the queue well,"The number of failed taps increased from 8 to 10, as some parents didn't top up their accounts on time","The number of successful taps decreased from 194 to  180, as some parents didn't top up their accounts on time",@sc kibichoi primary school
Githunguri kitchen,Gathaithi Primary,Githunguri 1,March,Primary,White,2026-03-13,Rice and Beans,420,455,404,51.0,0,3,28,1,3,0.0,0.0,,460,0,3,60,2026-03-13 12:45:24,2026-03-13 13:45:30,,Food was delicious,Queue management was successful,Failed taps increased from 26 to 28.,Successful taps reduced from 476 to 455. Parents failed to top up,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
Githunguri kitchen,Riamute Primary,Githunguri 2,March,Primary,White,2026-03-13,Rice and Beans,300,272,240,32.0,0,3,31,0,0,8.0,10.0,,320,0,3,60,2026-03-13 12:30:12,2026-03-13 13:30:14,,The food was yummy and hot,I managed the queue and it was running smoothly,We had 31 failtaps a lower number than previous day which was 37 since their accounts had insufficient funds,We had 272 successful taps a lower number than previous day which was 302 ..since we had many failtaps,@sc willy- Ceb Riamute primary school
Githunguri kitchen,Miiri Secondary,Githunguri 1,March,Secondary,White,2026-03-13,Rice and Beans,30,30,30,0.0,0,2,4,0,0,0.0,0.0,,35,3,2,20,2026-03-13 13:10:33,2026-03-13 13:30:39,,The food was hot and yummy,Queue management was neat and organized with assistance of TOD,"Failed taps decreased from 6 to 4, More parents had topped up on time","Successful taps decreased from 32 to 30, some parents didn't top up on time","@Esther,Tapper; Miiri Secondary School"
Githunguri kitchen,Ndireti Primary,Githunguri 2,March,Primary,White,2026-03-13,Rice and Beans,175,195,161,34.0,0,2,9,0,2,0.0,0.0,,205,0,2,60,2026-03-13 12:40:36,2026-03-13 13:40:11,,Food was delicious,Queue management was okay,"Failed taps decreased from 15 to 9,parents topped up","Successful taps decreased from 207 to 195 , reason being some kids went for games",@SC Sharon _Ndireti primary
Githunguri kitchen,Githioro Primary,Githunguri 1,March,Primary,White,2026-03-13,Rice and Beans,340,322,287,35.0,0,2,12,0,1,4.0,5.0,,350,0,2,56,2026-03-13 12:44:28,2026-03-13 13:40:33,,The food was appetising,Line management was organised assisted by tod,"Failed taps increased from yesterday’s 3 to 12 today, parents forgot to top up their accounts on time",Successful taps decreased from yesterday’s 356 to 322 today. Sixteen of the kids who were attending games didn't show to be tapped.  They opted to have lunch in their own means.,@SC - Githioro Comprehensive School
Githunguri kitchen,Kagema Primary,Ruiru-Githunguri,March,Primary,White,2026-03-13,Rice and Beans,710,701,701,0.0,0,3,29,0,0,12.0,3.0,,730,0,3,130,2026-03-13 12:45:27,2026-03-13 14:55:34,,Lunch was good and delicious,Queue management was smooth transitioning well from class to class,Failed taps increased from 28 to 29 as more parents did not top up on time,Successful taps reduced from 730 to 701 as some kids had gone for games.,@SL PCEA Kagema Comprehensive school
Githunguri kitchen,Kagema Secondary,Ruiru-Githunguri,March,Secondary,White,2026-03-13,Rice and Beans,230,221,221,0.0,0,2,15,0,2,5.0,3.0,,220,0,2,20,2026-03-13 13:00:28,2026-03-13 13:20:33,,Food was delicious,Queue was manageable,Fail tap is constant of 15,Successful tap is a decrease of 221 while yesterday was 240,@Tapper Kagema secondary
Githunguri kitchen,Ngewa Primary,Githunguri 2,March,Primary,White,2026-03-13,Rice and Beans,250,248,221,27.0,0,2,18,0,0,0.0,0.0,,290,0,2,90,2026-03-13 12:00:41,2026-03-13 13:30:42,,The food was delicious,Queue was transitioning well from class to class,We had 18 failed taps today which is an increase from 17 yesterday,We had 248 actual meals served today which is a decrease from 268 yesterday,@Ngewa primary school.
Githunguri kitchen,Kiawairia Secondary,Githunguri 1,March,Secondary,White,2026-03-13,Rice and Beans,55,58,58,0.0,0,2,4,0,0,0.0,0.0,,60,0,2,15,2026-03-13 13:25:33,2026-03-13 13:40:39,,Food was appetizing and yummy,Line management was transitioning good,Number of actual meals increased from 3 to 4 parents didn't top up their accounts on time,Number of actual meals remained the same 58 as of yesterday students turned out well today,@Patrick Kariuki Kiawairia secondary school Tapper
Githunguri kitchen,Nyaga Secondary,Githunguri 2,March,Secondary,White,2026-03-13,Rice and Beans,340,317,317,0.0,0,3,43,0,1,9.0,10.0,,340,0,3,30,2026-03-13 12:40:26,2026-03-13 13:10:40,,Food was hot and delicious,Line was manageable,"Had an increase from 35 to 43,,,8 students had no funds in their meal cards.","Had a decrease form 364 to 317,,,47 student's accounts had no funds.",@Hellen Tapper P.C.E.A Nyaga Senior School
Githunguri kitchen,Gataka Primary,Githunguri 1,March,Primary,White,2026-03-13,Rice and Beans,290,293,264,29.0,0,2,15,0,2,0.0,0.0,,295,0,2,63,2026-03-13 12:37:35,2026-03-13 13:40:42,,The food was delicious,The queue was well managed by the school coordinator,"The number of failed taps rose from 7 to 15, we reminded kids to request their parents to top up.","The number of actual meals dropped from 301 to 293, some parents failed to make timely payments for their kids",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
Githunguri kitchen,Gitombo Primary,Githunguri 1,March,Primary,White,2026-03-13,Rice and Beans,180,174,156,18.0,0,2,1,0,0,2.0,2.0,,180,0,2,50,2026-03-13 12:30:08,2026-03-13 13:20:15,,Food was delicious,Queue was manageable by the help of teacher.,Today failed tap was 1 a decrease of 1 from 2 yesterday parent didn't top up on time.,Actual meals served today was 174 a decrease of 1 from 175 yesterday due to failed tap.,@Veronica Mwaura -S/C- Gitombo primary
