Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Kiambu kitchen,Karia Secondary,Githunguri 2,January,Secondary,White,2026-01-15,Rice and Greengrams,60,51,51,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,60.0,5.0,2.0,20,2026-01-15 11:15:09,2026-01-15 11:35:14,We expect a rise in successful taps tomorrow,Food was delicious and enough,Line was well done,The number of failed taps has decreased from 03 to 02,The number of successful taps has remained the same 51,@Simon Tapper Karia secondary
Kiambu kitchen,Kibathi Primary,Kiambu Regions,January,Primary,,2026-01-15,,735,700,636,,0.0,5.0,43.0,4.0,15.0,0.0,0.0,,730.0,0.0,5.0,84,2026-01-15 12:10:46,2026-01-15 13:35:09,Students are topping up in time,Food was hot and delicious,Queue Was well managed by the help of tapper,Failed taps increased from 24 to 43,Successful taps reduced from 664 to 636,@Jackline Otieno
Kiambu kitchen,Riara Primary,Kiambu Regions,January,Primary,White,2026-01-15,Rice and Greengrams,180,171,164,7.0,0.0,2.0,16.0,2.0,4.0,12.0,0.0,0.0,180.0,0.0,2.0,65,2026-01-15 12:20:18,2026-01-15 13:25:26,We expect a good turn out,Food was delicious and well cooked,Easy queue management,Failed taps have increased from 11 to 16 some parents are still not topping up,Successful taps have reduced from 176 to 171 this is because of increase of failed taps,@Jeniffer -(SC) Riara primary school
Kiambu kitchen,Cianda Secondary,Kiambu Regions,January,Secondary,White,2026-01-15,Rice and Greengrams,90,89,89,0.0,0.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,110.0,0.0,3.0,15,2026-01-15 13:25:08,2026-01-15 13:40:19,Expecting a higher turn out tomorrow.,Food was hot and delicious,Que managed,Failed taps decreased  from 6 to 5,Successful taps increased from 67 to 89,@Valentine -Tapper Cianda Secondary
Kiambu kitchen,Gatatha Primary,Kiambu Regions,January,Primary,White,2026-01-15,Rice and Greengrams,150,142,119,23.0,0.0,2.0,15.0,0.0,0.0,2.0,2.4,0.0,150.0,0.0,2.0,37,2026-01-15 12:45:46,2026-01-15 13:22:50,We expect higher turn out and additional payment,*food was hot and delicious,Queue was well managed by the help of the teacher,Failed taps have increased from 5 to 15 due to late payments,Successful taps have decreased from 146 to 142 due to parents not topping up,@Mourine mwangi-SC Gatatha primary
Kiambu kitchen,Karuri Primary,Kiambu Regions,January,Primary,White,2026-01-15,Rice and Greengrams,680,710,611,99.0,0.0,4.0,30.0,3.0,13.0,0.0,0.0,0.0,700.0,0.0,4.0,80,2026-01-15 12:20:42,2026-01-15 13:40:48,Expecting more kids to turn up as they replace their tags,Food was hot and delicious,Queue was well managed,Failed taps decreased from 33 to 30 due to insufficient balance,Successful taps increased from 590 to 611 because most of the kids turned up for tapping today,@Francis
Kiambu kitchen,Kibubuti Primary,Kiambu Regions,January,Primary,White,2026-01-15,Rice AndGg,500,507,458,49.0,0.0,3.0,13.0,1.0,6.0,0.0,0.0,0.0,500.0,0.0,3.0,94,2026-01-15 12:26:01,2026-01-15 14:00:08,We expect numbers to increase,Food was delicious,Line management was good,Failed taps increased from 9 to 13 some parents failed to pay on time,We had 458 successful taps today reduced from 460 we had a low turnout,@Maureen mwaura SC kibubuti pry
No kitchen found,Waguthu Primary,Kiambu Regions,January,Primary,White,2026-01-15,Rice and Greengrams,570,551,496,55.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0,60,2026-01-15 12:40:17,2026-01-15 13:40:20,We anticipate that the numbers will go higher.,Tapping went on smoothly,Queues were well managed by T.O.D,Failed taps decreased from 17 to 8 as parents continue making payments,"Successful taps increased from 488 to 496,due to continued payment.",@KELVIN GATIBA SL WAGUTHU COMPREHENSIVE
Kiambu kitchen,Kiambaa Primary,Kiambu Regions,January,Primary,White,2026-01-15,Rice and Greengrams,243,220,206,14.0,0.0,3.0,20.0,0.0,0.0,,0.0,0.0,240.0,0.0,3.0,65,2026-01-15 12:45:14,2026-01-15 13:50:21,Expecting a higher turnout as parents continue to pay,Food was hot and delicious,Queue was well managed by the teacher on duty,Failed taps decreased from 15to 20 due to insufficient balance,Successful taps decreased from 231 to 220 due to delay in payment,@Tabitha wairimu
No kitchen found,Raini Primary,Kiambu Regions,January,Primary,White,2026-01-15,Rice and Greengrams,323,322,289,33.0,0.0,3.0,12.0,0.0,2.0,0.0,0.0,0.0,330.0,0.0,3.0,44,2026-01-15 12:46:17,2026-01-15 13:30:35,Expecting a higher turn out tomorrow.,Food was delicious and enough,Queue was well managed by the teacher on duty,Failed taps have increased  from 11 to 12 because parents didn't topped up,Successful taps have increased from 317 to 322 because  students turned out well,@Ann
Kiambu kitchen,Muchatha Secondary,Kiambu Regions,January,Secondary,White,2026-01-15,Rice and Greengrams,150,112,112,0.0,0.0,3.0,11.0,2.0,4.0,0.0,0.0,0.0,150.0,0.0,3.0,30,2026-01-15 13:00:51,2026-01-15 13:30:57,Expecting a higher turnout tomorrow as students are still joining,Food was hot and delicious,Queue was well managed,Failed taps increased from 9 to 11 due to insufficient funds,Successful taps increased from 110 to 112 as parents are topping up,@Edna-tapper Muchatha Secondary
Kiambu kitchen,Riara Secondary,Kiambu Regions,January,Secondary,White,2026-01-15,Rice and Greengrams,77,83,67,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,2.0,45,2026-01-15 12:45:00,2026-01-15 13:30:00,Unregistered grade 10 should be counted as they serve with others. ( included in tommorows projection),Food was delicious,Easy queue management,Successful taps decreased to 67 from yesterdays 71,Failed taps increased to 5 from yesterdays 2,@Tapper Riara Sec
Kiambu kitchen,St. Augustine Gatono Primary,Kiambu Regions,January,Primary,White,2026-01-15,Rice and Greengrams,170,172,153,19.0,3.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,170.0,3.0,3.0,60,2026-01-15 12:30:50,2026-01-15 13:30:58,Expecting higher turn out,Food was delicious,Queue was well managed,Failed taps increased from 5 to 4 as some parents didn't top up,Successful taps remained 153 as parents topped up on time,@Anne Njoroge -SC St.​Augustine
No kitchen found,Karuri Secondary,Kiambu Regions,January,Secondary,White,2026-01-15,Rice and Greengrams,600,605,605,0.0,0.0,6.0,24.0,4.0,46.0,0.0,0.0,0.0,650.0,0.0,6.0,40,2026-01-15 13:10:37,2026-01-15 13:50:43,We envision a higher number,The food was hot and delicious,The queues were well managed,Failed taps decreased from 29 to 24,Successful taps Increased from 530 to 600,@grace tapper karuri secondary
Kiambu kitchen,Gathanji Primary,Githunguri 2,January,Primary,White,2026-01-15,Rice and Greengrams,340,359,335,24.0,0.0,3.0,6.0,1.0,8.0,0.0,0.0,0.0,360.0,0.0,3.0,59,2026-01-15 12:41:23,2026-01-15 13:40:45,We projected 360 expecting high turn out tomorrow,The food was delicious and nutritious,Queue was well managed,Failed taps were 6 a decrease from 8 parents did top up on time,Successful taps were 335 an increase from 314 parents did top up on time,@SC Kepha Wangengi_Gathanji Comprehensive school
Kiambu kitchen,Mungai Chengecha Primary,Kiambu Regions,January,Primary,White,2026-01-15,Rice and Greengrams,545,556,490,66.0,0.0,3.0,19.0,8.0,1.0,0.0,0.0,0.0,570.0,0.0,3.0,65,2026-01-15 12:45:13,2026-01-15 13:50:18,Expecting a higher turn up tomorrow,Food was delicious,Queue was managed by the teacher on duty,Decrease in failed taps from 23 to 19 alot of kids who had insufficient balances yesterday topped up their accounts,Increase in successful taps from 473 to 490 alot of kids turned up today,@sc mungai c pry
Kiambu kitchen,Njenga Karume Primary,Kiambu Regions,January,Primary,White,2026-01-15,Rice and Greengrams,190,187,179,9.0,0.0,3.0,22.0,0.0,3.0,0.0,0.0,0.0,200.0,0.0,3.0,50,2026-01-15 12:40:39,2026-01-15 13:30:44,Expecting a better number,No kids came back for second serving,Queue was well managed by teacher on duty,Failed taps decreased from 22 to 20,Successful taps increased from 160 to 179,@Eliud Nderu Sc Njenga karume comprehensive
Kiambu kitchen,Githunguri Primary,Githunguri 2,January,Primary,White,2026-01-15,Rice and Greengrams,450,464,432,32.0,0.0,3.0,13.0,2.0,1.0,0.0,0.0,0.0,460.0,0.0,3.0,50,2026-01-15 12:40:51,2026-01-15 13:30:43,Expecting a higher turnout tomorrow,Food was good,Line was managed with the help of TOD,"Failed taps were 13 an increase from yesterday's 7,,,some parents didn't manage to top up on time","Successful taps were 464 an increase from yesterday's 458,,an increase in turn up.",@SC- Githunguri Comprehensive
Kiambu kitchen,Kawaida Secondary,Kiambu Regions,January,Secondary,White,2026-01-15,Rice and Greengrams,60,65,65,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,75.0,1.0,3.0,15,2026-01-15 13:15:21,2026-01-15 13:30:26,We expected a higher turneout since the students are  doing their opening exams and most students are back to school,Food was delicious and tasty,Queue was well managed by the teacher on duty,Failed taps decreased from 2 to 1 most students topped up on time,Successful taps increased from 47 to 65 most students were present today since they are doing their opening exams,@Njeri kawaida secondary school
Kiambu kitchen,Kiairia Secondary,Githunguri 2,January,Secondary,White,2026-01-15,Rice and Greengrams,63,46,46,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,16,2026-01-15 13:13:50,2026-01-15 13:30:01,I project because they might,The food was very good,Students arranged themselves in good order,Today we had 2 failed taps parents didn't topped up,Successful taps decreased from 54 to 46 some students were absent and others were late so they all sent home,@Janet tapper kiairia secondary
Kiambu kitchen,Lioki Primary,Githunguri 2,January,Primary,White,2026-01-15,Rice and Greengrams,140,135,121,14.0,0.0,2.0,7.0,0.0,2.0,1.0,1.0,0.0,140.0,0.0,2.0,30,2026-01-15 13:00:43,2026-01-15 13:30:54,We expect a better turn out tomorrow,Food was delicious,The queue was well managed with the help of the teacher on duty,Failed taps increased to 7 compared to yesterday as parents forgot to recharge their accounts,Successful taps decreased from 141 to 135 as parents forgot to recharge their accounts,@SC Phoebe - Lioki Primary school
