Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri kitchen,Kindiga Primary,Githunguri 1,January,Primary,Tumeric,2026-01-28,Rice and Beans,195,184,166,18.0,0,2,10,0,0,3.0,2.5,,190,0.0,,50,2026-01-28 12:40:26,2026-01-28 13:30:36,,The food was delicious.,Queues were well managed with the help of TOD.,"Failed taps increased to 10 from 5,parents did not top up accounts","Successful taps decreased to 184 from yesterday's 194,failed taps affected this since parents did not top up accounts on time.",@James Mbugua SC Kindiga Primary
Githunguri kitchen,Miiri Secondary,Githunguri 1,January,Secondary,Tumeric,2026-01-28,Rice and Beans,40,35,35,0.0,2,2,2,0,2,1.0,2.0,,40,2.0,,20,2026-01-28 13:10:28,2026-01-28 13:30:33,,The food was hot and delicious,Queue management was neat and organized with assistance of TOD,"Failed taps decreased from 4 to 2, the parents didn't top up",Successful taps remained the same as yesterday which was 35,"@Esther,Tapper; Miiri Secondary School"
Githunguri kitchen,Kanyore Primary,Githunguri 1,January,Primary,Tumeric,2026-01-28,Rice and Beans,530,581,548,33.0,0,3,20,1,2,0.0,0.0,,600,3.0,,59,2026-01-28 12:30:58,2026-01-28 13:30:02,,Food was hot and delicious,Queuing was organized,Number of failed taps increased from 12 to 20. More students had insufficient balances.Reminded the kids to remind their parents to top up.,Number of successful taps increased from 465 to 581 as more students who were sent home for fees yesterday reported back.,"@Haron Muiruri,SL Kanyore Primary"
Githunguri kitchen,Gathugu Secondary,Ruiru-Githunguri,January,Secondary,Tumeric,2026-01-28,Rice and Beans,290,284,284,0.0,0,3,5,1,3,1.0,1.0,,290,0.0,,29,2026-01-28 12:40:55,2026-01-28 13:10:02,,Food was hot and delicious,Queue management was good,Number of failed taps were 5 same as yesterday.,Number of successful taps were 284,@Tapper Gathugu secondary school
Githunguri kitchen,Kiambururu Secondary,Githunguri 1,January,Secondary,White,2026-01-28,Rice and Beans,210,187,187,0.0,0,2,3,0,0,0.0,0.0,,210,0.0,,40,2026-01-28 13:10:32,2026-01-28 13:50:38,,The food was enough and delicious,Line was well managed by the tr on duty,Today I had 3 failed taps,Successful taps were 287 today,@Salome-kiambururu secondary school
Githunguri kitchen,Kihuririo Primary,Ruiru-Githunguri,January,Primary,White,2026-01-28,Rice and Beans,480,485,430,55.0,0,3,4,0,1,0.0,0.0,,485,0.0,,40,2026-01-28 12:50:12,2026-01-28 13:30:21,,The food was sweet,Queue was manageable,Failed taps decreased from 13 to 4 parents topped up.,"Successful taps increased from 470 to 485,many kids reported.",@kihuririo primary
Githunguri kitchen,Gitiha Secondary,Githunguri 1,January,Secondary,White,2026-01-28,Rice and Beans,150,148,148,0.0,0,2,6,0,1,0.0,0.0,,145,0.0,,38,2026-01-28 12:40:14,2026-01-28 13:18:21,,Food was delicious,Queue was smooth,Constant number of failed taps,Successful taps were constant,@Jecinta muthoni Gitonga
Githunguri kitchen,Kigumo Secondary,Ruiru-Githunguri,January,Secondary,Tumeric,2026-01-28,Rice and Beans,125,122,122,0.0,0,2,7,0,0,1.0,1.0,,125,0.0,,39,2026-01-28 12:50:47,2026-01-28 13:30:08,,The food was sweet,Queue was mangerable,Failed taps increased from 3 to 7 some parents did not pay,Successful taps increased from 118 to 122 some absentees reported,@daniel Kariuki
Githunguri kitchen,Mukuyu Secondary,Githunguri 1,January,Secondary,Tumeric,2026-01-28,Rice and Beans,330,328,328,0.0,0,3,9,0,3,0.0,0.0,,340,0.0,,31,2026-01-28 12:40:05,2026-01-28 13:10:53,,Food was hot and delicious,Queue was well managed,Failed taps decreases from 18 to 9 some parents paid on time,Successful taps increases from 319 to 328 parents paid on time,@Mukuyu Secondary School
Githunguri kitchen,Gikang'A Kageche Secondary,Githunguri 1,January,Secondary,Tumeric,2026-01-28,Rice and Beans,320,327,327,0.0,0,3,11,0,0,0.0,0.0,,330,0.0,,40,2026-01-28 13:10:48,2026-01-28 13:50:54,,Food was delicious,Queue was well managed,Today's failed taps decreased from 13 to 11.some parents topped on time,Today's successful taps increased by 10 from 317 to 327,@Pauline Gatimu
Githunguri kitchen,Ihiga Primary,Githunguri 1,January,Primary,White,2026-01-28,Rice and Beans,160,165,153,12.0,0,2,0,1,2,0.0,0.0,,160,0.0,,35,2026-01-28 12:40:44,2026-01-28 13:15:55,,Food was Enough,Queues were manageable.,Failed taps was 0 the same as yesterday's which was 0.Parents are topping up their accounts on time.,Successful taps were 165 a decrease from yesterday's 172.Turn up was lower than yesterday.,@Naomi SC-Ihiga Comprehensive
Githunguri kitchen,Matuguta Secondary,Githunguri 1,January,Secondary,White,2026-01-28,Rice and Beans,130,126,126,0.0,0,2,7,0,2,0.0,0.0,,130,0.0,,15,2026-01-28 13:30:31,2026-01-28 13:45:44,,Food was hot and delicious the kids enjoyed,Queues were orderly and well managed by the help of the tod,Failed taps today were many from 06 yesterday to 07 today tried reaching the parents but they didn't pick calls,Successful taps today were 126 higher than yesterday's 124,@Njeri -Matuguta secondary school
Githunguri kitchen,Githioro Primary,Githunguri 1,January,Primary,White,2026-01-28,Rice and Beans,340,346,319,27.0,0,2,5,0,0,0.0,0.0,,350,0.0,,60,2026-01-28 12:30:13,2026-01-28 13:30:17,,Food was appetising,Line management was organised assisted by tod,"Failed taps reduced from 13 to 5 today, some parents forgot to top up their accounts on time.","Successful taps increased from 332 to 346 today, kids turned up well today for their meals",@GITHIORO COMPREHENSIVE
Githunguri kitchen,Gathangari Primary,Githunguri 2,January,Primary,White,2026-01-28,Rice and Beans,415,413,379,34.0,0,3,13,0,0,0.0,0.0,,420,0.0,,80,2026-01-28 12:20:32,2026-01-28 13:40:48,,Food was hot and delicious,The queue was smoothly managed by the T.O.D,Failed taps increased from 8 to 13.Parents forgot to top up their accounts but have urged kids to remind them,Successful taps reduced from 416 to 413.Some parents did not top up on time and kids turned up was not so good,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
Githunguri kitchen,Giathieko Primary,Githunguri 2,January,Primary,White,2026-01-28,Rice and Beans,200,197,180,17.0,0,2,2,0,3,1.0,1.0,,200,0.0,,40,2026-01-28 12:40:12,2026-01-28 13:20:17,,Lunch was good and delicious.,Queue management was smooth transitioning well from class to class.,Failed taps reduced stand at 2. Parents are forgetting to tap on time.,Successful taps increased from 195 to 197. More kids showed up for lunch serving today,@SL PCEA Kagema Comprehensive school
