Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri kitchen,Riamute Primary,Githunguri 2,January,Primary,White,2026-01-27,Rice and Western,330,316,284,32.0,0,3,14,0,3,5.0,6.0,,325,0,,50,2026-01-27 12:30:31,2026-01-27 13:20:34,,The food was yummy and hot,The Tod helped manage the queue and it was running smoothly,We had  14 failtaps a higher number than previous day which was  13 since their accounts had insufficient funds,We had 316 successful taps a lower number than previous day which was 323 ..since we had many failtaps hence low successful taps,@sc willy- Ceb Riamute primary school
Githunguri kitchen,Kigumo Primary,Ruiru-Githunguri,January,Primary,White,2026-01-27,Rice and Western,180,181,163,18.0,0,2,18,0,0,0.0,0.0,,185,0,,34,2026-01-27 12:40:45,2026-01-27 13:14:50,,Food was delicious,Line management was orderly assisted by the teacher on duty,We had 18 failed taps compared to yesterday where we had 19.This decrease was led by parents topping up their accounts,We had 181 actual meals served compared to yesterday where we had 173.This increase was led by kids reporting to school in good number,@S C PCEA Kigumo Comprehensive School
Githunguri kitchen,Gataka Primary,Githunguri 1,January,Primary,White,2026-01-27,Rice and Western,250,257,242,15.0,0,2,8,0,4,0.0,0.0,,270,0,,64,2026-01-27 12:36:31,2026-01-27 13:40:40,,The food was delicious,The queue was well managed by the school coordinator,"The number of failed taps rose from 4 to 8, some accounts had insufficient balances.","The number of actual meals dropped from 287 to 257, kids were sent home for school fees",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
Githunguri kitchen,Gitiha Secondary,Githunguri 1,January,Secondary,White,2026-01-27,Rice and Western,145,148,148,0.0,0,2,6,0,1,0.0,0.0,,145,0,,27,2026-01-27 12:43:34,2026-01-27 13:10:44,,Food was delicious,Queue was managable,Constant number of failed taps,Successful taps had increassed,@Kang'ethe Dennis
Githunguri kitchen,Gatitu Primary,Githunguri 1,January,Primary,White,2026-01-27,Rice and Western,380,371,332,39.0,0,3,13,0,3,1.0,1.0,,380,1,,85,2026-01-27 12:15:04,2026-01-27 13:40:12,,Students enjoyed bananas..food also tasted really great!!,"In presence of ToD, students made neat queues which transitioned from class to class.",An increase from 5 to 13 ..some parents were unreachable upon placing calls.,A difference of 2 being a decrease from 373 to 371 resulted by accounts having low funds.,@Wambui ikonya SC Gatitu comprehensive
Githunguri kitchen,Mukuyu Secondary,Githunguri 1,January,Secondary,White,2026-01-27,Rice and Western,330,319,319,0.0,0,3,18,0,4,12.0,4.0,,340,0,,30,2026-01-27 12:40:45,2026-01-27 13:10:54,,Food was hot and delicious,Queue was well managed,Failed taps increases from 14 to 18 some parents didn't top up,Successful taps increases from 318 to 319.we had grade 10 students who was admitted,@Mukuyu Secondary School
Githunguri kitchen,Matuguta Secondary,Githunguri 1,January,Secondary,White,2026-01-27,Rice and Western,130,124,124,0.0,0,2,6,0,7,0.0,0.0,,125,0,,15,2026-01-27 13:30:07,2026-01-27 13:45:18,,Food was hot and delicious,Queues were orderly and well managed by the help of the tod,Failed taps today were 06 higher than yesterday's 03 most of the parents didn't top up on time,Successful taps today were 124 Lower than the projected meals that were 130 &also lower than yesterday's 126,@Njeri -Matuguta secondary school
Githunguri kitchen,Githiga Primary,Githunguri 1,January,Primary,White,2026-01-27,Rice and Western,405,407,370,37.0,0,3,25,1,3,0.0,0.0,,410,0,,60,2026-01-27 12:42:03,2026-01-27 13:42:07,,Food was sweet and delicious,Line Management was smooth,Failed taps decreased by 1 from 26.,Actual meals increased from 391 to 407.turn out increased,@Nicholas-SC - Githiga Comprehensive
Githunguri kitchen,Matuguta Primary,Githunguri 1,January,Primary,White,2026-01-27,Rice and Western,450,469,424,45.0,2,3,22,1,2,0.0,0.0,,470,3,,64,2026-01-27 12:35:54,2026-01-27 13:40:06,,Food was delicious,Queue was well managed,Failed taps were 22 an increase of 1 tap from yesterday's 21 failed taps . Respective parents had not topped up.,Actual meals were 469 an increase of 28 taps from yesterday's 441 actual meals. Absent students reported to school today and more parents topped up,@Matuguta primary
Githunguri kitchen,Gathiruini Primary,Githunguri 1,January,Primary,White,2026-01-27,Rice and Western,240,246,220,26.0,0,2,5,0,0,0.0,0.0,,250,0,,59,2026-01-27 12:30:50,2026-01-27 13:30:05,,Lunch was delicious,Line management was good with help of teacher on duty,Failed taps today were 6 a decrease from 5 this is because parents topped up their accounts on time,Actual meals served were 246 an increase from 236 this because most students were present,@Catherine Wanjiru
Githunguri kitchen,Kiambururu Secondary,Githunguri 1,January,Secondary,White,2026-01-27,Rice and Western,205,210,210,0.0,0,3,3,0,0,0.0,0.0,,210,0,,25,2026-01-27 13:15:46,2026-01-27 13:40:58,,The food was delicious,Line management was smooth,Failed taps today was 3 compared to previous which was 4,Successful taps was 210 compared to previous which was 198 an increase from previous yesterday,@Salome-kiambururu secondary school
Githunguri kitchen,Gitombo Primary,Githunguri 1,January,Primary,White,2026-01-27,Rice and Western,180,176,163,13.0,0,2,1,0,0,1.0,1.0,,175,0,,39,2026-01-27 12:40:53,2026-01-27 13:20:00,,Food was delicious.,Queue was manageable by the help of teacher on duty.,Today failed taps was 1an increase of 1 from 0 yesterday parent didn't top up account on time.,Actual meals served today was 176 a decrease of 4 from 180 yesterday due to absenteeism.,@Veronica Mwaura -S/C- Gitombo primary
Githunguri kitchen,Kiambururu Primary,Githunguri 1,January,Primary,White,2026-01-27,Rice and Western,275,277,249,28.0,0,3,5,0,0,0.0,0.0,,280,0,,60,2026-01-27 12:40:47,2026-01-27 13:40:52,,The food was delicious,Line management was smooth and fast,Failed taps decreased from 9 to 5.We still had parents who failed to top up on time,Actual meals served increased from 267 to 277.There was high student turnout due to the ongoing exams.,@Kiambururu Comprehensive School
Githunguri kitchen,Kiawairia Primary,Githunguri 1,January,Primary,White,2026-01-27,Rice and Western,140,146,131,15.0,3,2,7,0,0,0.0,0.0,,140,3,,90,2026-01-27 12:00:01,2026-01-27 13:30:09,,Food was delicious and hot,Lines were neat and organized,We had 7 failed taps an increase from 2 some parents didn't top up on time,We had  131 successful taps an increase from 126 turn out was good,@Mary kimani SC kiawairia comprehensive school
Githunguri kitchen,Gathaithi Primary,Githunguri 1,January,Primary,White,2026-01-27,Rice and Western,455,469,424,45.0,2,3,13,0,0,0.0,0.0,,470,2,,60,2026-01-27 12:40:28,2026-01-27 13:40:33,,"Food was great, kids enjoyed the bananas",One teacher assisted with queue management,Failed taps dropped from 15 to 13. We still have parents unable to top up,Successful Taps increased from 453 to 469. Some kids showed up due to bananas,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
Githunguri kitchen,Ihiga Primary,Githunguri 1,January,Primary,White,2026-01-27,Rice and Western,165,172,158,14.0,0,2,0,0,0,0.0,0.0,,160,0,,34,2026-01-27 12:40:57,2026-01-27 13:15:12,,Food was Enough.,Queues were manageable.,Failed taps were 0 a decrease from yesterday's which was 2.Parents topped up their accounts on time.,Successful taps were 172 an increase from yesterday's which was 160.Today's turn up was high.,@Naomi SC-Ihiga Comprehensive
Githunguri kitchen,Githioro Primary,Githunguri 1,January,Primary,White,2026-01-27,Rice and Western,340,332,306,26.0,0,2,13,2,7,3.0,4.0,,340,0,,65,2026-01-27 12:30:49,2026-01-27 13:35:54,,Food was appetising,Line management was organised assisted by tod,"Failed taps increased from yesterday’s 4 to 13 today, some parents did not top up their accounts on time  upon reaching them","Successful taps  decreased from 337 to 332 today, most parents did not top up their accounts.",@GITHIORO COMPREHENSIVE
