Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri kitchen,Kihuririo Primary,Ruiru-Githunguri,February,Primary,White,2026-02-16,Rice and Beans,480,472,411,61.0,0,3,10,0,3,2.0,3.0,,480,0,,42,2026-02-16 12:50:47,2026-02-16 13:32:52,,The lunch was delicious,Line was manageable,Failed taps decreased from 12 to 10 some  parents paid,Successful taps increased from 420 to 472 ecde kids fed with us today.,@kihuririo primary
Githunguri kitchen,Kiambururu Primary,Githunguri 1,February,Primary,White,2026-02-16,Rice and Beans,275,286,256,30.0,0,3,4,0,1,0.0,0.0,,290,0,,65,2026-02-16 12:20:26,2026-02-16 13:25:31,,The food was delicious.The kids enjoyed,Line management was smooth and fast,The number of failed taps increased from 6 to 7.This is because parents failed to top up on time,The number of actual meals served increased from 255 to 286.This is bacause the number of student turnout was high,@Kiambururu Comprehensive School
Githunguri kitchen,Kiambururu Secondary,Githunguri 1,February,Secondary,White,2026-02-16,Rice and Beans,210,206,206,0.0,0,3,7,0,0,0.0,1.0,,210,0,,25,2026-02-16 13:15:15,2026-02-16 13:40:22,,The meal was delicious nourishing the bodies.,Line management was smooth,"Failed taps increase from 3 to 7,most of the parents forgot to top up on time.","Successful taps was 206 an increase from previous which was 197, more students came for lunch.",@Salome-kiambururu secondary school
Githunguri kitchen,Matuguta Secondary,Githunguri 1,February,Secondary,White,2026-02-16,Rice and Beans,125,122,122,0.0,0,2,6,0,0,0.0,0.0,,125,0,,15,2026-02-16 13:30:35,2026-02-16 13:45:41,,Food was hot and delicious,Queues were orderly and well managed by me,"Failed taps today increased from 03 to 06,most of the parents didn't top up on time and after calling",Successful taps  increased from 118 on Friday to 122 today,@Njeri -Matuguta secondary school
Githunguri kitchen,Gatitu Primary,Githunguri 1,February,Primary,White,2026-02-16,Rice and Beans,370,376,338,38.0,0,3,6,1,1,0.0,0.0,,375,0,,70,2026-02-16 12:20:19,2026-02-16 13:30:27,,Food today was well cooked and served whilst still hot..,Queues transitioned with ease from grade to grade .,Failed taps decreased from 11 to 6 because parents remembered to top accounts during the weekend.,Successful taps increased gradually by 53 from 285 to 338 due to ECDE students who were absent on Friday being present today.,@Wambui ikonya SC Gatitu comprehensive
Githunguri kitchen,Mitahato Primary,Githunguri 2,February,Primary,White,2026-02-16,Rice and Beans,230,215,190,25.0,0,2,4,0,0,14.0,5.0,,220,0,,60,2026-02-16 12:20:53,2026-02-16 13:20:58,,Food was delicious,Queue management was hassle-free,Failed taps decreased from 5 to 4 parents are improving in topping up,Successful taps increased from 211 to 215 this being affected by students forgetting the tags at home,@SC George-Mitahato Comprehensive
Githunguri kitchen,Thuita Secondary,Ruiru-Githunguri,February,Secondary,White,2026-02-16,Rice and Beans,45,38,38,0.0,0,2,2,0,0,2.0,2.0,,45,0,,9,2026-02-16 13:10:56,2026-02-16 13:20:03,,Food was hot and delicious,Queue management was smooth,Friday there was 4 failed taps while today there were 2 failed tap Soo there was an improvement,On Friday there were 30 taps while today there was 38 taps Soo there was an increase in number,@Thuita Secondary tapper
Githunguri kitchen,Kanyore Primary,Githunguri 1,February,Primary,White,2026-02-16,Rice and Beans,640,574,545,29.0,2,3,21,3,5,10.0,15.0,,610,4,,90,2026-02-16 12:30:20,2026-02-16 14:00:28,,Food was delicious,Line management was organized,Number of failed taps increased from 13 to 21. Reminded kids to remind their parents to top up.,Number of successful taps decreased from 592 to 574 as some 180 students were sent home for exam fees. Some came back but most didn't.,"@Haron Muiruri,SL Kanyore Primary"
Githunguri kitchen,Githioro Primary,Githunguri 1,February,Primary,White,2026-02-16,Rice and Beans,345,337,313,24.0,0,2,5,2,1,2.0,3.0,,340,0,,62,2026-02-16 12:40:18,2026-02-16 13:42:24,,The food was appetising,Line management was organised assisted by tod,"Failed taps reduced from fridays 6 to 5 today, some parents forgot to top up their accounts on time","Successful taps increased from friday 324 to 337 today, most kids were free today",@GITHIORO COMPREHENSIVE
Githunguri kitchen,Nyaga Primary,Githunguri 2,February,Primary,White,2026-02-16,Rice and Beans,500,473,409,64.0,0,3,25,3,3,6.0,7.0,,500,0,,50,2026-02-16 12:40:33,2026-02-16 13:30:39,,The food was delicious,The line was well managed,The number of failed taps increased from 20 to 25.Some accounts had not been topped up,The number of actual meals served increased from 432 to 473.Ecde kids fed today,@SL Nyaga Primary and Junior School-Gladys
