Kitchen,School,School_Type,Date,Menu,Rice_variant,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Lunch_Time_Min,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri,Kanyore Primary,Primary,2026-01-14,Rice and Beans,White,630,609,567,42,0,3,14,2,4,15.0,6.0,,620,0.0,,2026-01-14 12:40:00,2026-01-14 13:33:00,53,,Food was delicious,Queue  was well managed,The number of failed taps increased  from  10 yesterday to 14 because less accounts were topped up.,The number of successful taps  reduced from 619 yesterday because some kids were absent.,@Kanyore Comprehensive School
Githunguri,Gitiha Secondary,Secondary,2026-01-14,Rice and Beans,White,130,126,126,0,0,2,10,3,2,2.0,3.0,,130,0.0,,2026-01-14 12:40:28,2026-01-14 13:05:50,25,,the food was enough,the queue was smooth and orderly,failed taps had increased,successful taps had increased from the previous day,@Kang'ethe Dennis
Githunguri,Gatitu Primary,Primary,2026-01-14,Rice and Beans,White,385,377,341,36,1,3,10,0,0,1.0,1.0,,380,1.0,,2026-01-14 12:10:38,2026-01-14 13:30:45,80,,Food today was well cooked.,Students moved in order from class to class..,Failed taps have increased by 2 from 8 to 10 resulted by parents not topping up on time or not at all.,Successful taps decreased from 379 to 377...few students never availed for tapping.,@Wambui ikonya -sc- Gatitu comprehensive
Githunguri,Mathanja Priamry,Primary,2026-01-14,Rice and Beans,White,200,191,174,17,0,2,1,0,0,12.0,3.0,,195,0.0,,2026-01-14 12:15:33,2026-01-14 13:30:41,75,,food was delicious,I managed the queue without any assistance,today we had only 1 failed tap same as yesterday. only one parent who didn't top-up.,today we had 191 actual meals served a decrease compared to yesterday 194.  some kids were absent today.,@mathanja primary school
Githunguri,Gathaithi Secondary,Secondary,2026-01-14,Rice and Beans,White,110,96,96,0,0,2,5,1,3,4.2,4.9,,110,,,2026-01-14 13:17:53,2026-01-14 13:55:09,37,,Food was delicious,Queuing was in order,We had 5 failed taps a rise from 4 yesterday due  failure of topping up by  some parents,We had a rise from yesterday's 94 to 96 successful taps due to more students attending school,@Joseph mburu nga'ang'a
Githunguri,Gathangari Primary,Primary,2026-01-14,Rice and Beans,White,415,409,382,27,0,3,9,2,2,12.0,2.0,,415,0.0,,2026-01-14 12:20:16,2026-01-14 13:20:31,60,,Food was delicious,The queue was smoothly managed by the teacher,Failed taps reduced slightly from 10 to 9.Parents forgot to top up their accounts but have urged kids to remind their parents to top up,Successful taps increased slightly from 408 to 409.Some parents topped up on time,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
Githunguri,Kiambururu Primary,Primary,2026-01-14,Rice and Beans,White,285,269,237,32,0,3,4,0,0,2.0,2.0,,275,0.0,,2026-01-14 12:20:17,2026-01-14 13:40:22,80,,The food was delicious.The kids enjoyed,Line management was smooth and fast,Failed taps were 4 the same as yesterday.Parents did not top up,Actual meals served decreased from 279 to 269.Student turnout was lower today,@Kiambururu Comprehensive School
Githunguri,Kiambururu Secondary,Secondary,2026-01-14,Rice and Beans,White,190,191,191,0,0,3,1,6,4,0.0,0.0,,200,0.0,,2026-01-14 13:20:33,2026-01-14 13:50:59,30,,The food was delicious students enjoyed the meal,line was well managed,failed taps today was 1 compared to previous which was 3 most of the parents to top up,"successful taps 191 an increase from previous which was 178, students are continuing report to school",@Salome-kiambururu secondary school
Githunguri,Githiga Primary,Primary,2026-01-14,Rice and Beans,White,390,394,357,37,0,3,22,4,4,0.0,0.0,,395,0.0,,2026-01-14 12:30:20,2026-01-14 13:55:28,85,,Food was sweet  and delicious.,Line Management was smooth,Failed taps decreased by 1 from 23,Actual  meals increased  from  380 to 394.turn out increased.,@Nicholas-SC - Githiga Comprehensive
Githunguri,Githioro Primary,Primary,2026-01-14,Rice and Beans,White,325,335,311,24,0,2,5,2,6,0.0,0.0,,335,0.0,,2026-01-14 12:44:26,2026-01-14 13:36:38,52,,Food was appetising,Line management was organised assisted by tod,"Failed taps reduced from yesterday’s 7 to 5 today, some parents remembered to top up their accounts.","Successful taps increased from yesterday’s 322 to 335 today, kids are turning up well to school.",@GITHIORO COMPREHENSIVE
Githunguri,Gathaithi Primary,Primary,2026-01-14,Rice and Beans,White,465,472,429,43,1,3,9,2,3,0.0,0.0,,480,3.0,,2026-01-14 12:30:47,2026-01-14 13:30:50,60,,Food was great,Teacher on duty managed the queue,Failed taps dropped from 13 to 9,Actual meals increased from 457 to 472.,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
Githunguri,Gikang'A Kageche Secondary,Secondary,2026-01-14,Rice and Beans,White,240,245,245,0,0,3,4,6,6,0.0,0.0,,260,0.0,,2026-01-14 13:10:53,2026-01-14 13:45:01,34,,Food was delicious,Queue was well managed by  the help of Deputy Principal,Today failed taps was the same as yesterday which was 4.parent didn't top up on time,Todays successful taps increased from 231 to 245.Turn out increased due to grade 10 admission,@Pauline Gatimu
Githunguri,Mukuyu Secondary,Secondary,2026-01-14,Rice and Beans,White,260,274,274,0,0,3,16,5,21,0.0,0.0,,300,0.0,,2026-01-14 12:40:32,2026-01-14 14:00:44,80,,Food was delicious,Queue was well managed,Mukuyu secondary school failed taps increases to 16 compared to previous which was 11 because grade 10 join and some parents didn't top up,Mukuyu secondary school actual taps was 274 which increases from 229 bacause grade 10 are still reporting,@Mukuyu Secondary School
Githunguri,Gataka Primary,Primary,2026-01-14,Rice and Beans,White,285,289,275,14,0,2,7,0,0,0.0,0.0,,295,0.0,,2026-01-14 12:36:49,2026-01-14 13:34:57,58,,The food was delicious,The queue was well managed by the school coordinator,"The number of failed taps rose from 5 to 7, we reminded kids to request their parents to top up.","The number of actual meals rose from 283 to 289, parents made timely payments for their kids.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
Githunguri,Gathiruini Primary,Primary,2026-01-14,Rice and Beans,White,250,240,212,28,0,2,2,0,3,2.0,3.0,,245,0.0,,2026-01-14 12:30:12,2026-01-14 13:30:18,60,,Lunch was delicious,Line management was good with help of teacher on duty,Failed taps today were 2 a decrease from 3 this is because parents topped up their accounts on time,Actual meal served today were 240 same as yesterday this is because parents topped up their accounts on time,@Catherine Wanjiru
Githunguri,Matuguta Secondary,Secondary,2026-01-14,Rice and Beans,White,110,115,115,0,0,2,3,1,8,0.0,0.0,,110,0.0,,2026-01-14 13:30:40,2026-01-14 13:50:05,19,,Food was hot and delicious,Queues were orderly and well managed by the help of the tod and the school administration,Failed taps today were 03 higher than yesterday's 01,Successful taps today were 115 higher in comparison to the projected meals that were 110 and higher than yesterday's 100,@Njeri -Matuguta secondary school
