Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri kitchen,Kindiga Primary,Githunguri 1,February,Primary,White,2026-02-23,Rice and Western,190,180,161,19.0,0,2,17,0,0,3.0,4.0,,190,0,2,50,2026-02-23 12:40:04,2026-02-23 13:30:14,,The food was Hot and delicious,Queues were orderly,"Failed taps increased to 17 from 6 ,parents did not top up accounts during the weekend","Successful taps decreased to 180 from Friday's 189,parents did not top up accounts hence affected our Successful taps",@James Mbugua SC Kindiga Primary
Githunguri kitchen,Gathugu Secondary,Ruiru-Githunguri,February,Secondary,White,2026-02-23,Rice and Western,280,266,266,0.0,0,3,10,0,0,14.0,4.0,,275,0,3,60,2026-02-23 13:00:38,2026-02-23 14:00:43,,Food was delicious,Queue management was good,Number of failed taps were 10,Number of successful taps descreased to 266,@Tapper Gathugu secondary school
Githunguri kitchen,Gathangari Primary,Githunguri 2,February,Primary,White,2026-02-23,Rice and Western,420,385,342,43.0,0,3,12,0,0,18.0,10.0,,390,0,3,70,2026-02-23 12:30:49,2026-02-23 13:40:59,,Food was hot and delicious,The queue was smoothly managed by the T.O.D,Failed taps increased from 7 to 12. Some parents forgot to top up on time and I have urged kids to top up on time,Successful taps decreased from 423 to 385.Kids were absent today from school .And some parents did not top up on time,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
Githunguri kitchen,Ihiga Primary,Githunguri 1,February,Primary,White,2026-02-23,Rice and Western,170,168,154,14.0,0,2,0,0,0,2.0,0.0,,165,0,2,35,2026-02-23 12:40:40,2026-02-23 13:15:47,,Food was Enough,Queues were manageable,Failed taps was 0 a decrease from previous 2.Parents topped up on time.,"Successful taps were 168,a decrease of 2 from previous 170.Turn up was low",@Naomi SC-Ihiga Comprehensive
Githunguri kitchen,Miguta Primary,Githunguri 2,February,Primary,White,2026-02-23,Rice and Western,250,249,232,17.0,0,2,10,0,1,0.0,0.0,,250,0,2,40,2026-02-23 12:50:16,2026-02-23 13:30:21,,The food was delicious,The queue was manageable,"There were 10 failed taps, an increase of 3 from the previous tapping. The parents did not top up on time.","There were 232 successful taps, an increase of 2 from the previous tapping. More students showed up for tapping.",@SC Pauline - Miguta Primary School
Githunguri kitchen,Kibichoi Primary,Ruiru-Githunguri,February,Primary,White,2026-02-23,Rice and Western,220,211,189,22.0,3,2,4,0,2,5.0,3.0,,215,5,2,35,2026-02-23 13:00:00,2026-02-23 13:35:09,,The food was delicious,I managed the queue well,The number of failed taps decreased from 10 to 4 as most parents topped up their accounts on time,"The number of successful taps decreased from 197 to 189, as some students didn't come to school as they are already done with the exams and will break for midterm on Wednesday",@sc kibichoi primary school
Githunguri kitchen,Githioro Primary,Githunguri 1,February,Primary,White,2026-02-23,Rice and Western,340,345,308,37.0,0,2,9,0,1,0.0,0.0,,330,0,2,64,2026-02-23 12:45:56,2026-02-23 13:50:03,,The food was appetising.,Line management was organised assisted by tod,"Faoled taps increased from 7 to 9 today,  parents didn't top up their accounts upon reaching them.","Successful taps increased from fridys 338 to 345 today, kids turned up well today.",@GITHIORO COMPREHENSIVE
Githunguri kitchen,Gathaithi Secondary,Githunguri 1,February,Secondary,White,2026-02-23,Rice and Western,120,110,110,0.0,0,2,7,0,0,1.5,1.75,,115,0,2,30,2026-02-23 13:25:43,2026-02-23 13:55:50,,Food was delicious,Queuing was good,We had 7 failed taps a drop  from Friday's 8 due to early topping up by parents,We had 110 successful taps a drop from Friday's 116 due to failure of students attending school,@Joseph mburu nga'ang'a
Githunguri kitchen,Gatitu Primary,Githunguri 1,February,Primary,White,2026-02-23,Rice and Western,400,387,348,39.0,1,3,10,0,0,2.0,2.0,,380,1,3,69,2026-02-23 12:20:55,2026-02-23 13:30:01,,Food today was well cooked..,Students were organized and moved grade by grade.,Failed taps increased by 1 from 9 to 10 resulted by parents not topping up throughout the weekend.,Successful taps decreased today from 362 to 348 resulted by students not turning up like they did on Friday..,@Wambui ikonya SC Gatitu comprehensive
Githunguri kitchen,Kanyore Primary,Githunguri 1,February,Primary,White,2026-02-23,Rice and Western,645,583,541,42.0,3,3,21,0,0,15.0,18.0,,600,3,3,70,2026-02-23 12:30:13,2026-02-23 13:40:18,,Food was delicious,Line management was organized,Number of failed taps increased from 19 to 21. Respective accounts were not topped up.,Number of successful taps decreased from 646 to 583 as many students were absent due to rains.,"@Haron Muiruri,SL Kanyore Primary"
