Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Kiambu kitchen,St. Joseph Riabai Secondary,Kiambu Regions,January,Secondary,White,2026-01-22,Rice and Beans,126,120,120,0.0,0,3,5,1,1,0.0,0.0,0.0,130,0,3.0,29,2026-01-22 12:30:59,2026-01-22 13:00:04,We expect more students,The food was delicious,The line was well managed,Failed taps decreased from 11 to 5 some students topped up their accounts,Successful taps increased from 120 to 117 some students had topped up their accounts,@Kwamboka (T) St.​joseph riabai secondary
Kiambu kitchen,Ngemwa Secondary,Githunguri 2,January,Secondary,White,2026-01-22,Rice and Beans,200,195,193,2.0,0,3,9,1,1,0.0,0.0,0.0,200,0,3.0,30,2026-01-22 12:40:27,2026-01-22 13:10:33,Students with insufficient balances reminded to top up their accounts.,Food was hot and delicious,Teacher on duty helped with line management,"Number of actual meals decreased from 206 to 195, students with insufficient balances reminded to top up their accounts","number of failed taps increased from 6 to 9, students with insufficient balances reminded to top up their accounts.",@Nicholas Tapper PCEA Ngemwa Secondary
Kiambu kitchen,St. Joseph Gathanga Secondary,Kiambu Regions,January,Secondary,,2026-01-22,,55,47,47,,0,3,2,2,2,0.0,0.0,,55,0,3.0,5,2026-01-22 13:15:04,2026-01-22 13:20:12,We expect a high turnout tomorrow,Food was hot and delicious.,The Queue was well managed by the TOD,The number increased from 0 to 2 because of insufficient funds,The number increased from 39 to 47 because of high turnout,@Oness Tapper St. Joseph high-school Gathanga
Kiambu kitchen,Chief Wandie Primary,Kiambu Regions,January,Primary,White,2026-01-22,Rice and Beans,330,330,296,34.0,0,1,13,0,0,0.0,0.0,0.0,320,0,1.0,50,2026-01-22 12:40:00,2026-01-22 13:30:00,Projecting 320 because Friday’s turnout is usually low,Food was hot and delicious,Line management was excellent,13 failed taps compared to yesterday’s 11 due to insufficient balances,330 actual meals served compared to yesterday’s 333 slight decrease due to increased failed taps,@Washeke-SC-Chief Wandie Pri
Kiambu kitchen,Kiababu Primary,Githunguri 1,January,Primary,White,2026-01-22,Rice and Beans,270,267,250,27.0,0,2,6,1,3,1.0,1.0,0.0,270,0,2.0,50,2026-01-22 12:40:47,2026-01-22 13:30:54,Expecting more kids to,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps decreased from 9 to 6 as some parents managed to pay on Time,Successful taps increased from 254 to 264 as some parents managed to pay on Time,@kiaibabu primary school
Kiambu kitchen,Kiambaa Primary,Kiambu Regions,January,Primary,White,2026-01-22,Rice and Beans,240,230,214,16.0,0,3,22,1,2,0.0,0.0,0.0,240,0,3.0,55,2026-01-22 12:40:25,2026-01-22 13:35:32,Expecting the same projection since kids are sent home,Food was hot and delicious,Queue was well managed by the help of the teacher on duty and the deputy,Failed taps decreased from 29 to 22 due to early payments,Successful taps increased from 223 to 230 due to early top up,@Tabitha wairimu
Kiambu kitchen,Kiairia Secondary,Githunguri 2,January,Secondary,White,2026-01-22,Rice and Beans,60,52,52,0.0,0,2,2,0,0,0.0,0.0,0.0,56,0,2.0,0,2026-01-22 13:13:21,2026-01-22 13:13:36,Tomorrow they might come and also they might not because is Friday,The food was delicious,Line management was good,Failed taps increased from 1 to 2,Successful taps decreased from 56 to 52 reason some students were sent home because of lateness,@Janet tapper kiairia secondary
Kiambu kitchen,Njenga Karume Primary,Kiambu Regions,January,Primary,,2026-01-22,,200,188,180,,0,3,20,0,2,1.0,1.0,,190,0,3.0,50,2026-01-22 12:40:52,2026-01-22 13:30:57,Expecting a similar turnout.,Five kids with sufficient balances came back for second serving,Queue was well managed by techer on duty and I.,Failed taps decreased from 24 to 20,Successful taps decreased from 183 to 180 as some kids had insufficient balances,@Eliud Nderu Sc Njenga karume comprehensive
Kiambu kitchen,Githunguri Primary,Githunguri 2,January,Primary,White,2026-01-22,Rice and Beans,450,459,426,33.0,0,0,17,0,2,0.0,0.0,0.0,450,0,3.0,46,2026-01-22 12:40:05,2026-01-22 13:26:10,We expect an increase in tomorrow's turn up,Food was good,Line was managed with the help of TOD,"Failed taps were 17 a slight decrease from yesterday's 18,,,some parents didn't manage to top up on time","Actual meals were 459 an increase from yesterday's 456,,,turn up increased",@SC- Githunguri Comprehensive
Kiambu kitchen,Gicoco Primary,Kiambu Regions,January,Primary,White,2026-01-22,Rice and Beans,360,371,320,51.0,0,3,17,2,2,0.0,0.0,0.0,350,0,3.0,80,2026-01-22 12:20:19,2026-01-22 13:40:24,Kids skip lunch on friday,Food was delicious,Queue was manageable,Failed taps remained constant at 17 some parents didn't top up on time,Successful taps increased from 311 to 320 turn up was good,@Anne (SC) Gicoco comprehensive
Kiambu kitchen,Ting'Ang'A Model,Kiambu Regions,January,Primary,White,2026-01-22,Rice and Beans,380,386,345,41.0,0,3,11,0,6,0.0,0.0,0.0,370,0,3.0,60,2026-01-22 12:40:46,2026-01-22 13:40:50,Projecting 370 as ECDE kids go home early on Fridays.,Food was well cooked,We had neat queues,"Our failed taps decreased from 16 to 11,,most parents topped up on time.","Our successful taps increased from 325 to 345,,kids turn out was good as they like beans stew.",@Faith Mueni (SC) Ting'ang'a model.
Kiambu kitchen,Karia Secondary,Githunguri 2,January,Secondary,White,2026-01-22,Rice and Beans,60,53,53,0.0,5,2,3,0,0,0.0,0.0,0.0,57,6,2.0,19,2026-01-22 13:15:54,2026-01-22 13:35:00,Qe expect a rise in successful taps tomorrow,Food was delicious and enough,Line was well managed,The number of failed taps has increased from 01 to 03,The number of successful taps has decreased from 55 to 53. Alot of students missed school,@Simon Tapper Karia secondary
Kiambu kitchen,Kahunira Secondary,Githunguri 1,January,Secondary,White,2026-01-22,Rice and Beans,140,138,138,0.0,0,3,2,0,2,0.0,0.0,0.0,150,0,3.0,30,2026-01-22 13:00:45,2026-01-22 13:30:57,Expecting grade 10 students to,Food was delicious,Line was well managed by TOD,"Failed taps decreased from 3 to 2, parents top up their accounts","Meals served today increased from 128 to 138, parents topped their accounts",@Tapper kahunira secondary
Kiambu kitchen,Mungai Chengecha Primary,Kiambu Regions,January,Primary,White,2026-01-22,Rice and Beans,590,557,489,68.0,0,3,27,4,3,22.0,4.0,4.0,590,0,3.0,55,2026-01-22 12:45:12,2026-01-22 13:40:17,Expecting a higher turn up tomorrow,Food was delicious,Queue was managed by the teacher on duty,"Increase in failed taps from 23 to 28 ,alot of parents did not top up their accounts","Decrease in successful taps from 492 to 484 ,alot of kids had insufficient balances today",@sc mungai c pry
Kiambu kitchen,Kawaida Secondary,Kiambu Regions,January,Secondary,White,2026-01-22,Rice and Beans,95,82,82,0.0,5,3,5,0,0,0.0,0.0,0.0,95,5,3.0,20,2026-01-22 13:10:35,2026-01-22 13:30:41,We expect a higher turneout since grade 10 students are still joining the school,Food was delicious and tasty,Queue was neat students know how to queue well,Failed taps increased from 3 to 5 parents topped up late,Successful taps remained the same as yesterday 82 most students were present today,@Njeri kawaida secondary school
