Kitchen,School,School_Type,Date,Menu,Rice_variant,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Lunch_Time_Min,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By,file_date
Githunguri,Gathaithi Primary,Primary,1/8/2026,Rice and Beans,White,450,442,406,36,0,3,18,4,5,2,2.4,,450,0,,1/8/2026 12:35,1/8/2026 13:40,65,,Food was delicious,School coordinator managed the queue successfully,We had 18 failed taps a drop from 50. Some Parents topped up today but some failed,We had 442 successful taps a rise from 403,@P.C.E.A Gathaithi primary and Junior secondary school,8
Githunguri,Mathanja Priamry,Primary,1/8/2026,Rice and Beans,White,175,169,147,22,0,2,4,3,5,2,2,,170,0,,1/8/2026 13:00,1/8/2026 13:50,50,,food was delicious,I managed the queue without any assistance,today we had 4 failed taps an increase compared to yesterday 3. some parents didn't top-up their accounts on time.,today we had 169 actual meals served an increase compared to yesterday 162. more kids reported today.,@mathanja primary school,8
Githunguri,Gitombo Primary,Primary,1/8/2026,Rice and Beans,White,170,167,153,14,0,2,0,0,2,1,1,,170,0,,1/8/2026 12:30,1/8/2026 13:30,60,,Food was yummy,Queue was manageable by the help of teacher.,Today failed was 0 a decrease of 5 from 5 yesterday  parent did top up on time.,Actual meal today was 167 a decrease of 1 from 168 yesterday this is due to absenteeism.,@Veronica Mwaura -S/C- Gitombo primary,8
Githunguri,Gatina Primary,Primary,1/8/2026,Rice and Beans,White,410,404,350,54,0,3,10,2,3,2,5,,400,0,,1/8/2026 12:31,1/8/2026 13:35,64,,food was hot and delicious,line was smooth and orderly,"Failed taps were 10 a decrease from yesterday's number of 12,more managed to credit accounts on time","Actual meals served increased from 391 to 404,these was due to high turn up and more accounts had sufficient funds.",@Kang'ethe Dennis,8
Githunguri,Kiawaiguru Primary,Primary,1/8/2026,Rice and Beans,White,190,187,168,19,1,2,4,0,2,1,1,,190,1,,1/8/2026 12:30,1/8/2026 13:28,58,,Lunch was delicious,Line transitioned from class to class.,"Failed taps decreased from yesterday’s 6 to today 4.I reminded parents to top up,",Actual meals served increased from yesterday’s 186 to today 187.Parents were able to top up.,@KIAWAIGURU PRIMARY SCHOOL,8
Githunguri,Ihiga Primary,Primary,1/8/2026,Rice and Beans,White,155,152,138,14,0,2,2,0,0,0,4,,150,0,,1/8/2026 12:40,1/8/2026 13:15,34,,Food was Enough,Queues were manageable,Failed taps were 2 an increase from yesterday's which was 0.Parents didn't top up their accounts on time.,Successful taps were 152 a decrease of 1 from yesterday's taps which was 153.Turn up was the same as yesterday's.,@Naomi SC-Ihiga Comprehensive,8
Githunguri,Gathiruini Primary,Primary,1/8/2026,Rice and Beans,White,210,228,207,21,0,2,6,0,0,0,0,,235,0,,1/8/2026 12:30,1/8/2026 13:30,60,,Lunch was delicious,Line management was good with help of teacher on duty,Failed taps today were 6 a decrease from 25 this is because parents topped up their accounts on time,Actual meal served today were 228 a increase from 199 this is because parents topped up their accounts on time,@Catherine Wanjiru,8
Githunguri,Kiambururu Secondary,Secondary,1/8/2026,Rice and Beans,White,150,159,159,0,0,3,2,0,2,0,0,,165,0,,1/8/2026 13:20,1/8/2026 13:50,30,,The food was delicious students enjoyed the meal,line was manageable,"Failed taps today was 2 a slightly decrease from previous which was 3, some parents forgot to top up.",successful taps was 159 compared from previous which was 133 more students reported back to school.,@Salome-kiambururu secondary school,8
Githunguri,Gathangari Primary,Primary,1/8/2026,Rice and Beans,White,320,368,343,25,0,3,7,0,5,0,0,,380,0,,1/8/2026 12:35,1/8/2026 13:47,72,,food was delicious,Queue was smoothly managed by the teacher,Failed taps reduced from 55 to 7.Some parents forgot to top up . I have urged kids to remind their parents,Successful taps increased from 368 to 306.Most parents topped up on time while Graduated kids was rectified,@Pauline Gatimu,8
Githunguri,Githiga Primary,Primary,1/8/2026,Rice and Beans,White,290,243,221,22,0,3,23,0,0,4,6,,270,0,,1/8/2026 12:30,1/8/2026 13:51,81,,Food was sweet and delicious,Line Management was smooth and managable.Students queued from lower classes to upper classes with assistance from teacher on duty.,Failed taps decreased from 26 to 23.some parents topped up their accounts.,Actual meals decreased from 318 to 243.students were sent home for school fees. Hence turnout  being low.,@Nicholas-SC - Githiga Comprehensive,8
Githunguri,Gataka Primary,Primary,1/8/2026,Rice and Beans,White,260,263,242,21,0,2,6,0,3,0,0,,270,0,,1/8/2026 12:34,1/8/2026 13:37,64,,The food was delicious,The queue was well managed,"The number of failed taps dropped from 21 to 6, we reminded kids to request their parents to top up.","The number of actual meals rose from 245 to 263, more parents made timely payments for their kids.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary,8
Githunguri,Kanyore Primary,Primary,1/8/2026,Rice and Beans,White,520,537,500,37,0,3,31,5,12,4,0,,550,0,,1/8/2026 12:40,1/8/2026 13:30,50,,Food was delicious,Queue was well managed,The number of failed taps reduced from yesterday’s 48 to today’s 31 because more accounts were topped up.,The number of actual taps increased from yesterday’s 505 to today’s 537 because more accounts were topped up.,@Kanyore Comprehensive School,8
Githunguri,Gikang'A Kageche Secondary,Secondary,1/8/2026,Rice and Beans,White,110,103,103,0,0,3,4,0,7,2,2,,120,0,,1/8/2026 13:10,1/8/2026 13:35,25,,Food was delicious,Queue was smoothly managed by the help of TOD,Today's failed taps was the same as yesterday.. parents didn't top up on time,Today's successful taps was 103 an increase from yesterday which was 77.a number of students reported back,@Pauline Gatimu,8
Githunguri,Kiambururu Primary,Primary,1/8/2026,Rice and Beans,White,260,252,223,29,0,3,2,1,9,1,1,,275,0,,1/8/2026 12:25,1/8/2026 13:30,65,,The food was delicious.The kids enjoyed,Line management was smooth and fast,Failed taps decreased from 5 to 2.Parents are topping up on time,Actual meals served increased from 244 to 252.This is because most parents had topped up on time,@Kiambururu Comprehensive School,8
Githunguri,Matuguta Primary,Primary,1/8/2026,Rice and Beans,White,440,432,401,31,3,3,15,0,3,2,2,,450,3,,1/8/2026 12:30,1/8/2026 13:30,60,,Food was delicious,Queue was well managed,Failed taps were 15 an increase of 2 from yesterday's 13 failed taps. Respective parents had not topped up.,Actual meals were 432 an increase of 4 taps from yesterday's 428 actual meals. Some students with failed taps topped up thier accounts today.,@Matuguta primary,8
Githunguri,Matuguta Secondary,Secondary,1/8/2026,Rice and Beans,White,90,95,95,0,0,2,1,0,3,0,0,,90,0,,1/8/2026 12:50,1/8/2026 13:00,11,,Food was hot and delicious,Queues were orderly and well managed by the help of the tod,Number of failed taps today reduced from 04 yesterday to 01 today,Successful taps today surpassed the projection which was 90 and today's was 95,@Njeri -Matuguta secondary school,8
Githunguri,Gatitu Primary,Primary,1/8/2026,Rice and Beans,White,330,327,299,28,0,3,8,2,7,1,1,,330,0,,1/8/2026 12:10,1/8/2026 13:40,90,,"Food was enough for all,and well cooked.",Queues transitioned swiftly under ToD's cordinance..,"A decrease in failed taps from 12 to 8 resulted by parents topping up their respective accounts,,and on time.",An increase in successful taps from 291 to 299 which was caused by accounts having enough funds for feeding.,@Wambui ikonya -sc- Gatitu comprehensive,8
Githunguri,Kindiga Primary,Primary,1/8/2026,Rice and Beans,White,180,172,154,18,0,2,4,3,2,2,1.5,,175,0,,1/8/2026 12:20,1/8/2026 13:20,60,,The food was Great.,Queues were well managed with the help of TOD.,"The number of failed taps decreased to 4 from 13,some parents still did not top up accounts.","The no of successful taps increased to 172 from yesterday's 153,Grade 7 students reported today.students are still reporting back to school.",@James Mbugua SC Kindiga Primary,8
Githunguri,Githioro Primary,Primary,1/8/2026,Rice and Beans,White,290,294,272,22,0,2,6,4,6,0,0,,300,0,,1/8/2026 12:35,1/8/2026 13:36,61,,Food was appetising,Line management was orderly assisted by the TOD,"Failed taps reduced from 14 to 6 , some parents remembered to top up their accounts on time.","Successful taps increased from 277 to 294 today, kids are still resuming well to school.",@GITHIORO COMPREHENSIVE,8
Githunguri,Kiawairia Primary,Primary,1/8/2026,Rice and Beans,White,130,123,107,16,2,2,5,2,2,2,2,,130,2,,1/8/2026 12:00,1/8/2026 13:30,89,,Food was delicious,Lines were neat and ordely,We had 5 failed taps an increase from 4 some parents didn't top up on time,We had 107 successful taps a decrease from 110 failed taps were high,@Mary kimani SC kiawairia comprehensive school,8
Githunguri,Kiawairia Secondary,Secondary,1/8/2026,Rice and Beans,White,25,18,18,0,0,2,1,0,0,2,2,,25,0,,1/8/2026 13:20,1/8/2026 13:30,10,,Food was appetizing and delicious,Line management was transitioning good,Number of failed taps decreased from 2 to 1 parents topped up on time,Number of actual meals decreased from 41 to 18 students were sent home yesterday for school fees hence leading to the low turnout today,@Patrick Kariuki Kiawaria secondary school Tapper,8
