Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Njenga Karume Comprehensive School,,,210,180,165,,0,3,17,0,0,,2,,210,0,3,"6 Mar 2026, 12:40:19","6 Mar 2026, 13:20:23",Expecting a normal turnout as there a no events.,9 kids with sufficient balances came back for second serving,Queue was well managed by techer on duty,Failed taps increased from 15 to 17 as some parents hadn't topped up.,*Successful taps decreased from 179 to 165 mainly because of low turnout as there were games today and some kids dint report.,@Eliud Nderu Sc Njenga karume comprehensive
,St. Augustine Gatono Primary,,,170,170,150,,2,3,9,0,1,,0,,180,2,3,"6 Mar 2026, 12:30:07","6 Mar 2026, 13:30:14",Expecting higher turn out next day,Food was delicious,Queue was well managed,Failed taps decreased from 10 to 9 as parents topped up on time,*Successful taps decreased from 153 to 150 as some kids were absent,@Anne Njoroge -SC St.?Augustine
,Ting'ang'a Secondary School,2026-03-06,White rice and beans,100,108,100,8,0,4,7,0,1,0,0,0,100,0,4,"6 Mar 2026, 13:30:56","6 Mar 2026, 13:45:04",Hopping for a better turn out on Monday,The food was hot and delicious,Queue was neat and manageable,Today's failed taps were 7 which was a decrease from yesterday's taps due to parent topping up on time,Today successful taps were 100 which was an increase from yesterdays taps due to higher turn outs,@Brenda Kamau Tapper Ting'ang'a Secondary school
,Cianda Secondary School,2026-03-06,White rice and beans,135,129,128,1,0,3,19,0,0,2,2,0,135,0,3,"6 Mar 2026, 13:20:02","6 Mar 2026, 13:45:16",Expecting a higher turn out tomorrow,Food was hot and delicious,Queue well managed,Failed taps increased 9 to 19,Successful taps remained 128 as yesterday's,@Valentine -Tapper Cianda Secondary
,Riara Primary School,2026-03-06,Rice and Beans,200,200,179,21,0,2,11,0,0,0,0,0,210,0,2,"6 Mar 2026, 12:20:52","6 Mar 2026, 13:30:01",We expect a good turn out on Monday,Food was delicious,Easy queue management,Failed taps have reduced from 15 to 11 parents improved on topping up,Successful taps have reduced from 189 to 179  some students missed school,@Jeniffer -(SC) Riara primary school
,HGM Ting'ang'a Secondary School,2026-03-06,Rice and Beans,90,83,83,3,1,2,6,1,1,,0,0,90,1,2,"6 Mar 2026, 12:55:43","6 Mar 2026, 13:10:50",Projection to be meet,Ordarate,Well managed,"Failed taps reduced by one ,,still insufficient funds in some accounts","Successful taps increased,,,some of the students sent home resumed",@Linnet Tapper Ting'ang'a HGM Sec
,Kawaida Secondary School,2026-03-06,Rice and beans,90,76,76,0,5,3,3,0,1,0,0,0,95,5,3,"6 Mar 2026, 13:20:15","6 Mar 2026, 13:20:20",We expect a higher turneout on Monday,Food was delicious and tasty,Queue was well managed by the teacher on duty,Failed taps decreased from 4 to 3 parents topped up on time,Successful taps decreased from 79 to 76 parents topped up late,@Njeri kawaida secondary school
,Kiambaa Comprehensive School,2026-03-06,White rice and beans,240,246,228,18,0,3,23,0,0,0,0,0,250,0,3,"6 Mar 2026, 12:45:51","6 Mar 2026, 14:50:59",Expecting ahigher projection as parents continue to pay,Food was hot and delicious,Queue was well managed by the help of the teacher on duty,Failed taps increased from 18 to 23 due to delay in payments,Successful taps increased 230 to 246 due to early payment,@Tabitha wairimu
,ACK Riabai Primary School,2026-03-06,White Rice and Beans,320,345,305,40,0,3,15,1,1,0,0,0,330,0,3,"6 Mar 2026, 12:15:28","6 Mar 2026, 13:40:31",On Monday the turn out is usually low and high failed taps.,The food was delicious,Kids know how to queue on their own,Failed taps today is 12 compared to yesterday's 13. Parents didn't top up their kids account,Successful taps today is 305 an increase from yesterday's 293. The kids turn out was good.,@Camilla (SC) ACK RIABAI PRIMARY
,St. Joseph Riabai Secondary School,2026-03-06,Rice and beans,130,116,116,0,0,3,7,0,2,0.5,0.5,0,120,0,3,"6 Mar 2026, 12:30:53","6 Mar 2026, 13:00:59",We expect more students to resume to school and also top up their accounts,The food was warm and delicious,The line was well managed,Failed taps decreased by 1 from 8 to 7 one parent topped up the account,Successful taps decreased from 128 to 116 this is because some students had insufficient funds,@Kwamboka (T) St.?joseph riabai secondary
,Mukua Secondary School,2026-03-06,White rice and beans,75,77,77,0,0,2,4,0,1,0,0,0,85,0,2,"6 Mar 2026, 13:15:20","6 Mar 2026, 14:02:30",Expecting high turn up of students,Food was good,I managed the queue,Failed taps decreased from 6 to 4.most parents topped their accounts on time,Successful taps increased from 63 to 77.most students tapped,@Mukua secondary
,St. Peters Ndumberi Secondary School,2026-03-06,Rice to beans,515,483,470,13,0,4,9,0,1,1,1,0,500,0,4,"6 Mar 2026, 13:00:24","6 Mar 2026, 13:35:32",Expecting the above projection since the students who had not yet,The food was very delicious,There was an easy queue management,Today's failed taps were 9 compared to yesterdays which was 11.This is because some parents topped up.,Today's successful taps were 470 compared to yesterdays which was 495.This is because there was a decrease in the turn out.,@St Peters Ndumberi secondary
,Ndumberi Primary,2026-03-06,Rice and beans,820,819,747,72,0,5,47,0,5,0,0,0,820,0,5,"6 Mar 2026, 12:10:17","6 Mar 2026, 13:50:24",Expecting similar turn out as today,Food was very delicious,Easy queue management,Today's failed taps were 47 compared to yesterday 52 some parents topped up,Today's successful taps were 747 same as yesterday some parents dint top up,@Ndumberi primary school
,PCEA Githunguri Comprehensive School,2026-03-06,White rice and beans,450,457,410,47,0,3,15,0,0,0,0,0,450,0,3,"6 Mar 2026, 12:40:14","6 Mar 2026, 13:25:17",We expect an increase on Monday's turn up,Food was good,Line was managed with the help of a senior teacher,"Failed taps were 15 a decrease from yesterdays 21,,respective parents didn't manage to top up on time","Successful taps were 410 an increase from yesterday's 406,,turn up was abit high",@SC- Githunguri Comprehensive
,Kahunira Secondary School,2026-03-06,White Rice and beans,100,92,92,0,0,2,2,0,0,2,3,0,160,0,2,"6 Mar 2026, 12:55:19","6 Mar 2026, 13:25:26",Expecting a higher turn up since it will be a normal school day,Food was hot and delicious,Line was well managed by TOD,"Failed taps increased from 1 to 2, parents didn't top up their account","Successful taps decreased from 158 to 92, form four students went for trip",@Tapper kahunira secondary
,St. Vincent Lioki Secondary School,2026-03-06,Rice ana beans,140,124,124,0,0,2,10,0,1,4.8,5.6,0,185,0,3,"6 Mar 2026, 13:20:29","6 Mar 2026, 13:40:34",a higher number on Monday,The food was hot,Queue was managed,Failed taps increase by 5 parents topped up their account,Successful taps decreased by 39 due to a lower number of students who show up,@Ann Tapper St. Vincent secondary
,Ting'ang'a Model  School,2026-03-06,White rice and beans,400,421,366,55,0,3,15,0,2,0,0,0,420,0,3,"6 Mar 2026, 12:20:46","6 Mar 2026, 13:50:50",We expect kids to turn out in good numbers as we will be having beans stew.,Food was well prepared,We had neat queues,"Our failed taps increased from 10 to 15,,most parents didn't top up on time","Our successful taps increased from 355 to 366,,kids turn our was impressive as they like beans stew.",@Faith Mueni (SC) Ting'ang'a model.
