Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,P.C.E.A Karia Secondary School,2026-01-16,White rice and western,60,49,49,0,3,2,5,0,1,00,0,0,60,5,2,"16 Jan 2026, 11:15:04","16 Jan 2026, 11:35:10",We expect a rise in successful taps on Monday,Food was delicious and enough,Line was well managed,The number of failed taps increased from 02 to 05,The number of successful taps decreased from 51 to 49,@Simon Tapper Karia secondary
,Kibathi Comprehensive School,,,725,715,656,,0,5,14,0,11,0,0,,720,0,5,"16 Jan 2026, 12:20:18","16 Jan 2026, 13:40:42",Students are topping up their Accounts on time,Food was hot and delicious,Queue Was well managed by the help of tapper,Failed taps reduced from 43 to 14,Successful taps  increased from 636 to 656,@Jackline Otieno
,Riara Primary School,2026-01-16,Rice and western,180,177,170,0,0,2,21,1,0,0,0,0,170,0,2,"16 Jan 2026, 12:20:05","16 Jan 2026, 13:25:35",On Monday turn out is usually low,Food was delicious and well cooked,Easy queue management,Failed taps have increased from 16 to 21 some parents failed to top up,Successful taps have increased from 171 to 177 turn out was good,@Jeniffer -(SC) Riara primary school
,Kibubuti Primary School,2026-01-16,Rice & western,500,506,455,51,0,3,22,0,4,0,0,0,500,0,3,"16 Jan 2026, 12:30:34","16 Jan 2026, 14:10:39",We expect numbers to increase,Food was delicious,Line management was okay,Failed taps increased to 22 due to insufficient accounts,Successful taps reduce to 455 due to an increase in the number of failed taps,@Maureen mwaura SC kibubuti pry
,Lioki Comprehensive School,2026-01-16,White rice and Western,140,141,126,15,0,2,4,0,0,0,0,0,145,0,2,"16 Jan 2026, 13:00:37","16 Jan 2026, 14:00:44",We expect a better turn out tomorrow,Food was well cooked the kids enjoyed,The queue was well managed with the help of the teacher on duty,Failed taps reduced by 3 as I called the parents and they recharged their accounts,Successful taps increased from 121 to 126 as the parents remembered to recharge their accounts,@SC Phoebe - Lioki Primary school
,Waguthu Comprehensive School,2026-01-16,White Rice & western,590,525,465,60,0,3,21,1,8,0,0,0,600,0,3,"16 Jan 2026, 12:40:20","16 Jan 2026, 13:40:23",We anticipate that the numbers will go higher.,Tapping went on smoothly,Queues were well managed by T.O.D,"Failed taps increased from 8 to 21,due to insufficient balances",Successful taps decreased from 496 to 465 due to low turnout for tapping,@KELVIN GATIBA SL WAGUTHU COMPREHENSIVE
,Gathanji Secondary School,2026-01-16,Rice and  western,60,57,57,0,0,2,0,0,0,1.5,1,0,65,0,2,"16 Jan 2026, 13:00:27","16 Jan 2026, 13:10:41",We expect  a higher turnout  on Monday  compared  to today.,Food was sweet and delicious .,The line  was well managed  by the teacher  on duty.,There was a decrease  in failed taps from 2 to 0 since most parents toped up on time.,There was an increase  in successful  taps from 54 to 57 since  parents  toped up.,@Purity _ tapper Gathanji sec.
,Mungai Chengecha Primary School,2026-01-16,Rice and western,560,552,484,68,0,3,22,1,5,0,0,0,570,0,3,"16 Jan 2026, 12:45:48","16 Jan 2026, 13:50:52",Expecting a higher turn up on Monday,Food was delicious,Queue was managed by the teacher on duty,"Increase in failed taps from 19 to 22 , alot of kids today had insufficient balances","Decrease in successful taps from 490 to 484 , we had alot of insufficient balances today",@sc mungai c pry
,Njenga Karume Comprehensive School,2026-01-16,White rice and Western,190,192,183,9,0,3,24,1,0,0,0,0,200,0,3,"16 Jan 2026, 12:40:06","16 Jan 2026, 13:30:11",Expecting a higher number next week.,No kids came back for second serving,Queue was well managed by teacher on duty,Failed taps increased from 22 to 24 as many kids had insufficient balances.,Successful taps taps increased from 172 to 183 as we had a high turnup,@Eliud Nderu Sc Njenga karume comprehensive
,Riara Secondary School,2026-01-16,W Rice & western,87,79,65,0,0,2,5,1,0,0,0,0,90,0,2,"16 Jan 2026, 12:45:00","16 Jan 2026, 13:30:00",We expect a good turnout on Monday,Food was delicious,Easy queue management,Successful taps decreased to 65 from yesterdays 67,Failed taps remained as 5,@Tapper Riara Sec
,St. Augustine Gatono Primary,2026-01-16,Rice and Western,170,170,150,20,3,3,2,1,2,0,0,0,170,3,3,"16 Jan 2026, 12:30:49","16 Jan 2026, 13:05:56",Expecting higher turn out on Monday,Food was delicious,Queue was well managed,Failed taps decreased from 5 to 2,Successful taps decreased from 153 to 150,@Anne Njoroge -SC St.​Augustine
