Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Kambui Primary School,2026-02-05,"Tumeric Rice, Beans and mangoes.",270,268,209,57,0,2,6,1,1,1.5,1.75,,270,00,,"5 Feb 2026, 12:50:34","5 Feb 2026, 13:50:04",,The food was delicious. The mangoes were enough.,The line was well managed,We had 6 failed taps. Parents did not top up their accounts.,We had 209 successful taps a higher number compared to yesterday's that were 208.,@Kambui Primary and Junior School
,Ndireti Secondary School,2026-02-05,Rice and beans,45,39,39,0,0,2,3,1,1,1.5,1.5,,40,0,,"5 Feb 2026, 12:40:37","5 Feb 2026, 13:00:44",,The food was delicious,The line was manageable,The number of failed taps increased with a difference of 2 this is because the students claim their parents forgot to top up their account,The number of successful taps decreased with a difference with a difference of 2 this is because number of failed taps increased,@Tracy Tapper Ndireti secondary school
,Kibichoi Primary School,2026-02-05,Tumeric Rice and beans,220,201,183,18,0,2,6,0,1,0,0,,220,1,,"5 Feb 2026, 13:00:15","5 Feb 2026, 13:40:25",,The food was delicious,I managed the queue well,The number of failed taps increased from 4 to 6 as some parents didn't top up their accounts on time,"The number of successful taps decreased from 199 to 183, as some parents didn't top up their accounts on time",@sc kibichoi primary school
,Gathaithi Secondary School,2026-02-05,Rice and beans,120,130,130,0,0,2,3,0,1,0,0,,130,0,,"5 Feb 2026, 13:12:49","5 Feb 2026, 13:40:59",,Food was delicious,Queuing was good,We had 3 failed taps a drop from yesterday's 6 due to early topping up by parents,We had 130 successful taps a rise from yesterday's 123 due to early topping up by parents and excellent students attendance in school,@Joseph mburu nga'ang'a
,PCEA Matuguta Secondary School,2026-02-05,White Rice and Beans,130,125,125,0,0,2,8,0,1,00,0,,125,00,,"5 Feb 2026, 13:30:16","5 Feb 2026, 13:50:26",,Food was hot and delicious the kids enjoyed,Queues were orderly and well managed by me,Failed taps today increased from 04 to 08 today most of the parents didn't top up on time,Successful taps today reduced from 133 yesterday to 125,@Njeri -Matuguta secondary school
,Kindiga Primary & Junior Secondary School,2026-02-05,Tumeric Rice and Beans,190,188,171,17,0,2,2,0,0,00,0,,185,00,,"5 Feb 2026, 12:40:06","5 Feb 2026, 13:30:14",,The food was Hot and delicious,Queues were well managed with the help of TOD,"Failed taps decreased to 2 from yesterday's 5,some parents still did not top up on time.","Successful taps  decreased to 188 from yesterday's 191,There was a slight low turnout today.",@James Mbugua SC Kindiga Primary
,Miiri Secondary School,2026-02-05,Tumeric rice and beans,40,34,34,0,0,2,0,0,0,2,2,,40,1,,"5 Feb 2026, 13:10:43","5 Feb 2026, 13:30:49",,The food was hot and yummy,Queue management was neat and organized with assistance of TOD,"Failed taps decreased from 1 to zero,all parents had topped up","Successful taps increased from 33 to 34, more parents had topped up on time","@Esther,Tapper; Miiri Secondary School"
,Mitahato Primary School,2026-02-05,White rice and beans,245,245,216,29,0,2,5,0,1,0,0,,245,0,,"5 Feb 2026, 12:15:33","5 Feb 2026, 13:25:40",,Food was delicious,Queue management was hassle-free,Failed taps decreased from 8 to 5 because parents forgot to top up on time,successful taps increased from 235 to 245 because students come for lunch as expected,@SC George-Mitahato Comprehensive
,Kigumo Primary,2026-02-05,White Rice and Beans,185,174,160,14,0,2,31,0,0,2,3,,185,0,,"5 Feb 2026, 12:40:53","5 Feb 2026, 13:19:58",,Food was delicious,Line management was orderly assisted by the teacher on duty,We had 31 failed taps compared to yesterday where we had 10.This increase was led by parents not topping up their accounts,We had 174 actual meals served compared to yesterday where we had 185.This decrease was led by kids missing school and high number of failed taps,@S C PCEA Kigumo Comprehensive School
,"Ceb Riamute Nursery, Primary & Junior Secondary School",2026-02-05,Rice and beans,330,324,291,33,0,3,11,0,0,0,0,,320,0,,"5 Feb 2026, 12:30:34","5 Feb 2026, 13:20:37",,The food was yummy and hot,With the help of Tod the queue was running smoothly,We has 11 failtaps a lower number than previous day which was 17 since their accounts had insufficient funds,We had 324 successful taps a lower number than previous day which was 335 since their parents top up their accounts,@sc willy- Ceb Riamute primary school
