Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Ciiko Primary,2026-02-03,Rice and Beans,990,967,890,77,0,5,11,0,9,10,12,0,980,0,5,"3 Feb 2026, 12:40:43","3 Feb 2026, 13:30:52",If we shall be given mangoes tomorrow we expected the number of meals to be 885. If no mango we expect 870.,Food was hot and delicious,Queue was managed by teacher on duty,Failed taps decreased from 36 to 11,Successful taps  increased 876 to 890.,@Ciiko Comprehensive school -SL- Samy Migwi
,Njenga Karume Comprehensive School,,,200,193,185,,0,3,19,1,2,0,0,,200,0,3,"3 Feb 2026, 12:40:52","3 Feb 2026, 13:20:56",Expecting a better number,No kids came back for second serving,Queue was well managed by techer on duty,Failed taps decreased from 24 to 19 as parents had topped up,Successful taps increased from 173 to 185 as Many kids had Sufficient balances,@Eliud Nderu Sc Njenga karume comprehensive
,P.C.E.A Karia Secondary School,2026-02-03,White rice and beans,65,40,40,0,8,2,2,0,0,00,0,0,50,6,2,"3 Feb 2026, 13:15:46","3 Feb 2026, 13:35:53",We expect a rise in successful taps tomorrow e,Food was delicious and enough,Line was well managed,The number of failed taps has remained the same 02,The number of successful taps has decreased from 57 to 40 alot of students were absent today,@Simon Tapper Karia secondary
,St. Joseph Gathanga Secondary School,,,55,45,45,,0,3,5,0,0,0,0,,55,0,3,"3 Feb 2026, 13:15:29","3 Feb 2026, 13:20:34",We expect the same numbers tomorrow,Food was hot and delicious,The Queue was  well managed by the TOD,The number increased by 4 because of insufficient funds,The number reduced by 1 because of many failed taps,@Oness Tapper St. Joseph high-school Gathanga
,Cianda Secondary School,2026-02-03,White rice and beans,150,131,130,1,0,3,14,0,2,6,7,0,145,0,3,"3 Feb 2026, 13:20:20","3 Feb 2026, 13:45:43",Expecting a higher turn out tomorrow,Food was hot and delicious,Queue well managed,Failed taps decreased from 17 to 14,Successful taps increased from 121 to 130,@Valentine -Tapper Cianda Secondary
,Kawaida Secondary School,2026-02-03,Rice and beans,100,91,91,0,5,3,1,0,3,0,0,0,100,5,3,"3 Feb 2026, 13:20:52","3 Feb 2026, 13:40:02",We expect a higher turneout,Food was delicious and tasty,Queue was well managed by the teacher on duty,Failed taps decreased from 5 to 1 parents topped up on time,Successful taps increased from 80 to 100  parents topped up on time,@Njeri kawaida secondary school
,Chief Wandie Primary School,2026-02-03,Rice and yellow beans,345,376,376,35,0,2,13,0,1,,0,0,380,0,2,"3 Feb 2026, 12:40:39","3 Feb 2026, 13:50:57",The projecting to be meet,Everything was smooth,Queue was well managed,The failed taps reduced,Successful taps increased from the previous day,@Washeke-SC-Chief Wandie Pri
,Mukua Secondary School,2026-02-03,White rice and beans,80,75,74,1,0,2,5,1,3,0,0,0,85,0,2,"3 Feb 2026, 13:17:36","3 Feb 2026, 13:38:46",Normal attendance,Food was good,I managed the queue smoothly,Failed taps decreased from 8 to 5.parents topped their accounts on time,Successful taps increased from 69 to 75.most students tapped,@Mukua secondary
,Riara Secondary School,2026-02-03,white rice & bean,105,95,95,0,0,2,2,2,0,1,1,0,105,0,2,"3 Feb 2026, 12:45:00","3 Feb 2026, 13:30:00",We expect a good turnout tomorrow,Food was delicious,Easy queue management,Successful taps increased to 95 from 94 yesterday,failed taps decreased to 2 from 10 yesterday,@Tapper Riara Sec
,Kiairia Secondary School,2026-02-03,Rice and Beans,60,43,43,0,0,2,1,0,1,0,0,0,50,0,2,"3 Feb 2026, 13:13:18","3 Feb 2026, 13:30:31",I expect a higher number tomorrow,The food was very nice,Line management was smooth,Today failed tap decreased from 2 to 1 parents topped their accounts,Successful taps decreased from 45 to 43 some students were sent home to shave their hair others were absent,@Janet tapper kiairia secondary
