Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,St. Augustine Gatono Primary,,,180,180,166,,2,3,8,1,1,0,0,,180,2,3,"2 Feb 2026, 12:30:35","2 Feb 2026, 13:20:45",Expecting higher turn out tomorrow,Rice and Western,Queue was well managed,Failed taps remained 8 since some parents had not topped up,Successful taps increased from 157 to 166 as parents topped up on time,@Anne Njoroge -SC St.?Augustine
,Ting'ang'a Secondary School,2026-02-02,White rice and western,115,114,107,7,0,4,11,0,0,0,0,0,120,0,4,"2 Feb 2026, 13:20:33","2 Feb 2026, 13:50:41",Hopping there will be increase in turn outs,The food was hot and delicious,Queue was neat and manageable,Today's failed taps were 11 which  increased from Fridays failed taps due to insufficient fund,Today's Successful taps were 107 which decreased from Fridays successful taps reason was lower turn out,@Brenda Kamau Tapper Ting'ang'a Secondary school
,PCEA Githunguri Comprehensive School,2026-02-02,White rice and western,450,459,422,37,0,3,30,1,1,0,0,0,460,0,3,"2 Feb 2026, 12:40:38","2 Feb 2026, 13:30:42",We expect an increase in tomorrow's turn up,Food was good,Line was managed with the help of TOD,"Failed taps were 30 an increase from Friday's 17,,,some parents didn't manage to top up on time",Successful taps were 422 an increase from Friday's due to an increase in turn up,@SC- Githunguri Comprehensive
,Cianda Secondary School,2026-02-02,White rice and western,140,122,121,1,0,3,17,0,0,5.7,6.6,0,140,0,3,"2 Feb 2026, 13:20:55","2 Feb 2026, 13:45:21",Expecting a higher turn out tomorrow,Food was hot and delicious,Queue well managed,Failed taps increased from 7 to 17,Successful taps increased from 136 to 121,@Valentine -Tapper Cianda Secondary
,P.C.E.A Karia Secondary School,2026-02-02,White rice and western,50,47,47,0,4,2,2,0,1,00,0,0,50,5,2,"2 Feb 2026, 13:15:53","2 Feb 2026, 13:35:03",We expect a rise on successful taps tomorrow,Food was delicious and enough,Line was well managed,The number of failed taps have remained the same 02,The number of successful taps has increased from 42 to 47,@Simon Tapper Karia secondary
,Riara Secondary School,2026-02-02,White Rice & Western,105,94,94,0,0,2,10,1,0,1,1,0,105,0,2,"2 Feb 2026, 12:45:00","2 Feb 2026, 13:30:00",We expect a good turnout,Students enjoyed the meal,Easy queue management,Successful taps increased to 94 from 92 on Friday last week,Failed taps increased to 10 from 5 on friday. Some parents failed to top up,@Tapper Riara Sec
,Njenga Karume Comprehensive School,,,200,187,177,,0,3,28,0,0,0,0,,200,0,3,"2 Feb 2026, 12:40:49","2 Feb 2026, 13:20:54",Expecting parents to top up as kids with insufficient balances dint feed.,5 kids came back for second serving,Queue was well managed by techer on duty,Failed taps increased from 24 to 28 as many kids had insufficient balances,Successful taps decreased from 187 to 177 as many kids had failed taps.,@Eliud Nderu Sc Njenga karume comprehensive
,Ciiko Primary,2026-02-02,Rice and western,975,950,876,74,0,5,36,0,9,9,12,0,980,0,5,"2 Feb 2026, 12:30:04","2 Feb 2026, 13:30:20",We expect the number of failed taps to decrease and also turnout to be high this projecting 980,The food was enough and delicious,The queue was well managed by the teacher on duty,The failed taps were increased from 11 to 36. The parents didn't top up,The successful taps decreased from 899 to 876,@Ciiko Comprehensive school -SL- Samy Migwi
,Kiambaa Comprehensive School,2026-02-02,White rice and beans,240,236,220,16,0,3,33,1,3,,0,0,240,0,3,"2 Feb 2026, 12:45:53","2 Feb 2026, 13:50:59",Expecting ahigher projection as parents continue to pay,Food was hot and delicious,Queue was well managed by the help of the teacher on duty,Failed taps increased from 23 to 33due to insufficient balances,Successful taps increased from 231 to 236 due early payments,@Tabitha wairimu
,Kawaida Secondary School,2026-02-02,Rice and western,95,80,80,0,5,3,5,0,0,0.5,0.5,0,95,5,3,"2 Feb 2026, 13:20:52","2 Feb 2026, 13:40:56",We expect a higher turneout tomorrow,Food was delicious and tasty,Queue was well managed by the teacher on duty,Failed taps increased from 4to 5 parents topped up late,Successful taps decreased from 84 to 80 some students had gone to see a sick student at the hospital,@Njeri kawaida secondary school
