Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Ndumberi Primary,2026-02-24,Rice and Green grams,740,704,644,60,0,5,58,0,1,6,6,0,700,0,5,"24 Feb 2026, 12:00:03","24 Feb 2026, 13:25:08",Expecting similar turn out as today,Food was delicious,Easy queue management,Today's failed taps were 58 compared to yesterday 50 some parents didn't top up today,Today successful taps were 644 compared to yesterday 690 there was a low turn out today kids were breaking for mid term today,@Ndumberi primary school
,P.C.E.A Karia Secondary School,2026-02-24,White Rice and Green grams,45,48,48,0,1,2,4,0,0,00,0,0,45,5,2,"24 Feb 2026, 12:45:35","24 Feb 2026, 13:05:52",We expect a higher turn out next day,Food was delicious and enough,Line was well managed,The number of failed taps increased from 03 to 04,The number of successful taps increased from 44 to 48,@Simon Tapper Karia secondary
,PCEA Githunguri Comprehensive School,2026-02-24,White rice and Green grams,400,415,384,31,0,3,24,0,1,0,0,0,370,0,3,"24 Feb 2026, 12:40:52","24 Feb 2026, 13:20:56",Being an opening day the turn up will be low,Food was good,Line was managed with the help of prefect on duty,"Failed taps were 24 a decrease from yesterday's 30,,,respective parents didn't manage to top up on time",Successful taps were 384 a decrease from yesterday's 391 due to low turn up,@SC- Githunguri Comprehensive
,Ting'ang'a Model  School,2026-02-24,White rice and Greengrams,380,386,339,47,0,3,14,0,0,0,0,0,400,0,3,"24 Feb 2026, 12:20:41","24 Feb 2026, 13:30:49",We expect our numbers to be back to normal on Monday.,Food was delicious,We had neat queues,"Our failed taps increased from 9 to 14,,most parents didn't top up on time.","Our successful taps decreased from 369 to 339,,kids turn out was low as they we're breaking for mid term in the afternoon.",@Faith Mueni (SC) Ting'ang'a model.
,PCEA Karia Comprehensive School,2026-02-24,White rice and Green grams,430,467,421,46,11,3,5,0,4,0,0,0,480,11,3,"24 Feb 2026, 12:25:37","24 Feb 2026, 13:15:47",We expect a higher turn out on Monday being an opening day,Food was delicious,Queue was well managed by the teacher on duty,Failed taps decreased from 20 to 5 due to early payments,Successful taps increased from 407 to 421 due to a higher turn out today,@Mary SC PCEA Karia comprehensive
,Kiababu Primary School,2026-02-24,Rice and GG,250,253,227,26,0,2,8,0,0,0,0,0,250,0,2,"24 Feb 2026, 12:40:01","24 Feb 2026, 13:30:07",Expecting More kids to,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps decreased from 12 to 9 as some managed to pay on Time,Successful taps decreased from 256 to 253 as some parents managed to pay on Time,@kiaibabu primary school
,Njenga Karume Comprehensive School,,,170,185,169,,0,3,13,0,0,0,0,,200,0,3,"24 Feb 2026, 12:40:18","24 Feb 2026, 14:00:25",Expecting a better turnout on 2nd March as it will be opening day.,No kids came back for second serving,Queue was well managed by techer on duty,Failed taps decreased from 19 to 13 as more parents had topped up,Successful taps remained at 169,@Eliud Nderu Sc Njenga karume comprehensive
,ACK Riabai Primary School,2026-02-24,Rice and Green Grams,320,318,318,26,0,3,19,0,0,,0,0,0,0,3,"24 Feb 2026, 12:21:33","24 Feb 2026, 13:20:40",Projection to b meet,Generally everything was modarate,It was well managed,Failed taps reduced,The successful taps reduced,@Camilla (SC) ACK RIABAI PRIMARY
,AK Magugu Comprehensive School,2026-02-24,White rice and Green grams,385,374,336,38,0,3,15,0,3,2.8,3.3,0,385,0,3,"24 Feb 2026, 12:20:04","24 Feb 2026, 13:20:14",We expect the same turnout on Monday.,The food was delicious,The queue was orderly with the help of the teacher on duty,The number of failed taps reduced from 20 to 15. Respective accounts had not been topped up,The number of successful taps increased from 315 to 336. There was a higher turnout today,@SC Margaret Maigua - Ak magugu comprehensive
,P.C.E.A Ngemwa Secondary School,2026-02-24,White rice and Green grams,210,200,200,0,0,3,17,0,0,0,0,0,0,0,0,"24 Feb 2026, 12:40:54","24 Feb 2026, 13:10:57",School is breaking for midterm today and will resume on 3rd March 2026.,Food was hot and delicious,Teacher on duty helped with line management,Number of failed taps increased from 13 to 17 students with insufficient balances reminded to top up their accounts,"Number of successful taps decreased from 201 to 200, students with insufficient balances reminded to top up their accounts",@Nicholas Tapper PCEA Ngemwa Secondary
