Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Gikang'a Kageche Secondary School,2026-03-09,Rice and Beans,270,250,250,0,0,2,8,0,3,0,0,,270,0,2,"9 Mar 2026, 13:10:26","9 Mar 2026, 13:40:34",,Food was delicious,Queue was well managed by TOD and Deputy principal,Today's failed taps increased from 7 to 8 .Parent didn't top up on time,Today successful taps was 250 an increase by 2 from previous taps .Turn out was still low some students were sent home home and other didn't report to school,@Pauline Gatimu
,Gatitu Primary,2026-03-09,WHITE RICE AND BEANS.,375,385,344,38,0,3,9,0,3,00,0,,385,1,0,"9 Mar 2026, 12:21:11","9 Mar 2026, 13:25:20",,The rice was tasty and enough for all.,Under ToD's cordinance students were organized.,Failed taps decreased by 9 from 18 of Friday to 9 of today due to parents funding respective accounts.,Successful taps increased today from 285 to 344 resulted by students availing to feed with us since accounts had funds.,@Wambui ikonya SC Gatitu comprehensive
,Miguta Primary School,2026-03-09,Coconut Rice and beans,250,253,233,20,0,2,8,0,0,0,0,,255,0,2,"9 Mar 2026, 12:50:54","9 Mar 2026, 13:40:58",,The food was delicious. The kids loved the coconut rice,The queue was manageable,"There were 8 failed taps, a decrease of 3 from the previous tapping. Parents topped up on time","There were 233 successful taps, an increase of 13 from the previous tapping . More students showed up for tapping today",@SC Pauline - Miguta Primary School
,Miiri Secondary School,2026-03-09,White rice and beans,30,24,24,0,3,2,4,0,0,0.65,0,,35,3,2,"9 Mar 2026, 13:10:53","9 Mar 2026, 13:30:59",,The food was hot and yummy,Queue management was neat and organized with assistance of TOD,"Failed taps were 4, the parents didn't top up on time","Being on Monday, the turnout was low making a total of 24 successful taps","@Esther,Tapper; Miiri Secondary School"
,PCEA Matuguta Secondary School,2026-03-09,White rice and beans,110,100,100,0,0,2,3,0,1,3,3.5,,110,00,2,"9 Mar 2026, 13:00:38","9 Mar 2026, 13:20:57",,Food was hot and delicious,Queues were orderly and well managed by the help of the tod,Failed taps today were 03 same as last Friday,Successful taps today were 100 lower than the projected meals that were 110 ...most of the kids were sent home for not coming to school on Friday,@Njeri -Matuguta secondary school
,Miiri Primary,2026-03-09,White Rice and Beans,4201,411,361,50,0,3,31,0,4,0,3,,425,0,3,"9 Mar 2026, 12:30:01","9 Mar 2026, 13:30:06",,The food was hot and delicious.,The queue was well organized and managed by the TOD and prefects on duty.,Failed taps dropped to 31 from 35 as parents hadn't topped up on time.,Actual meals served rose to 411 from 390 as parents topped up on time and an increase in student turnout today.,@SC Daniel Ng'ang'a - Miiri Primary School
,Nyaga Primary School,2026-03-09,Coconut Rice and Beans,500,475,414,61,0,3,22,0,3,6,7,,480,0,3,"9 Mar 2026, 12:40:46","9 Mar 2026, 13:30:50",,The food was delicious,The queue was well organized,The number of failed taps reduced from 37 to 22.Some accounts had not been topped up,The number of actual meals served increased from 461 to 475.Accounts were topped up,@SL Nyaga Primary and Junior School-Gladys
,Kiambururu Secondary School,2026-03-09,White rice with beans,210,201,201,0,0,2,2,0,1,1,2,,210,0,2,"9 Mar 2026, 13:25:01","9 Mar 2026, 13:50:12",,The meal was delicious,Line management was smooth,Failed taps today was 2 compared to previous which was 6 some parents forgot to top up,Successful taps was a 201 a slightly decrease from previous which was 204,@Salome-kiambururu secondary school
,Kibichoi Primary School,2026-03-09,Rice and beans,230,209,184,25,4,2,7,0,3,8,6,,220,4,2,"9 Mar 2026, 13:00:26","9 Mar 2026, 13:30:52",,The food was delicious,I managed the queue well,The number of failed taps decreased from 20 to 7 as most parents topped up their accounts on time,"The number of successful taps increased from 151 to 184, as most parents topped up their accounts on time",@sc kibichoi primary school
,GATHAITHI PRIMARY,2026-03-09,Rice and Beans,470,465,414,51,0,3,16,0,1,00,0,,470,00,3,"9 Mar 2026, 12:35:09","9 Mar 2026, 13:40:28",,Food was delicious.,Queue was well managed by School coordinator,Failed taps dropped from 19 to 16. Some parents were still unable to top up,Successful taps increased from 417 to 465. Majority of kids were at school today,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
,Ihiga Primary,2026-03-09,White Rice and Beans,160,159,144,15,0,2,2,0,0,0,0,,160,0,2,"9 Mar 2026, 12:40:41","9 Mar 2026, 13:15:52",,Food was Enough,Queues were manageable,Failed taps were 2 an increase from previous which was 0.Parents didn't top up despite reaching out to them.,Successful taps was 159 a decrease from previous which was 162.Turn up was a bit low.,@Naomi SC-Ihiga Comprehensive
,Gathangari Primary School,2026-03-09,Rice and Beans,380,397,355,42,0,3,10,0,2,6,0,,400,0,3,"9 Mar 2026, 12:30:51","9 Mar 2026, 13:40:59",,Food was hot and delicious,The queue was smoothly managed by the teacher,Failed taps increased slightly from 7 to 10.Have urged kids to remind their parents to top up their accounts,Successful taps increased from 381 to 397.Parents topped up their accounts and kids turned up well in school,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
,Kihuririo Primary School,2026-03-09,Rice and beans,470,442,390,52,0,3,7,0,2,8,7,,450,0,3,"9 Mar 2026, 13:00:57","9 Mar 2026, 13:45:09",,The food was delicious,Queue was manageable,"Failed taps decreased from 16 to 7 ,some parents paid.","Successful taps increased from 402 to 442, parents topped up on time.",@kihuririo primary
,Kanyore Primary School,2026-03-09,RICE & BEANS,610,649,588,61,0,3,14,0,6,0,0,,640,3,3,"9 Mar 2026, 12:30:26","9 Mar 2026, 13:30:29",,Food was delicious,Line management was organized,Number of failed taps decreased from 26 to 14. Respective accounts were topped up.,Number of successful taps increased from 576 to 649 as more students were present in school with sufficient balances.,"@Haron Muiruri,SL Kanyore Primary"
,Ndireti Primary School,2026-03-09,Rice & Beans,190,217,189,28,0,2,14,0,0,0,0,,215,0,2,"9 Mar 2026, 12:40:00","9 Mar 2026, 13:40:00",,Food was delicious,Queue management was okay,We had 14 failed taps..Parents failed to top up,We had 217 successful taps..Turn out was high,@SC Sharon _Ndireti primary
,Ndireti Secondary School,2026-03-09,Rice and beans,40,38,38,0,0,2,7,0,0,2,2,,40,0,2,"9 Mar 2026, 12:30:47","9 Mar 2026, 12:50:51",,The food was delicious,The line was manageable,The number of failed taps increased with a difference of 5 this is because the students didn't remind their parents to top up,The number of successful taps decreased with a difference of 7 this is because the number of failed increased gradually,@Tracy Tapper Ndireti secondary school
,Kambui Primary School,2026-03-09,Coconut Rice and Beans,260,231,178,53,0,2,15,1,2,4.5,5.25,,250,0,2,"9 Mar 2026, 13:00:43","9 Mar 2026, 14:00:48",,The food was so delicious,The line was well managed,We had 15 failed taps. Most parents did not top up their accounts,We had 178 successful taps. Today's schools population was low,@Kambui Primary and Junior School
,Kigumo Secondary School,2026-03-09,Rice and beans,110,105,105,0,0,2,2,0,0,0,0,,110,0,2,"9 Mar 2026, 13:00:34","9 Mar 2026, 13:20:41",,The food was sweet,Queue was smooth,Failed taps were only 2,Successful taps increased from 88 to 105 the absent students were present today,@daniel Kariuki
,Kindiga Primary & Junior Secondary School,2026-03-09,White Rice and Beans,180,175,158,17,0,2,7,0,5,1,1.5,,180,00,2,"9 Mar 2026, 12:40:53","9 Mar 2026, 13:30:01",,The food was soo Delicious,Queues were well managed with the help of TOD,"Failed taps decreased to 7 from 10,some parents still did not top up on time","Successful taps increased to 175 from 166,today being a normal school day there was high turnout.",@James Mbugua SC Kindiga Primary
,Kagema Primary School,2026-03-09,Rice and Beans,720,725,725,0,0,3,21,2,0,0,0,,730,0,3,"9 Mar 2026, 12:40:42","9 Mar 2026, 13:45:51",,Lunch was good and delicious,Queue management was smooth transitioning well from class to class,Failed taps reduced from 23 to 21 as more kids had sufficient accounts,Successful taps increased from 690 to 725 as more kids showed up for lunch today.,@SL PCEA Kagema Comprehensive school
,Mukuyu Secondary School,2026-03-09,Rice and Beans,340,312,312,0,0,2,8,0,2,18,10,,270,0,2,"9 Mar 2026, 12:40:48","9 Mar 2026, 13:10:53",,Food was hot and delicious,Queue was well managed,Failed taps decreases from 13 to 8 most parents topped up on time,Successful taps decreases from 339 to 312 some students were absent today,@Mukuyu Secondary School
,Gathaithi Secondary School,2026-03-09,Rice and beans,105,100,100,0,0,2,6,0,1,0.9,1.1,,105,0,2,"9 Mar 2026, 13:15:53","9 Mar 2026, 13:45:00",,Food was delicious,Queuing was good,We had 6 failed taps a drop from yesterday's 7 due to early topping up by parent,We had 100 successful taps a rise from yesterday's 93 due to more students attending school,@Joseph mburu nga'ang'a
,Mitahato Primary School,2026-03-09,Rice and beans,230,211,186,25,0,2,5,0,1,5,6,,220,2,2,"9 Mar 2026, 12:15:01","9 Mar 2026, 13:20:05",,Rice was yummy,Queue was transitioning from grade to grade,Failed taps decreased from 16 to 5 because it's the beginning of a week parents pay for a whole week,Number of successful taps dropped by 3 because some students who went for games on Friday didn't come to school,@SC George-Mitahato Comprehensive
,Gathugu Secondary School,2026-03-09,Rice and beans,260,233,233,0,0,2,5,0,7,11,9,,250,00,2,"9 Mar 2026, 12:40:00","9 Mar 2026, 13:30:05",,Food was delicious,Queue management was good,Number of failed taps were 5,Number of successful taps were 233.Form 4 and form 3 students were sent home in the morning.,@Tapper Gathugu secondary school
,Githioro Primary School,2026-03-09,Rice and Beans,340,347,307,40,0,2,4,0,2,0,0,,350,0,2,"9 Mar 2026, 12:40:46","9 Mar 2026, 13:40:52",,"The food was appetising,  kids enjoyed.",Line management was organised assisted by tod.,Failed taps remained same as fridays 4,"Successful taps increased from 180 to 347, kids  turned up well today.",@SC - Githioro Comprehensive School
,William Ng'iru Secondary School,2026-03-09,White rice and beans,510,476,476,0,0,0,13,0,7,0,0,,520,0,3,"9 Mar 2026, 12:40:59","9 Mar 2026, 13:15:35",,Food was hot and delicious,Line was smooth and orderly,"Failed taps increased from 6 to 13, accounts not being topped up on time",Successful taps slightly decreased from 479 to 469,@Tapper Dennis -william Ng'iru Secondary
,Gitiha Secondary School,2026-03-09,White rice and beans stew,150,136,136,0,0,2,4,0,6,3,4,,140,0,2,"9 Mar 2026, 12:40:08","9 Mar 2026, 13:09:15",,Food was delicious and tasty,Queue was smooth and quick,Decreased number of failed taps compared to the previous day which was 8 to 4,Decreased number of successful taps compared to the previous day which was 144 to 136,"@Jecinta muthoni Gitonga-Gitiha secondary school, Tapper"
,"Ceb Riamute Nursery, Primary & Junior Secondary School",2026-03-09,Rice and beans,320,326,290,36,0,3,14,0,1,0,0,,330,0,3,"9 Mar 2026, 12:30:00","9 Mar 2026, 13:20:03",,The food was yummy and hot,I managed the queue and it was running smoothly,We had 14 failtaps a lower number than previous day which was 29 since their accounts had insufficient funds,We had 326 successful taps a higher number than previous day which was  301 since their accounts had sufficient funds,@sc willy- Ceb Riamute primary school
,Miguta Secondary School,2026-03-09,White rice and Beans,40,36,36,0,0,2,1,0,1,1,1,,40,0,2,"9 Mar 2026, 13:10:15","9 Mar 2026, 13:40:26",,The food was delicious,The queue well managed,We had 1 failed tap... parent did not top up their account on time,There were 36 successful taps an increase in 6... More parents topped up their accounts on time and students came for lunch,"@Alex,Tapper Miguta Secondary"
,Kiawairia Primary,2026-03-09,Rice and Beans,130,122,108,14,5,2,7,0,8,2,2,,130,5,2,"9 Mar 2026, 12:10:21","9 Mar 2026, 13:28:26",,Kids loved the coconut taste in rice,Lines were neat and organized,We had 7 failed a decrease from 11 some parents didn't top up on time,We had 108 successful taps same as Friday turn out was low,@Mary kimani SC kiawairia comprehensive school
,Giathieko Primary School,2026-03-09,Rice and beans,190,190,172,18,0,2,6,1,1,0,0,,195,0,2,"9 Mar 2026, 12:50:48","9 Mar 2026, 13:25:54",,Food was hot and delicious,Line transitioned well from class to class.,From 15 failed taps to 6 failed taps as a result of  parents topping up students accounts on time,"From 178 to 190 , An increase of 12  as a result of parents topping up students accounts on time and students showing up for lunch","@SC, Giathieko Comprehensive -Rose"
,Gitombo Primary School,2026-03-09,White rice and beans,180,176,159,17,0,2,0,0,1,0,0,,180,0,2,"9 Mar 2026, 12:45:55","9 Mar 2026, 13:28:04",,Food was delicious learners enjoyed.,Queue was manageable by the help of teacher.,Today failed taps was 0 a decrease 1 from 1 Friday  parents did top up on time.,Actual meals served today was 176 an increase of 1 from 175 Friday learners show up well today.,@Veronica Mwaura -S/C- Gitombo primary
,Ikinu Primary,2026-03-09,Rice and Beans,860,868,778,90,0,5,36,4,9,0,0,,880,0,5,"9 Mar 2026, 12:20:32","9 Mar 2026, 13:44:42",,The food was tasty,Queue management was smooth,Failed taps have increased from 34 to 36.parents didn't top up,They have increased from 762 to 868. Turn up was high,@SL Janet-Ikinu primary School
,PCEA Matuguta Primary & Junior Secondary School,2026-03-09,Rice and Beans,440,454,409,45,2,3,21,0,4,0,0,,460,3,3,"9 Mar 2026, 12:20:55","9 Mar 2026, 13:40:03",,Food was delicious,Queue was well managed,Failed taps were 21 a decrease of 16 taps from Friday's 37 failed taps. Respective parents had not topped up,Actual meals were 454 an increase of 78 taps from Friday's 376 actual meals. Today was a normal school day.,@Matuguta primary
,PCEA Mitahato Secondary School,2026-03-09,white rice and beans,30,36,36,0,0,2,0,0,0,0,0,,40,0,2,"9 Mar 2026, 12:45:51","9 Mar 2026, 12:55:55",,Food was well prepared,students were served in the order the arrived at,There were no failed taps today compared to the previous because parents had topped up on time,There was an increase of 15 compared to the previous because few students reported back to school today,"@minne,Tapper Mitahato Secondary"
,Kagema Secondary School,2026-03-09,Rice and Beans,215,154,154,0,0,2,13,0,4,18,17,,200,0,2,"9 Mar 2026, 13:00:59","9 Mar 2026, 13:20:09",,Food was delicious,Queue was manageable,Fail tap was a decrease of 13 while previous was 16,Successful tap was a decrease of 154 while previous was 193,@Tapper Kagema secondary
,Ngewa Primary School,2026-03-09,Rice and beans,290,284,260,24,0,2,19,0,2,2,2,,300,0,2,"9 Mar 2026, 12:00:57","9 Mar 2026, 13:30:00",,The food was delicious,Queue was transitioning well from class to class,We had 19 failed taps today which is a decrease from 27 on Friday,We had 284 actual meals served today which is an increase from 246 on Friday,@Ngewa primary school.
