Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Mukuyu Secondary School,2026-02-10,Rice and Beans,350,342,342,0,0,3,4,1,5,10,2,,350,0,,"10 Feb 2026, 12:40:59","10 Feb 2026, 13:10:18",,Food was hot and delicious,Queue was well managed,Failed taps decreases from 12 to 4  most parents topped up on time,Successful taps increases from 335 to 342 parents paid on time,@Mukuyu Secondary School
,Thuita Secondary School,2026-02-10,White rice,40,41,41,0,0,2,0,0,0,0,0,,45,0,,"10 Feb 2026, 13:10:58","10 Feb 2026, 13:20:06",,Food was delicious,Queue management was smooth,Yesterday there was only 1 failed tap while today there was no failed tap Soo there was an improvement,Yesterday there were 35 taps while today there was 41 taps there was an increase in number,@Thuita Secondary tapper
,Gatitu Primary,2026-02-10,WHITE RICE & WESTERN AND BANANAS.,375,361,323,38,0,3,8,0,0,2,2,,375,00,,"10 Feb 2026, 12:15:17","10 Feb 2026, 13:30:26",,"Food was enough for all,bananas were sweet.",Queues transitioned with ease.,Failed taps increase from 3 to 8..some parents were unreachable upon placing calls.,Successful taps decreased from  337 to 323 because grade 9 had a cookie session where some fed the food they prepared probing few to avail and feed with us.,@Wambui ikonya SC Gatitu comprehensive
,Kanyore Primary School,2026-02-10,RICE & WESTERN,600,612,569,43,4,3,10,1,3,0,0,,630,5,,"10 Feb 2026, 12:30:48","10 Feb 2026, 13:30:53",,Food was hot and delicious,Queuing was organized,Number of failed taps remained 10 as yesterday. Reminded kids to remind their parents to top up.,Number of successful taps decreased from 621 to 612. This was anticipated as 100 kids were sent home for fees yesterday afternoon and most didn't report back today.,"@Haron Muiruri,SL Kanyore Primary"
,Gathugu Secondary School,2026-02-10,Rice and western,275,280,280,0,0,3,4,1,6,00,0,,285,00,,"10 Feb 2026, 12:40:27","10 Feb 2026, 13:10:35",,Food was delicious and hot,Queue management was good I managed,Number of failed taps descreased from 11 to 4,Number of successful taps 261 to 280.,@Tapper Gathugu secondary school
,Miguta Secondary School,2026-02-10,Rice and western,40,37,37,0,0,2,0,0,0,1,1,,40,0,,"10 Feb 2026, 13:10:53","10 Feb 2026, 13:40:04",,The food was delicious,The queue well managed,"There were no failed taps Still, accounts of the cards tapped were topped up on time.","Successful taps increased from 36 to 37 ,more parents topped up their accounts on time.","@Alex,Tapper Miguta Secondary"
,Kambui Primary School,2026-02-10,White Rice and Western,275,278,221,55,0,2,5,0,4,0,0,,280,0,,"10 Feb 2026, 12:50:28","10 Feb 2026, 13:40:30",,The food was delicious,The line was well managed,We had 5 failed taps a lower number compared to yesterday's that were 6. Some parents did not top up their accounts.,We had 221 successful taps a higher number compared to yesterday's that were 214. Most kids came for lunch.,@Kambui Primary and Junior School
,Kanjai Secondary School,2026-02-10,White Rice and Beans,195,198,198,0,0,2,2,0,1,1,1,,195,00,,"10 Feb 2026, 13:10:52","10 Feb 2026, 13:40:10",,"The meal was delicious and satisfying, students enjoyed the meal and bananas .",Queue management was ordered by me and TOD.,"Successful taps were 198  same as yesterday, still about 10 -15 students didn't show up.",We had 2 failed taps parents didn't fund their accounts.,"@mercy, tapper, kanjai secondary"
,William Ng'iru Secondary School,2026-02-10,White rice and western,560,515,515,0,0,4,16,0,4,0,10,,560,0,,"10 Feb 2026, 12:45:02","10 Feb 2026, 14:50:22",,Food was hot and delicious,Queue was managable,Today's failed taps increased from 11 to 16 since parents didn't top up on time,Today's successful taps decreased from 548 to 515 due to the parents meeting  and academic clinic which  caused most of the students not to be served,@Tapper Dennis -william Ng'iru Secondary
,Kigumo Secondary School,2026-02-10,Rice and western,125,125,125,0,0,2,6,0,0,0,0,,125,0,,"10 Feb 2026, 12:50:24","10 Feb 2026, 13:15:31",,Food was sweet,Queue was mangerable,Failed taps increased from 3 to 6 parents did not pay on time,Successful taps increased from 120 to 125 students who were absent they we're present today,@daniel Kariuki
,Gikang'a Kageche Secondary School,2026-02-10,Rice and Western,310,323,323,0,0,3,5,0,3,0,0,,325,0,,"10 Feb 2026, 13:10:01","10 Feb 2026, 13:40:08",,Food was hot and delicious,Queue well managed by TOD and Deputy Principal,Today's failed taps increased by 1 .parent didn't top up on time,Today's successful taps increased from 306 to 323.Student turn out was high,@Pauline Gatimu
,Miiri Primary,2026-02-10,White Rice and Green grams,450,428,377,51,0,3,35,1,3,13,10,,430,0,,"10 Feb 2026, 12:30:30","10 Feb 2026, 13:40:35",,The food was hot and delicious,The queue was well organized and managed by the teacher on duty.,"Failed taps rose to 35 from 32 ,as parents hadn't topped up on time.",Successful taps dropped to 428 from 440 as parents had topped up on time and increased failed taps affected our actual meals served.,@SC Daniel Ng'ang'a - Miiri Primary School
,Kibichoi Primary School,2026-02-10,Rice and western,215,219,196,23,3,2,6,1,0,0,0,,225,3,,"10 Feb 2026, 13:00:03","10 Feb 2026, 13:30:09",,The food was delicious,I managed the queue well,"The number of failed taps increased from 3 to 6, as some  parents didn't top up their accounts on time","The number of successful taps increased from 187 to 196, as some students reported back to school",@sc kibichoi primary school
,Thuita Primary School,2026-02-10,Rice and western,215,216,181,35,0,2,3,0,0,0,0,,215,0,,"10 Feb 2026, 12:35:31","10 Feb 2026, 13:35:27",,Food was delicious,Queue management was smooth,Number of failed taps decreased from yesterday's 7 to today's 3.Some parents remembered to top up,Number of actual meals increased from 210 to 215 because some who had  failed taps topped up,@SC Thuita Comprehensive school
,Miiri Secondary School,2026-02-10,White rice and western,40,28,28,0,2,2,0,0,0,4,4,,40,3,,"10 Feb 2026, 13:10:29","10 Feb 2026, 13:30:38",,The food was hot and delicious,Queue management was neat and organized with assistance of TOD,"Failed taps decreased from 5 to zero, all present students had topped up on time","Successful taps decreased from 33 to 28, the turnout was so low since some students were absent","@Esther,Tapper; Miiri Secondary School"
,Githioro Primary School,2026-02-10,White Rice and Western,340,340,315,25,0,2,7,1,0,10,0,,345,0,,"10 Feb 2026, 12:34:13","10 Feb 2026, 13:45:33",,Food was appetising,Line management was organised assisted by tod,"Failed taps increased from yesterday’s 4 to 7 today, parents forgot to top up their accounts on time","Successful taps increased frim yesterday’s 336 to 340 today,  numbers are still increasing",@GITHIORO COMPREHENSIVE
,Mitahato Primary School,2026-02-10,Rice and Western,240,253,224,29,0,2,6,0,2,0,0,,245,0,,"10 Feb 2026, 12:15:53","10 Feb 2026, 13:15:02",,Food was yummy,Queue management was hassle-free,Failed taps increased from 4 to 6 because parents forgot to top up on time,Successful taps increased from 235 to 253 because more students came for lunch today,@SC George-Mitahato Comprehensive
,Kindiga Primary & Junior Secondary School,2026-02-10,White Rice and western,190,180,162,18,0,2,4,0,0,2,3,,185,00,,"10 Feb 2026, 12:40:12","10 Feb 2026, 13:30:21",,The food was Hot and delicious,Queues were well managed with the help of TOD,"Failed taps increased to 4 from 0,parents did not top up accounts.","Successful taps decreased to 180 from yesterday's 188,some students were absent.",@James Mbugua SC Kindiga Primary
,"Ceb Riamute Nursery, Primary & Junior Secondary School",2026-02-10,Rice and western,330,334,303,31,0,3,14,0,2,0,0,,330,0,,"10 Feb 2026, 12:30:06","10 Feb 2026, 13:20:08",,The food was yummy and hot... And enjoyed the bananas,With the help of Tod the queue was running smoothly,We had 14 failtaps a lower number than previous day which was 16 since their accounts had insufficient funds,We had 334 successful taps a higher number than previous day which was 325 since their accounts had sufficient funds,@sc willy- Ceb Riamute primary school
,Kihuririo Primary School,2026-02-10,Rice and western,490,475,475,60,0,3,15,0,0,0,0,,490,0,,"10 Feb 2026, 12:00:34","10 Feb 2026, 13:50:40",,Food was delicious,Queue was manageable,Failed taps increased from 3 to 15 because parents didn't pay on time,Successful taps decreased from 480 to 475 some students were absent,@kihuririo primary
,PCEA Mitahato Secondary School,2026-02-10,Rice and western,40,37,37,0,0,2,3,1,0,1,1,,40,0,,"10 Feb 2026, 12:45:19","10 Feb 2026, 13:00:24",,Food met the required dietary standards,The students waited calmly to be served,There was an increase of one compared to yesterdays because the parent forgot to top up on time,There was an increase of 5 successful taps compared to yesterday because most parents topped up,"@minne,Tapper Mitahato Secondary"
,Kigumo Primary,2026-02-10,White Rice and Western,185,191,171,20,0,2,8,0,0,0,0,,185,0,,"10 Feb 2026, 12:40:47","10 Feb 2026, 13:21:57",,Food was delicious,Line management was orderly assisted by the teacher on duty,We had 8 failed taps compared to yesterday where we had 10.This decrease was led by parents topping up their accounts,We had 191 actual meals served compared to yesterday where we had 181.This increase was led by kids reporting to school in good number.,@S C PCEA Kigumo Comprehensive School
,Kiawairia Secondary School,2026-02-10,White rice and western,45,45,45,0,0,2,0,0,0,0,0,,50,0,,"10 Feb 2026, 13:25:40","10 Feb 2026, 13:35:46",,Food was appetizing and yummy,Line management was transitioning good assisted by TOD,Number of failed taps decreased from 2 to 0 parents topped up their accounts on time,Number of actual meals increased from 34 to 45 students who were sent home for school fees are continuing to report back,@Patrick Kariuki Kiawairia secondary school Tapper
,Gathangari Primary School,2026-02-10,White rice and western,420,398,365,33,0,3,11,0,1,16,8,,405,00,,"10 Feb 2026, 12:40:38","10 Feb 2026, 13:20:46",,Food was hot and delicious,The queue was smoothly managed by the headteacher,Failed taps increased from 8 to 11.some parents forgot to top up on time and have urged kids to remind them,Successful taps decreased from 419 to 398.Some kids were sent home for fees,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
,PCEA Matuguta Secondary School,2026-02-10,White Rice and Western Ndengu,125,129,129,0,0,2,5,0,1,00,0,,130,00,,"10 Feb 2026, 13:30:57","10 Feb 2026, 13:45:08",,Food was hot and delicious the kids enjoyed,Queues were orderly and well managed by the help of the tod,"Failed taps today were 05 less than yesterday's 06, respective parents didn't top up on time",Successful taps today were higher than the projected meals that were 125 and also higher than yesterday's 123,@Njeri -Matuguta secondary school
,Miguta Primary School,2026-02-10,Rice and Western,250,239,224,15,0,2,5,0,1,1,1,,250,0,,"10 Feb 2026, 12:50:42","10 Feb 2026, 13:30:47",,The food was delicious,The queue was manageable,"There were 5 failed taps, a decrease of 2 from the previous tapping. The parents topped up on time.","There were 224 successful taps, a decrease of 1 from the previous tapping. Students with fees arrears were sent home",@SC Pauline - Miguta Primary School
,Kiawairia Primary,2026-02-10,Rice and western ndengu,140,125,110,15,4,2,5,0,0,3,4,,110,5,,"10 Feb 2026, 00:00:00","10 Feb 2026, 13:30:28",,Food was hot and delicious,Lines were neat and organized,We had 5 failed taps same as yesterday some parents didn't top up on time,"We had 110 successful taps a decrease from 126 ,35 kids from grade 4,5,6 opted not to tap before going for swimming",@Mary kimani SC kiawairia comprehensive school
,Ngewa Primary School,2026-02-10,Rice and western,310,305,274,31,0,2,23,0,4,1,2,,310,0,,"10 Feb 2026, 12:00:30","10 Feb 2026, 13:30:32",,The food was delicious,Queue was transitioning well from class to class,We had 23 failed taps today which is an increase from 15 yesterday,We had 305 actual meals served today which is an increase from 303 yesterday,@Ngewa primary school.
,Gitiha Secondary School,2026-02-10,White rice and western stew,150,154,154,0,0,2,2,0,1,0,0,,150,0,,"10 Feb 2026, 12:45:16","10 Feb 2026, 13:10:22",,Food was delicious,Queue was manageable,Decreased number of failed taps compared to the previous day,Increased number of successful taps compared to the previous day,@Jecinta muthoni Gitonga
,Ihiga Primary,2026-02-10,White Rice and Western,160,167,154,13,0,2,3,0,0,0,0,,165,0,,"10 Feb 2026, 12:40:13","10 Feb 2026, 13:20:33",,Food was Enough.,Queues were manageable,Failed taps were 3 an increase from yesterday's 0.Parents didn't top up their accounts.,Successful taps were 167 an increase from yesterday's which was 160.Today's turn up was a bit high.,@Naomi SC-Ihiga Comprehensive
,Kiambururu Secondary School,2026-02-10,White Rice with Western,195,206,206,0,0,3,3,0,2,0,0,,210,0,,"10 Feb 2026, 13:18:43","10 Feb 2026, 13:40:51",,The meal was delicious,Line management was smooth,Failed taps today was 3 a decrease from previous which was 6.,Successful taps was 206 compared to previous which was 186 more students came for lunch today,@Salome-kiambururu secondary school
,GATHAITHI PRIMARY,2026-02-10,Rice and Western,475,472,415,57,0,3,17,0,7,00,0,,475,00,,"10 Feb 2026, 12:35:11","10 Feb 2026, 13:40:17",,Food was great kids enjoyed the bananas,Queue was well managed by School coordinator,Failed taps increased from 11 to 17. Some parents failed to top up accounts,Successful taps reduced from 475 to 472. Failed taps increased today,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
,Ndireti Secondary School,2026-02-10,Rice and Western,40,36,36,0,0,2,0,0,0,1.5,1.5,,40,0,,"10 Feb 2026, 12:30:54","10 Feb 2026, 13:00:59",,The food was delicious,The line was manageable,The number of failed taps decreased with a difference of One this is because the failed taps were topped up,The number of successful taps decreased with a difference of 3 this is because the turnout was low,@Tracy Tapper Ndireti secondary school
