Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Gatitu Primary,2026-01-06,RICE AND BEANS.,330,324,296,28,0,3,7,10,6,2,2,,340,00,,"6 Jan 2026, 12:00:26","6 Jan 2026, 13:50:36",,Food was delicious and well cooked.,Student were orderly and moved from class to class.,"Previous failed taps were 12 ,today 7 being a decrease...most of the accounts were funded and students present.",An increase from 252 to 324 which was resulted by student availing for tapping since most accounts had funds..,@Wambui ikonya SC Gatitu comprehensive
,Gathaithi Secondary School,2026-01-06,Rice and beans,40,71,71,0,0,2,7,0,0,0,0,,90,00,,"6 Jan 2026, 01:13:26","6 Jan 2026, 14:30:59",,Food was delicious,"With the help of the teacher on duty ,  we managed the queue",Most parents hadn't topped up,Actual meals were 71,@Joseph mburu nga'ang'a
,Gitiha Secondary School,2026-01-06,Rice&beans stew,80,102,102,0,0,2,7,0,0,,0,,80,0,,"6 Jan 2026, 12:40:27","6 Jan 2026, 13:18:07",,Food was delicious and of right temperatures,The queue was manageable,The number of failed taps decreased from the previous day,The number of successful taps increased from the previous day,@Hannah Mbugua
,GATHAITHI PRIMARY,2026-01-06,Rice and Beans,380,351,322,29,0,3,22,0,0,7,8,,380,00,,"6 Jan 2026, 12:35:14","6 Jan 2026, 13:50:27",,Food was great,Teachers on duty assisted with queue management,We had 22 failed taps a drop from 26.,We had 351 successful taps a rise from 263,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
,Gikang'a Kageche Secondary School,2026-01-06,Rice and Beans,180,147,147,0,0,3,7,0,0,8,6,,180,0,,"6 Jan 2026, 13:10:39","6 Jan 2026, 13:40:59",,Food was delicious and hot,Queue was well managed by the YOD,Today's failed taps was 7.parent didn't top up on time,Today's successful taps 147  a decrease from the projected which was 180,@Pauline Gatimu
,Githima Primary,2026-01-06,White rice and beans,180,177,161,16,0,2,4,1,4,1,1,,200,0,,"6 Jan 2026, 12:42:59","6 Jan 2026, 12:40:05",,The food was delicious,I managed the queue and the kids were disciplined today,We had 4 failed taps which is a decrease from yesterday's 13 failed taps.Most accounts were topped up today.,We had 177 actual meals served which is an increase from yesterday's 126 actual meals served.The turn out was high today.,@Brenda kamawe Githima primary and junior secondary school
,PCEA Matuguta Secondary School,2026-01-06,White Rice &  Beans,80,74,74,0,0,2,3,0,0,00,0,,80,00,,"6 Jan 2026, 12:40:43","6 Jan 2026, 13:30:53",,Food was hot and delicious,Queues were orderly and well managed by the help of the tod,Number of failed taps today were 03,Successful taps today were 74 lower in comparison to the projected meals that were 80.,@Njeri -Matuguta secondary school
,Gatina Primary School,2026-01-06,Rice and beans,310,338,290,48,0,3,19,13,8,0,0,,400,0,,"6 Jan 2026, 12:40:15","6 Jan 2026, 14:30:01",,food was delicious,line was smooth and orderly,Failed taps were 19 an increase from yesterday's number of 14. A number of parents didn't manage to credit accounts on time,"Actual meals served were 338 an increase from yesterday's number of 264,  these was due  to high number of kids who reported back to school and parents managed to credit accounts on time.",@Kang'ethe Dennis
,Gathangari Primary School,2026-01-06,white rice and beans,330,331,267,29,0,3,19,16,8,10,0,,380,0,,"6 Jan 2026, 12:40:40","6 Jan 2026, 13:40:52",,Food was delicious,Queue was smoothly managed by the T.OD,Failed increased slightly from 17 to 19.Parents did  not top up on time have urged kids to remind their parents.,Successful taps increased from 219 to 331.Kids turned up well in school and parents topped up on time,@Pauline Gatimu
,Mitahato Primary School,2026-01-06,white rice and beans,200,190,166,24,0,2,12,5,10,3,3,,200,0,,"6 Jan 2026, 12:30:09","6 Jan 2026, 13:30:21",,Food was fingering licking,queue was well managed by T.O.D and I,Failed taps increase from 2 to 12 because parents forgot to top up on time,successful taps increased from 133 to 190 because students are reporting back gradually,@SC George-Mitahato Comprehensive
