Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Gathangari Primary School,2026-01-05,Rice and GG,220,219,200,19,0,3,17,13,3,7,7,,250,00,,"5 Jan 2026, 12:40:55","5 Jan 2026, 13:30:06",,Food was delicious and hot,Queue was smoothly managed by the T.O.D,Being the first day in school it was 17,Successful taps was 219.Kids did not report well to school,@Pauline Gatimu
,Kigumo Primary,2026-01-05,White Rice and GreenGrams,110,125,106,19,0,2,14,0,1,0,0,,150,0,,"5 Jan 2026, 12:40:35","5 Jan 2026, 13:20:40",,Food was delicious,Line management was orderly assisted by the teacher on duty,We had 14 failed taps parents forgot to top up,"We had 125 actual meals served,most kids were absent since it's the opening day",@S C PCEA Kigumo Comprehensive School
,Kihuririo Primary School,2026-01-05,Rice and Gg,330,301,254,47,0,3,15,21,1,7,9,,370,0,,"5 Jan 2026, 12:50:43","5 Jan 2026, 14:00:49",,The food was delicious,Line management was okay,Failed taps were 15,Successful taps were 254,@kihuririo primary
,Gitombo Primary School,2026-01-05,White rice and Green grams,90,126,111,15,0,2,8,1,0,0,0,,150,0,,"5 Jan 2026, 12:50:36","5 Jan 2026, 13:23:43",,Food was delicious.,Queue was manageable.,Failed taps were 8 some parents forgot to top up on time.,Actual meal served today was 126 most kids reported back to school.,@Veronica Mwaura -S/C- Gitombo primary
,Kiambururu Comprehensive School,2026-01-05,White Rice and GG,180,167,148,19,0,3,9,1,3,2,2.5,,190,0,,"5 Jan 2026, 12:50:40","5 Jan 2026, 13:57:50",,Food was delicious,Line management was smooth,Failed taps were 9.Some parents hadn't topped up on time,Actual meals served was 167.This is because there was low student turnout since it was opening day,@Kiambururu Comprehensive School
,Giathieko Primary School,2026-01-05,Rice and Green Grams,90,123,111,13,0,2,6,3,0,0,0,,150,0,,"5 Jan 2026, 12:40:06","5 Jan 2026, 14:05:35",,Lunch was good,Queue management was smooth with classes transitioning well.,Failed taps register were 6,Successful taps registered were 123,@SL PCEA Kagema Comprehensive school
,Ihiga Primary,2026-01-05,Rice and Green Grams,120,127,115,12,0,2,7,5,2,0,0,,150,0,,"5 Jan 2026, 12:45:28","5 Jan 2026, 13:15:36",,Food was Enough,Queues were manageable with assistance from teacher on duty.,Today's failed taps were 7.Most parents forgot to top up their accounts being the first day of school opening.,Successful taps was 127.This was a fair number considering it's the first day of school opening.,@Naomi SC-Ihiga Comprehensive
,Gatitu Primary,2026-01-05,RICE AND GG,240,252,230,22,0,3,12,26,8,00,0,,300,3,,"5 Jan 2026, 12:10:56","5 Jan 2026, 14:00:08",,Food was well cooked and enough.,Lines were orderly from class to class.,"Previous failed taps were 29,a decrease today to 12 caused by parents topping up.","Successful taps today were 252,a decrease from 258 which was caused by absenteeism.",@Wambui ikonya SC Gatitu comprehensive
,Ngewa Primary School,2026-01-05,Rice and GG,200,147,124,23,0,2,12,0,1,13,16,,150,0,,"5 Jan 2026, 12:30:46","5 Jan 2026, 13:30:48",,Food was delicious,queue was transitioning well from class to class,we had 12 failed taps today,we had 147 successful taps served today,@Ngewa primary school.
,Kanjai Primary,2026-01-05,RICE & GREENGRAMS,280,187,169,18,0,3,3,0,1,23,28,,220,0,,"5 Jan 2026, 12:40:03","5 Jan 2026, 13:40:13",,Food was hot and delicious,Line management was organized,Number of failed taps were 3.,Number of successful taps was relatively low compared to projection.Most students were absent and some were sent home for fees balances.,"@Haron Muiruri,SL Kanyore Primary"
,Githiga Primary,2026-01-05,White  rice and gg,150,187,166,21,0,4,26,1,5,0,0,,210,0,,"5 Jan 2026, 12:20:51","5 Jan 2026, 13:30:03",,Food was delicious,Line  Management was smooth,"Today's   failed  taps  were  26   ,parents  did not  top up",Today's actual meals  served were  187. Turnout  was low since it was an opening  day,@Nicholas-SC - Githiga Comprehensive
,Githioro Primary School,2026-01-05,White Rice and GREENGRAMS,170,201,181,20,0,2,16,6,3,0,0,,250,0,,"5 Jan 2026, 12:38:32","5 Jan 2026, 13:38:40",,Food was delicious,Line management was organised assisted by tod,"Failed taps were 16, some parents forgot to top up their accounts on time","Successful taps  were 201, kids did not report all to school.",@GITHIORO COMPREHENSIVE
,Mathanja Priamry School,2026-01-05,rice and green grams,100,100,85,15,0,2,6,0,0,0,0,,150,0,,"5 Jan 2026, 12:40:28","5 Jan 2026, 13:25:32",,Food was delicious,I managed the queue without any assistance since kids were orderly.,today we had 6 failed taps. some parents didn't top-up their accounts on time.,today we had 100 actual meals served. this number is low since turnout was low being an opening day,@mathanja primary school
,PCEA Matuguta Primary & Junior Secondary School,2026-01-05,Rice and Greengrams,320,305,278,27,2,3,25,6,6,4,5,,350,3,,"5 Jan 2026, 12:20:41","5 Jan 2026, 13:40:49",,Food was sweet and delicious,Queue was well managed,Failed taps were 25 some students forgot the tags at home and a few are yet to replace thire lost tags,"Actual meals were 305,majority of the students reported to school today.",@Matuguta primary
,Kiawaiguru Primary School,2026-01-05,Rice and green grams,120,142,128,14,0,2,9,4,1,0,0,,200,1,,"5 Jan 2026, 12:30:00","5 Jan 2026, 13:20:00",,Food was hot,Line was oderly.,"Failed taps were 9, some parents forgot to top up despite reminding them.",Actual meals served was 142 . Most pupils didn’t report to school today.,@ANN SC KIAWAIGURU PRIMARY SCHOOL
,Catholic Archdiocese Of Nairobi Gataka Primary & Junior Secondary,2026-01-05,Rice and Greengrams,130,176,155,21,1,2,12,0,0,0,0,,200,2,,"5 Jan 2026, 12:49:00","5 Jan 2026, 13:34:16",,The food was delicious.,The queue was well managed by the school coordinator.,The number of failed taps was 12.,"The number of actual meals was 176. Being the opening day, most kids didn't report to school.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
,Githima Primary,2026-01-05,WHITE RICE AND GREEN GRAMS,110,126,111,15,0,2,13,5,5,0,0,,130,4,,"5 Jan 2026, 12:40:23","5 Jan 2026, 13:30:39",,The food was delicious,I managed the queue and the kids were disciplined today,We had 13 failed taps which is a decrease from last year's last 21 failed taps.Moat accounts were topped up on time.,There were 126 actual meals served which is a decrease from last year's last 189 actual meals served.Some kids were absent today.,@Brenda kamawe Githima primary and junior secondary school
