Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Gathanji Comprehensive School,2026-02-13,Rice and Beans,340,310,287,23,0,3,15,0,3,7,9,0,320,0,3,"13 Feb 2026, 12:30:37","13 Feb 2026, 13:40:46",We have projected 320 expecting those who were absent will,The food was delicious and nutritious,Queue was well managed,Failed taps were 15 an increase from 8 parents didn't top up on time,"Successful taps were 287 a decrease from 314.due to students been absent, 16 students were absent today.It was reported that most students were sick.",@SC Kepha Wangengi_Gathanji Comprehensive school
,Kahunira Secondary School,2026-02-13,White rice and beans,160,168,168,0,0,3,4,0,0,0,0,0,160,0,3,"13 Feb 2026, 13:00:26","13 Feb 2026, 13:30:39",Expecting students who had failed taps to top up their account,Food was delicious,Line was well managed by TOD,"Failed taps decreased from 5 to 4, parents topped up their accounts","Meals served today was 168, parents didn't top up their account on time",@Tapper kahunira secondary
,Ting'ang'a Secondary School,2026-02-13,White rice and beans,120,107,101,6,0,4,9,0,0,2,2,0,120,0,4,"13 Feb 2026, 13:25:03","13 Feb 2026, 13:50:10",Hopping for an increase in turn outs,The food was hot and delicious,Queue was neat and manageable,Today's failed taps were 9 which was a decrease from yesterday's taps this due to parent topping up,Today's Successful taps were 101 which was a decreased from yesterday's taps due to lower turn out,@Brenda Kamau Tapper Ting'ang'a Secondary school
,Kiairia Secondary School,2026-02-13,Rice and Beans,53,55,55,0,0,2,1,0,0,0,0,0,60,0,2,"13 Feb 2026, 13:13:09","13 Feb 2026, 13:30:25",I expect a higher number on Monday,The food was delicious,Line management was good,Failed tap today is the same as yesterday I,Successful taps increased from 50 to 55 students show up time of tapping,@Janet tapper kiairia secondary
,Riara Primary School,2026-02-13,Rice and Beans,200,204,189,15,0,2,10,0,0,0,0,0,210,0,2,"13 Feb 2026, 12:20:30","13 Feb 2026, 13:30:34",We expect a good turn out on Monday,Food was delicious and well cooked,Easy queue management,Failed taps have reduced from 14 to 10 parents are improving on topping up,Successful taps have increased from 183 to 189 this is because parents improved on topping up,@Jeniffer -(SC) Riara primary school
,St. Peters Ndumberi Secondary School,2026-02-13,Rice to beans,500,447,436,11,0,4,19,0,1,1,1,0,490,0,4,"13 Feb 2026, 13:00:56","13 Feb 2026, 13:40:09",Expecting the above projection.,The food was very delicious,There was an easy queue management,Today's failed taps were 19 compared to yesterdays which was 16.This is because some parents didn't top up.,Today's successful taps were 436 compared to yesterdays which was 484.This is because there was a decrease in the turn out.,@St Peters Ndumberi secondary
,ACK Riabai Primary School,2026-02-13,White Rice and Beans,350,341,297,44,0,3,14,0,0,0,0,0,340,0,3,"13 Feb 2026, 12:20:35","13 Feb 2026, 14:00:40",We usually have low turn out on Monday and high failed taps.,The food was delicious,Kids know how to queue on their own,Failed taps today is 14. Compared to yesterday's 19. Parents didn't top up their kids account.,Successful taps today is 297 a decrease from yesterday's 318. We had low turn out and high failed taps.,@Camilla (SC) ACK RIABAI PRIMARY
,Kiairia Comprehensive School,2026-02-13,White Rice and beans,220,217,200,17,3,2,4,0,3,0,0,0,220,3,2,"13 Feb 2026, 12:55:34","13 Feb 2026, 13:20:50",We anticipate all kids to be present and all accounts to be updated.,The food was sweet,Queue was well organized.,Failed taps increased from 1 to 4. Respective parents didn't update their accounts.,Successful taps decreased from 201 to 200. This is due to increase of failed taps.,@SC Lilian - Kiairia comprehensive
,P.C.E.A Karia Secondary School,2026-02-13,White rice and beans,35,30,30,0,1,2,1,0,0,00,0,0,40,5,2,"13 Feb 2026, 13:15:02","13 Feb 2026, 13:30:14",We expect a higher turnout tomorrow,Food was delicious and enough,Line was well managed,The number of failed taps increased from 00 to 01,The number of successful taps increased from 29 to 30,@Simon Tapper Karia secondary
,Benson Njau Primary School,2026-02-13,Rice and Cowpeas,440,399,345,54,0,3,27,0,7,10,12,0,380,0,3,"13 Feb 2026, 12:15:06","13 Feb 2026, 14:00:13",Primary students will be participating in Music and Drama festivals and they won't be feeding with us.,The food was well-prepared.,The ques were neat and manageable,Failed taps increased from 20 to 27 due to delayed or forgotten top-ups by parents.,"Successful taps decreased from 378 to 345, the kids were called for a sudden motivational talk and the teacher on duty made them attend. They were supposed to come for the tapping  later, but the speakers have snacks so they have decided to skip tapping.",@Serah (SC) Benson Njau Primary
,Gathanji Secondary School,2026-02-13,White rice and beans,50,57,57,0,0,2,4,0,1,00,0,0,60,0,2,"13 Feb 2026, 13:25:08","13 Feb 2026, 13:30:25",We expect an higher turnout on Monday.,Food was sweet and delicious.,The queue was well managed by the teacher on duty.,There was an increase in the number of failed taps from  1 yesterday to  4 today  since  parents didn't topup their accounts.,There was a decrease in the number of successful taps from 59 yesterday to  57 today  since   there was a low turnout today.,@Purity _ tapper Gathanji sec.
,Kamondo Primary and Junior School,2026-02-13,White rice and Beans,345,321,286,35,0,3,22,0,1,00,0,0,330,0,3,"13 Feb 2026, 12:40:51","13 Feb 2026, 13:30:00",I lowered my projection since on Monday we won't be tapping kids who have a tendency of forgetting their tags at home,The food was tasty,Queue was well managed by the ToD,22 failed taps a rise from 06 more parents had not topped up kids account on time,286 Successful taps a decrease from 308 as turn up was low and more parents failed to top up,@SCwangengi -Kamondo primary school
,Ngemwa Primary and Junior School,2026-02-13,WHITE RICE AND BEANS,195,194,172,22,0,2,10,0,1,0,0,0,200,0,2,"13 Feb 2026, 12:45:51","13 Feb 2026, 13:20:55",We expect failed taps to be topped up.,Meal was delicious,Line management was successful.,Failed taps increased from 3 to 10. Most parents did not top up on time.,Meals served decreased from 222 to 194 due.to the high number of failed taps and absenteeism,@SC Lucy - Ngemwa primary
,St. Augustine Gatono Primary,2026-02-13,Rice and Beans,160,160,148,12,1,2,9,0,0,0,0,0,180,2,3,"13 Feb 2026, 12:30:21","13 Feb 2026, 13:30:30",Expecting higher turn out tomorrow,Food was delicious,Queue was well managed,Failed taps increased from 5 to 9 as some parents didn't top up,Successful taps decreased from 168 to 148 as some kids were sent home for fees,@Anne Njoroge -SC St.?Augustine
,Riara Secondary School,2026-02-13,White Rice Beans,105,92,92,0,0,2,6,0,0,1,1,0,105,0,2,"13 Feb 2026, 13:05:00","13 Feb 2026, 13:45:00",We expect a good turnout on Monday,Food was delicious,Easy queue management,Successful taps decreased to 92 from yesterdays 104. 16 students left school for games at Kiambu High,Failed taps decreased to 6 from yesterdays 7,@Tapper Riara Sec
,Ndumberi Primary,2026-02-13,White rice and beans,815,801,742,59,0,3,56,2,3,0,0,0,810,0,3,"13 Feb 2026, 12:10:00","13 Feb 2026, 13:55:06",Expecting the above turn out as kids are doing exams,Food was delicious,Easy queue management,Today's failed taps were 56 compared to yesterday 51 some parents dint top up today,Today's successful taps were 742 compared to yesterday 765 there was a lower turn out today,@Ndumberi primary school
,Maciri Primary School,2026-02-13,Rice and Cow peas,420,420,383,37,0,3,13,0,2,0,0,0,420,0,3,"13 Feb 2026, 12:20:21","13 Feb 2026, 14:00:22",We expect a similar turn out.,Food was hot and delicious,Queues were manageable,Failed taps reduced to 13;accounts had insufficient funds,Successful taps were 383:turn out was great,@Claudiah(SC)Maciri Comprehensive
,Githunguri Technical & Secondary School,2026-02-13,Rice and beans,217,210,210,0,0,2,4,0,2,3,4,0,230,0,2,"13 Feb 2026, 13:25:11","13 Feb 2026, 13:55:21",We expect a rise of successful taps on Monday,Food was delicious and warm,The queue was well manageable,Failed taps today was 4 which is a constant compared yesterday 4 parents didn't top up,The actual meal served today was 210 which is a decrease compared from 229 to 210 parents didn't top up,"@Yvonne mugure, Githunguri Technical And Secondary School , Tapper"
,Ting'ang'a Model  School,2026-02-13,White rice and Cowpeas,380,411,358,53,0,3,18,0,0,0,0,0,400,0,3,"13 Feb 2026, 12:30:55","13 Feb 2026, 13:25:04",We expect Normal turn out from the kids on Monday.,Food was delicious,We had neat queues,"Our failed taps increased from 16 to 18,,,most parents didn't top up on time","Our Successful taps increased from 348 to 358,,kids turn out was good as they enjoy Cowpeas.",@Faith Mueni (SC) Ting'ang'a model.
