Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Ciiko Primary,1/12/2026,Rice and Beans,890,909,850,59,0,5,22,26,9,8,10,0,940,0,5,"12 Jan 2026, 12:30:27","12 Jan 2026, 13:40:38",We expected a slightly higher turnout tomorrow.,Food was hot and delicious,The queue was managed by the teacher on duty,Failed taps increased from 20 to 22,Actual meals served increased from 852 to 909.,@Ciiko Comprehensive school -SL- Samy Migwi
,Kahunira Comprehensive School,1/12/2026,White Rice & Beans,700,665,615,50,0,4,21,9,9,5,5,0,680,0,4,"12 Jan 2026, 12:40:08","12 Jan 2026, 13:34:15",We hope students with failed taps will remind there parents to update there account.,Food was delicious.,Queue management was well executed by teacher on duty.,"Failed taps slightly decreased from 24 to 21,some parents made timely payment.","Actual meals served today increased from 659 to 665 meals, students are still reporting back to school.",@Mwangi Mary Kahunira Comprehensive
,Kahunira Secondary School,1/12/2026,White rice & beans,160,131,131,0,0,3,5,3,4,2,2,0,150,0,3,"12 Jan 2026, 13:00:32","12 Jan 2026, 13:30:40",Expecting grade 10 students to be,Food was delicious,Queue was well managed by TOD,"Failed taps decreased from 7 to 5 , some parents topped up","Meals served today increased from 125 to 131, some parents registered their grade 10 students",@Tapper kahunira secondary
,Kiababu Primary School,1/12/2026,Rice and beans,270,263,228,28,0,2,4,4,0,0,0,7,270,0,2,"12 Jan 2026, 12:40:02","12 Jan 2026, 13:30:11",Expecting more kids to,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps increased from 2 to 4 as some parents did not manage to pay on Time,Successful taps increased from 250 to 263 as most students reported today,@kiaibabu primary school
,Gathangari Primary School,1/12/2026,rice and beans,430,382,357,25,0,3,16,8,4,22,17,,400,0,,"12 Jan 2026, 12:20:43","12 Jan 2026, 13:30:49",,Food was delicious,The queue was smoothly managed by the teacher,Failed taps reduced from 12 to 6.Some parents topped up on time and have urged kids to remind their parents,Successful taps increased from 356 to 382. no,@Pauline Gatimu
,Githioro Primary School,1/12/2026,Rice and Beans,310,313,288,25,0,2,9,14,1,0,0,,315,0,,"12 Jan 2026, 12:45:05","12 Jan 2026, 13:44:14",,Food was appetising,Line management was orderly assisted by the Tod,"Failed taps increased from 9 to 7, parents forgot to top up tgeir accounts on time.","Successful taps increased from 295 to 313, kids are still resistant well to school and new registrations are on going.",@GITHIORO COMPREHENSIVE
,Kiambururu Comprehensive School,1/12/2026,White Rice and Beans,280,262,233,29,0,3,13,2,5,2,4,,270,0,,"12 Jan 2026, 12:20:04","12 Jan 2026, 13:30:09",,The food was delicious.The kids enjoyed,Line management was smooth and fast,Failed taps increased from 3 to 13.Most parents failedbto top up on time,Actual meals served increased from 257 to 262.There was a better student turnout,@Kiambururu Comprehensive School
,Gikang'a Kageche Secondary School,1/12/2026,Rice and Beans,230,196,196,0,0,3,9,9,14,0,3,,250,0,,"12 Jan 2026, 13:15:37","12 Jan 2026, 13:45:44",,Food was hot and delicious,TOD assisted in managing the line,Today's failed taps was 9 an increase from previous which was 0.parent didn't top up on time,Today's successful taps was 196.Grade 10 were been admitted today,@Pauline Gatimu
,Gitiha Secondary School,1/12/2026,white rice and beans,105,118,118,0,0,2,3,0,7,2,3,,130,,,"12 Jan 2026, 12:40:19","12 Jan 2026, 13:05:37",,food was enough,queue was smooth,failed taps had decreased from the previous day,the number of successful taps had increased from the previous day,@Kang'ethe Dennis
,Gathaithi Secondary School,1/12/2026,Rice and beans,110,74,74,0,0,2,2,2,2,10.8,12.8,,110,0,,"12 Jan 2026, 13:10:20","12 Jan 2026, 13:41:50",,Food was delicious,Queuing was done in order,Today's failed taps were lesser than yesterday's due early topping up,Today's successful taps were lesser than yesterday's due low students attendance,@Joseph mburu nga'ang'a
