Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,William Ng'iru Secondary School,2026-02-02,Rice and beans,546,546,546,0,0,4,26,0,0,4,5,,550,0,,"2 Feb 2026, 12:40:14","2 Feb 2026, 13:50:41",,The food was delicious,Queueing was excellent and well managed,Failed taps have increased from 18 to 26. Parents did not top up,Actual meals have decreased from 559 to 546. Turnout was low,@Tapper Dennis -william Ng'iru Secondary
,"Kagema Comprehensive School
Date: 02/02/2026",02/02/2026,,870,,,,0,,,10,,239,,,,,,,12:20pm,,food was well cooked and delicious,The queue was well managed by the help of teachers and F4E regional representatives,,,George
,Kanjai Secondary School,2026-02-02,White Rice and Beans,190,190,190,0,0,2,14,0,2,00,0,,195,00,,"2 Feb 2026, 13:10:02","2 Feb 2026, 13:40:26",,The meal was delicious and satisfying.,Queue management was ordered by me.,Actual meal served was 190 with a decrease of 5.,"We had 14 failed taps, students didn't remind their parents to fund their accounts.","@mercy, tapper, kanjai secondary"
,Miguta Secondary School,2026-02-02,Rice and Beans,40,35,35,0,0,2,4,0,1,0,0,,40,0,,"2 Feb 2026, 13:10:24","2 Feb 2026, 13:40:40",,The food was delicious,The queue well managed,There were 4 failed taps,"There were 35 successful taps a decrease in 2, parents didn't top up their accounts on time and also students were absent","@Alex,Tapper Miguta Secondary"
,Gathugu Primary School,2026-02-02,Rice and beans,260,271,245,26,0,2,6,0,3,0,0,,270,0,,"2 Feb 2026, 12:40:51","2 Feb 2026, 13:50:08",,Food was delicious,Queue was orderly,"Actual meals severed today were 271, more pupils were present in school","We had 6 failed taps, parents forgot to top up on time",@SC Gathugu Comprehensive School
,Mukua Secondary School,2026-02-02,White rice and western,80,69,68,1,0,2,2,0,0,1,2,,80,0,,"2 Feb 2026, 13:42:21","2 Feb 2026, 13:59:38",,Food was good,I managed the queue,Failed taps increased from 7 to 8.most parents didn't top up on time,Successful taps decreased from 71 to 69.most students didn't tap,@Mukua secondary
,Gikang'a Kageche Secondary School,2026-02-02,Rice and beans,310,293,293,0,0,3,15,0,3,1,1,,310,0,,"2 Feb 2026, 13:10:50","2 Feb 2026, 13:50:55",,Food was delicious,Queue was well managed,Today's failed taps increased from 9 to 15.parents didn't top up on time,Today's successful taps decreased from 299 to 293.students turn out was low and parents didn't top up on time,@Pauline Gatimu
,PCEA Matuguta Primary & Junior Secondary School,2026-02-02,Rice and Beans,470,450,408,42,2,3,31,0,2,5,6,,460,3,,"2 Feb 2026, 12:25:13","2 Feb 2026, 13:35:20",,Food was delicious,Queue was well managed,Failed taps were 31 an increase of 18 taps from Friday's 13 failed taps. Some parents did not top up.,Actual meals were 450 a decrease of 24 meals from Friday's 474 actual meals. Some students were absent  and  some had insufficient funds.,@Matuguta primary
,Catholic Archdiocese Of Nairobi Gataka Primary & Junior Secondary,2026-02-02,Rice and Beans,295,281,254,27,0,2,12,0,2,4,5,,285,0,,"2 Feb 2026, 12:29:55","2 Feb 2026, 13:42:01",,The food was delicious,The queue was well managed by the school coordinator,"The number of failed taps rose from 8 to 12, some accounts had insufficient balances","The number of actual meals dropped from 294 to 281, parents failed to make timely payments for their kids.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
,Miiri Primary,2026-02-02,White Rice and Beans,430,416,366,50,0,3,37,0,6,0,4,,425,0,,"2 Feb 2026, 12:30:45","2 Feb 2026, 13:30:51",,The food was hot and delicious.,The queue was well organized and managed by the teacher and prefects on duty.,The number of failed taps dropped to 37 from 42 as parents hadn't topped up on time.,Actual meals served dropped to 416 from 433 as less parents had topped up on time and a decrease in student turnout today.,@SC Daniel Ng'ang'a - Miiri Primary School
