Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Mukuyu Secondary School,2026-02-12,Rice and western,350,345,345,0,0,3,10,0,0,10,0,,350,0,,"12 Feb 2026, 12:50:19","12 Feb 2026, 13:20:26",,Food was hot and delicious,Queue was well managed,Failed taps ramain intact at the number of 10,Successful taps increases from 340 to 345 most parents topped up on time,@Mukuyu Secondary School
,Kiambururu Secondary School,2026-02-12,White Rice with Western,210,208,208,0,0,3,5,0,1,0,0,,210,0,,"12 Feb 2026, 13:15:16","12 Feb 2026, 13:35:23",,The food was delicious students enjoyed it,I managed to line up,"Failed taps today 5 a decrease from previous which was 7, some parents forgot to top up","Successful taps was 208 an increase of 2, from previous which was 206, more students came for lunch.",@Salome-kiambururu secondary school
,William Ng'iru Secondary School,2026-02-12,Rice and western,560,559,559,0,0,4,9,0,1,0,0,,565,0,,"12 Feb 2026, 12:40:10","12 Feb 2026, 13:20:26",,Food was hot and delicious,Queue was well managed by the teacher on duty and me as well,Today's failed taps 9 is still the same with the previous failed taps... Cause their accounts are not credited,"Today's successful taps increased from 548 to 559,  students accounts are credited on time",@Tapper Dennis -william Ng'iru Secondary
,Kambui Primary School,2026-02-12,"White Rice, Western and Bananas",280,275,221,52,0,2,13,0,0,0,0,,260,0,,"12 Feb 2026, 13:00:57","12 Feb 2026, 14:10:59",,The food was delicious,The line was well managed,We had 13 failed taps a higher number compared to yesterday's that were 9. Most parents did not top up their accounts.,We had 221 successful taps a higher number compared to yesterday's that were 212.,@Kambui Primary and Junior School
,Gathaithi Secondary School,2026-02-12,Rice and western,120,113,113,0,0,2,14,0,1,0,0,,120,0,,"12 Feb 2026, 13:11:56","12 Feb 2026, 13:47:10",,Food was delicious,Queuing was good,We had 14 failed taps a rise from yesterday's 5 due to failure of topping up by parents,We had 113 successful taps a drop from yesterday's 119 due to failure of topping up by parents,@Joseph mburu nga'ang'a
,Kanyore Primary School,2026-02-12,RICE & WESTERN,640,644,597,47,0,3,6,2,3,0,0,,580,3,,"12 Feb 2026, 12:30:48","12 Feb 2026, 13:40:02",,Food was delicious,Line management was organized,Number of failed taps decreased from 13 to 6. Respective accounts were topped up.,Number of successful taps increased from 631 to 644. Students who were sent home for fees are reporting back gradually.,"@Haron Muiruri,SL Kanyore Primary"
,Kibichoi Primary School,2026-02-12,Rice and western,225,229,206,23,4,2,1,0,4,0,0,,230,4,,"12 Feb 2026, 13:00:05","12 Feb 2026, 13:30:14",,The food was delicious,I managed the queue well,"The number of failed taps decreased from 3 to 1, as most parents topped up their accounts on time","The number of successful taps increased from 199 to 206, as students continue to report back to school after  being sent home from school fees",@sc kibichoi primary school
,Miguta Primary School,2026-02-12,Rice and western,40,30,30,0,0,2,1,0,0,3,2,,36,0,,"12 Feb 2026, 13:10:01","12 Feb 2026, 13:40:59",,The food was delicious,The queue well managed,"We had 1 failed tap, parent did not top up their account on time","There were 30 successful taps a decrease in 6 . being academic day , students who did not bring their parents were spotted late and sent back to bring them.","@Alex,Tapper Miguta Secondary"
,Gatitu Primary,2026-02-12,WHITE RICE AND WESTERN.,380,381,343,38,0,3,10,0,2,00,0,,380,00,,"12 Feb 2026, 12:20:49","12 Feb 2026, 13:30:58",,Food was well served and  enough for all.,Learners were organized today.,Failed taps increased by 2 from 8 to 10 due to parents who are always unreachable.,Successful taps increased from 340 to 343 resulted by students being present and availing to feed with us.,@Wambui ikonya SC Gatitu comprehensive
,Miiri Secondary School,2026-02-12,White rice and western,35,31,31,0,2,2,1,0,0,2,1,,40,2,,"12 Feb 2026, 13:10:12","12 Feb 2026, 13:30:19",,The food was hot and yummy,Queue management was neat and organized with assistance of TOD,"Failed taps rose from 0 to 1, the parent didn't top up on time",Successful taps remained the same as yesterday which was 31,"@Esther,Tapper; Miiri Secondary School"
