Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,William Ng'iru Secondary School,2026-03-17,White rice and western,500,517,517,0,0,3,11,0,2,0,0,,530,0,3,"17 Mar 2026, 12:40:51","17 Mar 2026, 14:00:01",,Food was hot and delicious,Queue was managable,"Failed taps decreased from 21 to 11, most accounts were topped up","Successful taps increased from 477 to 517, students turn out was high",@Tapper Dennis -william Ng'iru Secondary
,Ikinu Primary,2026-03-17,Rice and western,860,863,776,87,0,5,28,0,3,0,0,,875,0,5,"17 Mar 2026, 12:15:07","17 Mar 2026, 13:45:26",,The food was delicious and the kids enjoyed bananas,It was smooth,Failed taps reduced from 52 to 28  more parents topped up,Increased from 839 to 863 more learners came for lunch,@SL Janet-Ikinu primary School
,Mukuyu Secondary School,2026-03-17,Rice and western,320,329,329,0,0,2,12,1,2,0,0,,335,0,2,"17 Mar 2026, 12:40:17","17 Mar 2026, 14:35:32",,Food was delicious,Queue was well managed,Failed taps decreases from 17 to 12 parents topped up on time,Successful taps increases from 316 to 329 most account were sufficient,@Mukuyu Secondary School
,GATHAITHI PRIMARY,2026-03-17,"Rice, western and Bananas",460,457,407,50,0,3,17,0,3,00,0,,465,00,3,"17 Mar 2026, 12:45:53","17 Mar 2026, 13:40:11",,Food was delicious. Kids enjoyed the bananas,Queue was well managed by one teacher,Failed taps reduced from 25 to 17. Some parents topped up but some still failed to top up.,Successful taps increased from 447 to 457. Parents with failed taps yesterday topped up today.,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
,Kanyore Primary School,2026-03-17,RICE & WESTERN,640,648,589,59,2,3,17,0,1,0,0,,650,3,3,"17 Mar 2026, 12:30:38","17 Mar 2026, 13:30:47",,Food was delicious,line management was organized. Helped by the ToD.,Number of failed taps decreased from 38 to 17. More accounts were topped up.,Number of successful taps increased from 616 to 648 as more students were present with accounts topped up.,"@Haron Muiruri,SL Kanyore Primary"
,Miguta Primary School,2026-03-17,Rice and beans,230,234,216,18,0,2,6,0,0,0,0,,240,0,2,"17 Mar 2026, 12:50:31","17 Mar 2026, 13:40:39",,The food was delicious,Queue management was smooth,"There were 6 failed taps, a decrease of 11 from the previous tapping. Parents topped up on time","There were 216 successful taps, the same as the previous tapping. Our population was affected by the ongoing games.",@SC Pauline - Miguta Primary School
,Mitahato Primary School,2026-03-17,Rice and Western,210,225,203,22,0,2,5,0,2,0,0,,220,0,2,"17 Mar 2026, 12:15:06","17 Mar 2026, 13:10:12",,Food was delicious,Queue was transitioning from class to class,Failed taps were constant this bacause parents forgot to top up,Successful taps increased by 21 because on Fridays kids don't come for lunch all of them,@SC George-Mitahato Comprehensive
,Ndireti Secondary School,2026-03-17,Rice and Western,45,45,45,0,0,2,1,0,0,0,0,,45,0,2,"17 Mar 2026, 12:30:27","17 Mar 2026, 12:55:32",,The food was delicious,The line was manageable,The number of failed taps decreased with a difference of 5 this is because the failed taps were topped up,The number of successful taps increased with a difference of 5 this is because the students who had failed taps they account were topped up,@Tracy Tapper Ndireti secondary school
,Kanjai Primary,2026-03-17,White Rice and Western,420,422,364,58,0,3,10,0,3,116,137,,420,0,3,"17 Mar 2026, 12:40:30","17 Mar 2026, 13:55:41",,The food was delicious and hot.,The queue was well managed,"There was a decrease in number from 20 to 10 , accounts were topped up on time.","There was an increase in number from 409 to 422, students showed up for lunch today because of the bananas.",@Immaculate-SC Kanjai Primary
,Kiambururu Secondary School,2026-03-17,White rice with Western,165,158,158,0,0,2,4,1,0,1,1,,165,0,2,"17 Mar 2026, 13:15:07","17 Mar 2026, 13:30:13",,The meal was served hot,Line management was smooth,"Failed taps today was 4 compared to previous which was 7,most of the parents remembered to top up.","Successful taps was 158 a slightly increase from previous which was 148,10 students reported back to school from a sickoff.",@Salome-kiambururu secondary school
,Kambui Primary School,2026-03-17,White Rice and Western,250,246,191,55,0,2,10,1,3,0,0,,250,0,2,"17 Mar 2026, 12:20:38","17 Mar 2026, 13:30:40",,The food was delicious,The line was well managed,We had 10 failed taps a higher number compared to yesterday's that were 6. Most parents did not top up their accounts,We had 191 successful taps a higher number compared to yesterday's that were 189.,@Kambui Primary and Junior School
,Komothai Primary School,2026-03-17,White rice and western,175,180,159,21,0,2,8,0,0,0,0,,185,0,2,"17 Mar 2026, 12:30:26","17 Mar 2026, 13:30:30",,Food was yummy,Kids were organized,"Failed taps increased from 5 to 8, parents forgot to top up on time","Actual meals increased from 171 to 180, absent kids reported back to school",@SC Komothai Comprehensive
,Gatitu Primary,2026-03-17,RICE AND WESTERN & BANANAS,375,370,328,42,1,3,8,0,2,1,1,,380,1,3,"17 Mar 2026, 12:20:58","17 Mar 2026, 13:30:05",,Food was delicious and kids enjoyed bananas .,Students were orderly thus cooperated well.,Failed taps have increased from 5 to 8 resulted by some parents not topping up on time and being unavailable when calls are placed.,Successful taps have decreased from 333 to 328 resulted by some students being absent especially ECDE due to catching a cold.,@Wambui ikonya SC Gatitu comprehensive
,Miguta Secondary School,2026-03-17,White rice and western,40,37,37,0,0,2,0,0,0,1,1,,40,0,2,"17 Mar 2026, 13:10:15","17 Mar 2026, 13:40:27",,The food was delicious,The queue well managed,There were no failed taps... parents topped up their accounts on time,There were 37 successful taps... parents topped up their accounts on time and students turned out higher than yesterday,"@Alex,Tapper Miguta Secondary"
,PCEA Mitahato Secondary School,2026-03-17,White rice and western,40,38,38,0,0,2,3,0,0,0,0,,40,0,2,"17 Mar 2026, 12:50:24","17 Mar 2026, 13:00:28",,Lunch was delicious and well prepared,I managed the line with ease,Today's number was the same as the previous because parents didn't top up,The number increased by one compared to the previous because the students love western,"@minne,Tapper Mitahato Secondary"
,Miiri Secondary School,2026-03-17,White rice and western,30,28,28,0,2,2,3,0,0,0,0,,35,3,2,"17 Mar 2026, 13:10:39","17 Mar 2026, 13:30:59",,The food was hot and yummy,Queue management was neat and organized with assistance of TOD,"There were 3 failed taps,an increase from 0 the parents didn't top up","Successful taps increased from 27 to 28, more parents had topped up on time","@Esther,Tapper; Miiri Secondary School"
,Kiawairia Primary,2026-03-17,Rice and western ndengu,125,121,105,16,3,2,4,0,0,1,1,,125,4,2,"17 Mar 2026, 12:00:22","17 Mar 2026, 13:20:28",,Food was hot and delicious,Lines were neat and organized,We had 4 failed taps a decrease from 6 some parents didn't top up on time,We had 105 sucessful taps an increase from 103 turn out was still low,@Mary kimani SC kiawairia comprehensive school
,Gathaithi Secondary School,2026-03-17,Rice and western,90,98,98,0,0,2,2,0,0,0,0,,100,0,2,"17 Mar 2026, 13:12:09","17 Mar 2026, 13:45:16",,Food was delicious,Queuing was fairly good,We had 2 failed taps a drop from yesterday's 8,We had 98 successful taps a rise from yesterday's 90 due to early topping up by parents,@Joseph mburu nga'ang'a
