Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Ciiko Primary,2026-01-23,Masala Rice and western ndegu,965,966,896,70,0,5,11,2,13,2,3,0,980,0,5,"23 Jan 2026, 12:30:52","23 Jan 2026, 13:35:04",We more expect a higher turnout than today,Food was hot and delicious,Queue was managed by   teacher on duty,Failed taps decrease from 16 to 11,Successful taps increased from 890 to 896,@Ciiko Comprehensive school -SL- Samy Migwi
,Kiababu Primary School,2026-01-23,Masala Rice and western,270,267,249,28,0,2,6,0,2,1,1,0,270,0,2,"23 Jan 2026, 12:40:08","23 Jan 2026, 13:20:14",Expecting similar turnout to today,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps remained the same as some parents did not manage to pay on Time,Successful taps remained the same as some parents did not manage to pay on Time,@kiaibabu primary school
,Kahunira Comprehensive School,2026-01-23,Masala Rice & Western Ndengu,740,732,665,67,0,4,24,0,2,00,0,0,740,0,4,"23 Jan 2026, 12:40:12","23 Jan 2026, 13:35:16",Normal school program.,Food was hot & delicious.,Queue management was well executed by teacher on duty.,"Failed taps increased from 15 to 24, respective parents didn't top up.","Actual meals served today decreased slightly from 743 to 732,some students didn't turn up for tapping.",@Mwangi Mary Kahunira Comprehensive
,Githunguri Technical & Secondary School,2026-01-23,Masala rice and western,230,216,216,0,0,2,6,0,0,3,4,0,225,0,2,"23 Jan 2026, 13:25:47","23 Jan 2026, 14:00:54",We expect a rise of successful taps tomorrow,Food was delicious and warm,The queue was well manageable,Failed taps today was 6 which is an increase compared from 3 to 6 parents didn't top up,The actual meal served today was 216 which is a decrease compared from 225 to 216 parents didn't top up,"@Yvonne mugure, Githunguri Technical And Secondary School , Tapper"
,Kahunira Secondary School,2026-01-23,Masala rice and western,145,151,151,0,0,3,1,0,1,0,0,0,155,0,3,"23 Jan 2026, 13:00:57","23 Jan 2026, 13:30:05",Expecting students to resume back to school who were sent for school fee,Food was delicious,Queue was well managed by TOD,"Failed taps decreased from 2 to 1, parents topped their accounts","Meals served today increased from 138 to 151, parents topped their accounts",@Tapper kahunira secondary
,Gatitu Primary,2026-01-23,RICE AND WESTERN.,380,378,339,39,1,39,4,0,3,1,1,,380,1,,"23 Jan 2026, 12:20:37","23 Jan 2026, 14:00:44",,Food was delicious..served while still hot.,ToD helped in line management.,A difference of 1 being an increase.. parents made timely payments.,"A difference of 3 being a decrease,from 381 to 378..some parents did not pick up when I called.",@Wambui ikonya -sc- Gatitu comprehensive
,Kindiga Primary & Junior Secondary School,2026-01-23,White Rice and western,200,188,170,18,0,2,5,0,1,2.0,2.5,,190,00,,"23 Jan 2026, 12:40:38","23 Jan 2026, 13:30:48",,The food was delicious,Queues were orderly,"Failed taps increased to 5 from yesterday's 2,parents did not top up accounts on time.","Successful taps decreased to 188 from yesterday's 200,Some students were absent.",@James Mbugua SC Kindiga Primary
,Gathaithi Secondary School,2026-01-23,Rice and western,115,74,74,0,0,2,7,0,1,12.3,14.4,,100,0,,"23 Jan 2026, 13:22:46","23 Jan 2026, 13:44:08",,Food was delicious,Queuing was good,We had 7 failed taps a rise from yesterday's 5 failed taps due to failure of topping up by parents,We had 74 successful taps a drop from yesterday's 117 as students were sent home to get and  buy calculators,@Joseph mburu nga'ang'a
,PCEA Matuguta Primary & Junior Secondary School,2026-01-23,Rice and Western,460,464,420,44,0,3,18,1,2,0,0,,460,3,,"23 Jan 2026, 12:40:51","23 Jan 2026, 13:30:54",,Food was delicious,Queue was well managed,Failed taps were 18 an increase of 2 taps from yesterday's 16 failed taps Respective parents had not topped up.,Actual meals were 464 a decrease of 3 taps from yesterday's 467 actual meals. Some parent's had not topped up the kids' accounts.,@Matuguta primary
,Kiambururu Comprehensive School,2026-01-23,White rice and western,275,279,250,29,0,3,7,0,1,0,0,,275,0,,"23 Jan 2026, 12:30:45","23 Jan 2026, 14:35:50",,The food was delicious,Line management was smooth,Failed taps decreased from 8 to 7.Some parents failed to top up on time,Actual meals served increased from 272 to 279.There was a good student turnout today,@Kiambururu Comprehensive School
