Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Githima Primary,2026-03-18,White rice and beans,250,252,233,19,3,2,2,0,0,0,0,,255,4,2,"18 Mar 2026, 12:30:21","18 Mar 2026, 13:30:26",,Today's meal was delicious,"With the help of the deputy headteacher, queue management was smooth and orderly.",We had 2 failed taps which is an increase from yesterday's 1 failed tap.Two parents did not top up on time,We had 252 actual meals served which is an increase from yesterday's 249 actual meals served.Turn up was higher today.,@Brenda kamawe Githima primary and junior secondary school
,Kigumo Primary,2026-03-18,White Rice and Beans,165,165,149,16,0,2,11,0,0,0,0,,165,0,2,"18 Mar 2026, 12:40:42","18 Mar 2026, 13:09:46",,Food was delicious,Line management was orderly assisted by the teacher on duty,The number of failed taps remained constant to yesterday where we had 11.,We had 165 actual meals served compared to yesterday where we had 164.This increase was led by parents topping up their accounts,@S C PCEA Kigumo Comprehensive School
,Ihiga Primary,2026-03-18,White Rice and Beans,155,157,141,16,0,2,0,0,0,0,0,,160,0,2,"18 Mar 2026, 12:40:59","18 Mar 2026, 13:10:05",,Food was Enough,Queues were manageable,"Failed taps was 0, the same as yesterday's which was 0.Parents are topping up on time.",Successful taps were 157 a decrease from yesterday's which was 160.6 kids went for games.,@Naomi SC-Ihiga Comprehensive
,PCEA Matuguta Primary & Junior Secondary School,2026-03-18,Rice and Beans,440,439,408,31,4,3,15,0,1,0,0,,460,4,3,"18 Mar 2026, 12:30:26","18 Mar 2026, 13:25:31",,Food was delicious and sweet,Queue was well managed,Failed taps were 15 an increase of 2 taps from yesterday's 13 failed taps.Respective parents had not topped up,Actual meals were 439 an increase of 18 taps from yesterday's 421 actual meals.Some of the absent students reported to school today.,@Matuguta primary
,Gitombo Primary School,2026-03-18,White rice and beans,160,179,168,11,0,2,0,0,0,0,0,,140,0,2,"18 Mar 2026, 12:30:42","18 Mar 2026, 13:30:47",,Food was delicious,Queue was manageable by the help of teacher.,Today failed taps was 0 just like yesterday the number maintained.,Actual meals served today was 179 an increase of 9 from 170 yesterday learners show up well today.,@Veronica Mwaura -S/C- Gitombo primary
,Ikinu Primary,2026-03-18,Rice and beans,875,861,776,87,0,5,28,0,3,0,10,,880,0,5,"18 Mar 2026, 12:15:33","18 Mar 2026, 13:45:44",,The food was delicious,Queue management was smooth,Failed taps decreased from 52 to 28. More parents topped up,Increased from 839 to 863. More learners showed up,@SL Janet-Ikinu primary School
,Kanjai Secondary School,2026-03-18,White rice and beans,185,185,185,0,0,2,3,0,0,00,0,,185,00,2,"18 Mar 2026, 13:10:31","18 Mar 2026, 13:40:01",,The meal was undercooked or hard and it was still fine.,Queue management was ordered by me and TOD.,Actual meal was 185 compared to yesterday with an increase of 2.,We  had 3 failed taps the same  as yesterday students not reminding their parents to fund their accounts.,"@mercy, tapper, kanjai secondary"
,Mitahato Primary School,2026-03-18,Rice and beans,220,233,209,24,0,2,6,0,2,0,0,,230,0,2,"18 Mar 2026, 12:20:34","18 Mar 2026, 13:20:40",,Food was yummy,The queue was well managed by T.OD and I,Failed taps rose by 1 because one of the consistent feeder's account had insufficient balance,The number of successful taps increased by 8 because we're to exams where almost 100% of the kids come to school,@SC George-Mitahato Comprehensive
,Gikang'a Kageche Secondary School,2026-03-18,Rice and Beans,315,315,315,0,0,2,12,0,1,0,0,,320,0,2,"18 Mar 2026, 13:10:06","18 Mar 2026, 13:50:11",,Food was delicious,Queue was well managed by TOD and deputy principal,Today's failed taps increased from 4 to 12.parent didn't top up on time,Today successful taps increased from 310 to 315.Turn was great,@Pauline Gatimu
,Ngewa Primary School,2026-03-18,Rice and beans,285,286,256,30,0,2,14,0,2,0,0,,290,0,2,"18 Mar 2026, 12:00:02","18 Mar 2026, 13:30:04",,The food was delicious,Queue was transitioning well from class to class,We had 14 failed taps today which is an increase from 13 yesterday,We had 286 actual meals served today which is an increase from 282 yesterday,@Ngewa primary school.
