Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Gathaithi Secondary School,2026-01-21,Rice and western,105,117,117,0,0,2,4,0,2,0,0,,110,0,,"21 Jan 2026, 13:23:25","21 Jan 2026, 13:49:35",,Food was delicious,Queuing was good,We had 4 failed taps a drop from yesterday's 6 failed taps due to early topping up of cards by parents,We had 117 successful taps a rise from yesterday's 102 due to more students attendance in school,@Joseph mburu nga'ang'a
,GATHAITHI PRIMARY,2026-01-21,Rice and Western,465,458,413,45,3,3,15,1,1,1.7,2.1,,460,3,,"21 Jan 2026, 12:40:36","21 Jan 2026, 13:30:45",,Food was sweet,Queue was well managed by School coordinator,Failed taps increased from 11 to 15,Actual meals served today dropped from 468 to 458. Some parents failed to top up accounts.,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
,Gathiruini Primary School,2026-01-21,Rice and western,240,247,222,25,0,2,3,1,1,68,80,,250,0,,"21 Jan 2026, 12:30:52","21 Jan 2026, 13:30:57",,Lunch was delicious,Line management was good with help of teacher on duty,Failed taps today were 247 an increase from 235 this is because most students were present today,Failed taps today were 3 a decrease from 4 this is because parents topped up their accounts on time,@Catherine Wanjiru
,PCEA Matuguta Primary & Junior Secondary School,2026-01-21,Rice and Western,465,457,420,37,2,3,15,1,1,0,0,,460,3,,"21 Jan 2026, 12:30:00","21 Jan 2026, 13:30:06",,Food was sweet and delicious,Queue was well managed,Failed taps were 15 an increase of 2 taps from yesterday's 13 failed taps. Respective parents had not topped up.,Actual meals were 457 a decrease of 7 taps from yesterday's  464 actual meals . Some students had not topped up their accounts.,@Matuguta primary
,Gikang'a Kageche Secondary School,2026-01-21,Rice and Western,315,307,307,0,0,3,7,2,1,2,3,,315,0,,"21 Jan 2026, 13:50:19","21 Jan 2026, 14:00:28",,Food was delicious,Line was smoothly managed,Today's failed taps increased from 3 to 7.parent didn't top up on time,Today's successful taps decreased from 310 to 307.parent didn't top up on time,@Pauline Gatimu
,Gatina Primary School,2026-01-21,White rice and western,460,455,390,65,0,3,12,2,0,3,4,,460,0,,"21 Jan 2026, 12:30:35","21 Jan 2026, 13:27:35",,Food was hot and yummy,Line was smooth and orderly,Failed taps were 12 an increase from yesterday's number of 8. A number of parents didnot manage to credit account on time.,"Actual meal served were 455 a decrease from yesterday's number of 460, the number decreased due to high number of failed taps.",@Kang'ethe Dennis
,Ihiga Primary,2026-01-21,Rice and Western,165,160,149,11,0,2,4,1,4,3,5,,160,0,,"21 Jan 2026, 12:40:46","21 Jan 2026, 13:10:51",,Food was Enough,Queues were manageable with assistance from teacher on duty.,Today's failed taps was 4 an increase from yesterday's which was 0.Parents didn't top up their accounts.,Successful taps were 160 a decrease from yesterday's which was 166.The drop was caused by failed taps.,@Naomi SC-Ihiga Comprehensive
,Githioro Primary School,2026-01-21,Rice and Western,335,341,306,25,0,2,7,0,0,0,0,,340,0,,"21 Jan 2026, 12:35:36","21 Jan 2026, 13:35:40",,Food was appetising,Line management was organised assisted by tod,"Failed taps increased from yesterday’s 5 to 7 today, parents forgot to top up their accounts on time","Successful taps increased from 329 yesterday to 341, numbers are increasing.",@GITHIORO COMPREHENSIVE
,Kiawaiguru Primary School,2026-01-21,Rice and Western,225,223,204,19,1,2,4,0,0,1,1,,225,2,,"21 Jan 2026, 12:30:00","21 Jan 2026, 13:20:00",,Lunch was delicious.,Line was oderly.,Failed taps increased from yesterday’s 3 to today 4.Some parents didn’t top up despite reminding them.,Actual meals served decreased from yesterday’s 225 to today 223.A few pupils didn’t report to school today.,@KIAWAIGURU PRIMARY SCHOOL
,PCEA Matuguta Secondary School,2026-01-21,White Rice and Western Ndengu,120,125,125,0,0,2,1,0,3,00,0,,125,00,,"21 Jan 2026, 13:30:56","21 Jan 2026, 13:45:10",,Food was hot and delicious,Queues were orderly and well managed by the help of the tod,"Failed taps today were 01 lower than yesterday's 04,most of the parents topped up on time",Successful taps today were 125 higher than yesterday's 117 and also higher than the projected meals,@Njeri -Matuguta secondary school
