Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Ciiko Primary,2026-01-16,Rice and western ndugu,960,938,875,63,0,5,13,0,2,10,15,0,950,0,5,"16 Jan 2026, 12:30:46","16 Jan 2026, 13:30:52",We expect a higher turnout  than today . Also we expect failed taps to decrease thus projecting 950,The food was hot and delicious,The queue was managed by teacher on duty,Failed taps increased from 9 to 13.,Successful taps decrease from 965 to 938,@Ciiko Comprehensive school -SL- Samy Migwi
,Kahunira Comprehensive School,2026-01-16,White Rice & Western,690,720,657,63,0,4,21,0,5,00,0,0,720,0,4,"16 Jan 2026, 12:40:09","16 Jan 2026, 13:35:16",Normal school program,"Food was hot, delicious and at good temperatures.",Queue management was well executed by teacher on duty.,Failed taps decreased slightly from 22 to 21.,Actual meals served today remained constant like yesterday which was 720.,@Mwangi Mary Kahunira Comprehensive
,Kahunira Secondary School,2026-01-16,White Rice & western,155,152,152,0,0,3,3,0,1,0,0,0,160,0,3,"16 Jan 2026, 13:00:57","16 Jan 2026, 13:35:39",Expecting grade 10 students to,Food was delicious,Line was well managed by TOD,"Failed taps decreased from 4 to 3, parents topped up their accounts","Meals served today increased from 149 to152, parents topped up their accounts",@Tapper kahunira secondary
,Kiababu Primary School,2026-01-16,Rice and western,270,254,229,25,0,0,8,0,3,14,5,0,230,0,2,"16 Jan 2026, 12:40:59","16 Jan 2026, 13:30:22",Expecting more kids to,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps decreased from 13 to 8 as some parents managed to pay on Time,Successful taps decreased from 264 to 263 as some parents did not manage to pay on Time,@kiaibabu primary school
,PCEA Matuguta Secondary School,2026-01-16,White rice and Western Ndengu,105,108,108,0,0,2,6,0,1,00,0,,110,00,,"16 Jan 2026, 13:30:57","16 Jan 2026, 13:45:09",,Food was hot and delicious the kids enjoyed themselves,Queues were orderly and well managed by the help of the tod,Failed taps today were 06 higher than yesterday's 03 most of the parents didn't top up on time,Successful taps today were same as yesterday 108,@Njeri -Matuguta secondary school
,Mathanja Priamry School,2026-01-16,rice and western,195,196,177,19,0,2,0,1,0,0,0,,210,0,,"16 Jan 2026, 12:20:07","16 Jan 2026, 13:25:31",,food was delicious,I managed the queue without any assistance since kids came in turns,today we had zero failed taps . I reminded the parents to top-up on time and they did.,today we had 196 actual meals served same as yesterday.,@mathanja primary school
,PCEA Matuguta Primary & Junior Secondary School,2026-01-16,Rice and Western,450,448,416,32,2,3,13,0,4,0,0,,450,3,,"16 Jan 2026, 12:35:04","16 Jan 2026, 13:30:13",,Food was sweet and delicious,Queue was well managed,Failed taps were 13 a decrease of 1 tap from yesterday 14 failed taps . Respective parents had not topped up.,Actual meals were 448 a decrease of 9 taps from yesterday's 457 actual meals. Some students were absent today.,@Matuguta primary
,Githiga Primary,2026-01-16,White rice  and Western,390,396,362,34,0,3,25,3,3,00,0,,400,00,,"16 Jan 2026, 12:30:16","16 Jan 2026, 13:46:21",,Food was sweet and delicious.,Line Management was smooth.,Failed taps decreased from 31 to 25. Parents  topped  up.,Actual meals  increased  from 384 to 396. Students  turnout  increased.,@Nicholas-SC - Githiga Comprehensive
,Gathangari Primary School,2026-01-16,Rice and Western,405,409,374,30,0,3,8,0,1,10,0,,420,0,,"16 Jan 2026, 12:20:58","16 Jan 2026, 13:30:05",,Food was delicious,The queue was smoothly managed by the teacher,Failed taps reduced from 12 to 8.some parents forgot to top up on timeHave urged to remind their parents.,Successful taps retained as 409.Parents topped up on time .,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
,Mukuyu Secondary School,2026-01-16,Rice and western,305,317,317,0,0,3,9,3,14,0,0,,330,0,,"16 Jan 2026, 12:40:05","16 Jan 2026, 13:20:16",,Food was delicious,Queue was well managed,Mukuyu secondary school failed taps decreases from 11 to 9 because some parents paid,Mukuyu secondary school actual taps was 317 which increases from 293 because grade 10 students are joining F4E,@Mukuyu Secondary School
,Kiambururu Comprehensive School,2026-01-16,White Rice and Western,280,274,244,30,0,3,8,0,0,0,0,,275,0,,"16 Jan 2026, 12:30:22","16 Jan 2026, 13:45:30",,The food was delicious,Line management was smooth and fast,Failed taps decreased from 13 to 8.We still had parents who failed to top up on time,Actual meals served decreased from 275 to 274.This is because we had a high number of failed taps,@Kiambururu Comprehensive School
,Ihiga Primary,2026-01-16,Rice and Western,160,165,151,14,0,2,2,2,0,0,0,,160,0,,"16 Jan 2026, 12:40:39","16 Jan 2026, 13:15:47",,Food was Tasty,Queues were manageable with assistance from teacher on duty.,Failed taps were 2 a decrease from yesterday's which was 5.Parents didn't top up their accounts on time.,Successful taps were 165 an increase from yesterday's number which was 157.Today's turn up was high.,@Naomi SC-Ihiga Comprehensive
,Gitombo Primary School,2026-01-16,White Rice andWestern,180,162,151,11,0,2,0,0,1,5,5,,170,0,,"16 Jan 2026, 12:30:13","16 Jan 2026, 13:30:24",,Food was delicious,The line was manageable since most of the learners were self driven,There was 0 failed tap a decrease of 1 from one since all parents did top up their accounts on time.,Actual meals served today was 162 a decrease of 14 from 176 due to absenteeism.,@Veronica Mwaura -S/C- Gitombo primary
,Gatitu Primary,2026-01-16,RICE AND WESTERN.,380,374,340,34,1,3,13,0,0,1,1,,380,1,,"16 Jan 2026, 12:15:40","16 Jan 2026, 13:25:01",,Food was delicious and well balanced.,Students were moving in order and lines transitioned smoothly.,Failed taps decreased from 18 to  13 resulted by parents making timely payments.,A decrease in successful taps from 343 to 340.. students were present and availed for tapping.,@Wambui ikonya -sc- Gatitu comprehensive
,Kanyore Primary School,2026-01-16,Rice and Western,630,610,579,41,8,3,34,3,2,15,6,,630,8,,"16 Jan 2026, 12:40:00","16 Jan 2026, 13:20:00",,Food was delicious,Queue was well managed,The number of failed taps increased from 16 to 34 since more parents failed to top up the accounts.,The number of actual taps reduced from yesterday’s 642 to today’s  610 because less accounts were topped up.,@Kanyore Comprehensive School
,Gitiha Secondary School,2026-01-16,White rice and western stew,130,131,131,0,0,2,9,0,0,0,0,,140,0,,"16 Jan 2026, 12:40:51","16 Jan 2026, 13:02:56",,Food was enough,Queue was managable,Failed taps had decreased,Successful tap had decreassed from the previous day,@Kang'ethe Dennis
