Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Ndireti Secondary School,2026-02-18,Rice and Western,50,41,41,0,0,2,2,0,0,3,3,,45,0,,"18 Feb 2026, 12:35:47","18 Feb 2026, 12:45:52",,The food was delicious,The line was manageable,The number of failed taps decreased with a difference of 2 this is because the failed taps were topped up,The number of successful taps increased with a difference of 4 this is because the turnout was good,@Tracy Tapper Ndireti secondary school
,Ngewa Primary School,2026-02-18,Rice and Western,220,296,268,28,0,2,14,3,1,0,0,,310,0,,"18 Feb 2026, 12:00:29","18 Feb 2026, 13:30:31",,The food was delicious,Queue was transitioning well from class to class,We had 14 failed taps today which is a decrease from 17 yesterday,We had 296 successful taps today is a decrease from 306 yesterday since some kids had gone for music festivals,@Ngewa primary school.
,Gatitu Primary,2026-02-18,WHITE RICE AND WESTERN.,335,375,337,38,0,3,7,0,1,00,0,,380,00,,"18 Feb 2026, 12:15:52","18 Feb 2026, 13:30:03",,Mangoes were super sweet!!!kids wore a banana smile,Learners were organized in presence of ToD.,Failed taps increased from 4 to 7  due to accounts that had no funds at all.,Successful taps decreased from 385 to 375 amidst the 40 particular JSS who attended music festivals....kids turned out when they saw mangoes .,@Wambui ikonya SC Gatitu comprehensive
,Kibichoi Primary School,2026-02-18,Rice and western,230,234,210,24,5,2,7,0,1,0,0,,230,5,,"18 Feb 2026, 13:00:54","18 Feb 2026, 13:35:01",,The food was delicious.,I managed the queue well,"The number of failed  taps decreased from 8 to 7, as few parents didn't top up their accounts on time","The number of successful taps increased from 185 to 210, as students came in big numbers, due to the exam period and also due to mangoes on the menu today",@sc kibichoi primary school
,Kambui Primary School,2026-02-18,White Rice and Western,280,278,221,57,0,2,8,0,2,1.5,1.75,,280,0,,"18 Feb 2026, 12:50:28","18 Feb 2026, 14:00:37",,The food was delicious,The line was well managed,We had 8 failed taps. Some parents did not top up their accounts.,We had 221 successful taps a higher number compared to yesterday's that were 218. Most kids came for lunch.,@Kambui Primary and Junior School
,Gitiha Secondary School,2026-02-18,White rice and western stew,160,155,155,0,0,2,4,0,1,0,0,,155,0,,"18 Feb 2026, 12:45:46","18 Feb 2026, 13:15:54",,Food was delicious and tasty,Queue was manageable,Increased number of failed taps compared to the previous day from 1 to 4,Increased number of successful taps compared to the previous day from 152 to 155,@Jecinta muthoni Gitonga
,Miiri Secondary School,2026-02-18,White Rice and Western,50,31,31,0,2,2,4,0,0,5,5,,40,2,,"18 Feb 2026, 13:00:24","18 Feb 2026, 13:10:43",,The food was hot and yummy.,Queue management was neat and orderly with the assistance of TOD.,Failed taps remained a constant 4 as parents hadn't topped up on time.,"Successful taps increased to 31 from 27, as parents had topped up on time.","@Esther,Tapper; Miiri Secondary School"
,Gathangari Primary School,2026-02-18,Rice and western,440,443,398,45,0,3,4,0,0,0,0,,440,0,,"18 Feb 2026, 12:30:32","18 Feb 2026, 13:40:01",,Food was hot and delicious,The queue was smoothly managed by the T.O.D,Failed taps reduced from 13 to 4.parents topped up on time and have urged kids to remind them to top up,Successful taps increased from 418 to 443.Parents topped up on time and kids really turned up well being a mango day,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
,Kihuririo Primary School,2026-02-18,Rice and western,490,506,444,62,0,3,4,0,1,0,0,,500,0,,"18 Feb 2026, 12:50:31","18 Feb 2026, 13:35:35",,The food was delicious,Queue was good,"Failed taps decreased from 7 to 4, parents paid",Successful taps increased from 480 to 506 kids enjoyed mangoes today.,@kihuririo primary
,GATHAITHI PRIMARY,2026-02-18,"Rice, Western and mangoes",430,455,407,48,0,3,16,0,0,00,0,,490,00,,"18 Feb 2026, 12:40:46","18 Feb 2026, 13:40:52",,Food was delicious kids enjoyed the mangoes,Queue was well managed by one teacher,Failed taps increased from 15 to 16,The number of Successful taps reduced from 465 to 455. We had 60 kids who attended music festivals,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
