Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Kahunira Comprehensive School,2026-01-19,White Rice & Green Grams,720,734,674,60,0,4,11,5,7,00,0,0,750,0,4,"19 Jan 2026, 12:40:09","19 Jan 2026, 13:35:16",Normal school program.,Food was hot and delicious.,Queue management was well executed by teacher on duty.,"Failed taps decreased from 21 to 11, respectives parent made timely payment.","Actual meals served today increased from 720 to 734, turn out was great today.",@Mwangi Mary Kahunira Comprehensive
,Kahunira Secondary School,2026-01-19,White rice & Green Gram,155,95,95,0,0,3,1,3,1,20,23,0,120,0,3,"19 Jan 2026, 13:00:59","19 Jan 2026, 13:30:11",Expecting some students who were sent for school fee to,Food was hot and delicious,Line was well managed by the teacher,"Failed taps decreased from 3 to 1, parents topped up their accounts","Meals served today decreased from 152 to 95, students were sent home to pay their school fee",@Tapper kahunira secondary
,Ciiko Primary,2026-01-19,Rice and greengrams,950,978,908,70,0,5,18,0,9,0,0,0,990,0,5,"19 Jan 2026, 12:30:18","19 Jan 2026, 13:26:26",Tomorrow we expected the number of meals to increase to 990 we expected the number of of failed taps to decrease.,The food was hot and delicious,The queue was managed by the teacher on duty.,Failed taps increased from 13 to 18.,Successful taps increased from 875 to 908.,@Ciiko Comprehensive school -SL- Samy Migwi
,Githunguri Technical & Secondary School,2026-01-19,Rice and green grams,162,174,174,0,0,2,6,5,11,0,0,0,190,0,2,"19 Jan 2026, 13:25:46","19 Jan 2026, 13:55:24",We expect a rise of successful taps tomorrow,Food was delicious and warm,The queue was well manageable,Failed taps today was 6 which is a decrease compared from 10 to 6 parents top up,The actual meal served today was 174 which is a increase compared from 162 to 174 parents top up,"@Yvonne mugure, Githunguri Technical And Secondary School , Tapper"
,Kiababu Primary School,2026-01-19,Rice and green grams,230,250,224,26,0,2,12,0,8,0,0,0,270,0,2,"19 Jan 2026, 12:40:43","19 Jan 2026, 13:25:31",Expecting more kids to,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps increased from 9 to 12 as some parents did not manage to pay on Time,Successful taps decreased from 264 to 250 as some students did not report today,@kiaibabu primary school
,Kiambururu Comprehensive School,2026-01-19,White Rice and GG,280,263,232,31,0,3,9,0,1,4,4,,270,0,,"19 Jan 2026, 12:40:54","19 Jan 2026, 13:40:14",,The food was hot and delicious,Line management was smooth,Failed taps increased from 8 to 9.Parents failed to top up on time,Actual meals served decreased from 274 to 263.Some kids were absent today,@Kiambururu Comprehensive School
,Gathangari Primary School,2026-01-19,White Rice and GG,420,410,381,29,0,3,5,3,3,13,4,,415,00,,"19 Jan 2026, 12:30:28","19 Jan 2026, 13:30:38",,Food was hot and delicious,The queue was smoothly managed by the T.O.D,Failed taps reduced from 9 to 5. Some parents topped up on time bt have urged kids to remind them,Successful taps increased slightly from 409 to 410.Most  parents topped up on time,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
,Gitiha Secondary School,2026-01-19,White rice and greengrams,160,140,135,0,0,2,5,0,2,2,3,,140,0,,"19 Jan 2026, 12:43:21","19 Jan 2026, 13:05:28",,Food was enough,Queue was smooth,Failed tap had decreased from the previous day,Successful tap had increased,@Kang'ethe Dennis
,Githioro Primary School,2026-01-19,Rice and GREENGRAMS,320,328,303,25,0,2,4,1,2,0,0,,330,0,,"19 Jan 2026, 12:40:55","19 Jan 2026, 13:41:02",,Food was appetising,Line management was organised assisted by tod,"Failed taps reduced from 7 to 4, some parents remembered to top up their accounts on time.",Successful taps increased from 319 to 328. Kids turned up well to school today.,@GITHIORO COMPREHENSIVE
,Gitombo Primary School,2026-01-19,White rice and Green grams,165,173,160,13,0,2,2,1,0,0,0,,175,0,,"19 Jan 2026, 12:40:05","19 Jan 2026, 13:28:15",,Food was delicious.,Queue was manageable by the help of teacher.,Today failed tap was 2 an increase of 2 from 0 Friday parents didn't top up on time.,Actual meals served today was 173 an increase of 11 from 162 Friday's learners show up well today.,@Veronica Mwaura -S/C- Gitombo primary
