Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Kindiga Primary & Junior Secondary School,2026-01-07,Rice and Western.,160,153,134,19,0,2,13,1,2,00,0,,180,00,,"7 Jan 2026, 12:40:31","7 Jan 2026, 13:20:41",,The food was delicious,Lines were well managed with the help of deputy.,"The no of failed taps was 13 higher than yesterday's 5,this is resulted by the system recognising some Grade 9 students as Graduated.",Actual meals increased to 153 from 145 yesterday..students are still reporting back to school.,@James Mbugua SC Kindiga Primary
,Githioro Primary School,2026-01-07,White rice and western,280,277,254,23,0,2,14,4,2,0,0,,300,0,,"7 Jan 2026, 12:35:41","7 Jan 2026, 13:53:47",,Food was appetising,Line management was organised assisted by TOD,"Failed taps increased from yesterdayâ€™s 12 to 14 today, parents forgot to top up their accounts on time","Successful taps increased from yesterdayâ€™s 259 to 277 today, kids are turning up well to school.",@GITHIORO COMPREHENSIVE
,Kiambururu Comprehensive School,2026-01-07,White Rice and Western,250,244,216,28,0,3,5,4,6,3,3,,270,0,,"7 Jan 2026, 12:25:58","7 Jan 2026, 13:30:04",,The food was hot and delicious,Line management was smooth and fast,Failed taps decreased from 8 to 5.We still had parents who Failed to top up on time,Actual meals served increased from 225 to 244.More students reported back to school today,@Kiambururu Comprehensive School
,Catholic Archdiocese Of Nairobi Gataka Primary & Junior Secondary,2026-01-07,Rice and Western,260,245,222,23,1,2,21,6,5,4,5,,260,2,,"7 Jan 2026, 12:42:26","7 Jan 2026, 13:40:54",,The food was delicious,The queue was well managed by the school coordinator.,"The number of failed taps rose from 20 to 21, parents failed to make timely payments for their kids.","The number of actual meals rose from 221 to 245, some Grade 7 kids reported back today.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
,Kiambururu Secondary School,2026-01-07,White rice with western,100,133,133,0,0,3,3,0,0,0,0,,140,0,,"7 Jan 2026, 13:40:54","7 Jan 2026, 14:43:02",,The food was delicious students enjoyed the meal,line management was smooth,"failed taps today was 3 been the first day of opening school, some parents to top up",successful taps was 133 been the day of opening school,@Salome-kiambururu secondary school
,Mathanja Priamry School,2026-01-07,rice and western,200,162,143,19,0,2,3,3,3,10,11,,175,0,,"7 Jan 2026, 12:30:13","7 Jan 2026, 13:30:22",,food was delicious,I managed the queue without any assistance,today we had 3 failed taps an increase compared to yesterday 1. some parents didn't top-up their accounts on time.,today we had 162 actual meals served an increase by 1 compared to yesterday. some new students reported today,@mathanja primary school
,Githiga Primary,2026-01-07,White rice and Western,330,318,287,31,0,3,21,2,7,1,2,,300,0,,"7 Jan 2026, 12:30:51","7 Jan 2026, 13:30:55",,Food was sweet and delicious,Lines Management was smooth,Failed taps increased  from21 to 22.Parents forgot  to top up their accounts.,Actual meals increased  from 286 to 318.turn out was good.,@Nicholas-SC - Githiga Comprehensive
,GATHAITHI PRIMARY,2026-01-07,White rice and western,400,403,370,33,0,3,50,9,3,00,0,,460,5,,"7 Jan 2026, 12:40:56","7 Jan 2026, 13:50:01",,food was good,TOD assisted with queue management,We had 50 failed taps a rise from 21. Some parents failed to top up on time.,Successful taps increased from 351 to 403,@P.C.E.A Gathaithi primary and Junior secondary school@Dennis Macharia clicked Submit and confirmed by
,Gatina Primary School,2026-01-07,white rice and Western,400,391,339,52,0,3,12,19,6,2,3,,410,0,,"7 Jan 2026, 12:31:02","7 Jan 2026, 15:30:13",,food was delicious,line was smooth and orderly,failed taps were 12 a decrease from yesterday's number of 19. More parents managed to credit accounts on time,Actual meals served were 391 an increase from yesterday's number of 338. More accounts had sufficient funds and turn up was high.,@Kang'ethe Dennis
,PCEA Matuguta Secondary School,2026-01-07,White Rice & Western,80,82,82,0,0,2,4,0,0,00,0,,90,00,,"7 Jan 2026, 12:50:00","7 Jan 2026, 13:10:24",,Food was hot and delicious,Queues were orderly and well managed by the help of the tod,Number of failed taps today increased from 03 yesterday to 04 today,Successful taps today were 82 higher in comparison to the projected meals that were 80 and also higher than yesterday's 74,@Njeri -Matuguta secondary school
,Gitiha Secondary School,2026-01-07,White rice and western stew,80,75,75,0,0,2,0,0,0,10,10,,80,0,,"7 Jan 2026, 12:39:02","7 Jan 2026, 13:11:38",,Food was hot and of desired temperatures,The queue was manageable by help from the teacher on duty,"There was no failed taps, improvement noted",The number had decreased since students were sent home for school fees,@Hannah Mbugua
,Ihiga Primary,2026-01-07,Rice and Western,160,153,140,12,0,2,0,6,3,02,5,,150,0,,"7 Jan 2026, 12:40:45","7 Jan 2026, 13:20:55",,Food was Delicious,Queues were manageable,Today's failed taps was 0 a decrease from yesterday's number which was 6.I reached out to parents with insufficient funds to top up.,Successful taps was 153 the same as yesterday's number which was 153.Today's turn up was as yesterday's.,@Naomi SC-Ihiga Comprehensive
,Gatitu Primary,2026-01-07,RICE AND WESTERN.,350,316,291,25,1,3,12,3,8,6,8,,340,1,,"7 Jan 2026, 12:00:49","7 Jan 2026, 13:50:56",,Food was well cooked and enough for all.,Lines moved from class to class under ToD's cordinance.,An increase from 7 to 12 today which was highly resulted by accounts having insufficient or no funds at all..,Successful taps also decreased from 296 to 291 resulted by parents not making timely payments.,@Wambui ikonya -sc- Gatitu comprehensive
