Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Githima Primary,2026-01-22,Turmeric rice and beans,275,276,251,25,4,2,0,0,1,0,0,,278,4,,"22 Jan 2026, 12:25:41","22 Jan 2026, 13:25:45",,The food was hot and delicious,I managed the queue with the help of the deputy headteacher and the kids were disciplined today,We had 0 failed taps which is the same as yesterday's 0 failed taps.Parents are topping up on time.,We had 276 actual meals served which is a decrease from yesterday's 277 actual meals served.A kid was probably absent today or did not queue up to eat.,@Brenda kamawe Githima primary and junior secondary school
,Kiambururu Comprehensive School,2026-01-22,Turmeric Rice and Beans,280,272,246,26,0,3,8,0,4,2,1.5,,275,0,,"22 Jan 2026, 12:40:31","22 Jan 2026, 13:40:41",,The food was delicious,Line management was smooth and fast,Failed taps increased from 4 to 8.Parents failed to top up on time,Actual meals served decreased from 277 to 272.This is because there was an increase in the failed taps,@Kiambururu Comprehensive School
,Githioro Primary School,2026-01-22,Tumeric Rice and Beans,335,335,308,27,0,2,6,1,1,0,0,,335,0,,"22 Jan 2026, 12:38:42","22 Jan 2026, 13:40:52",,Food was appetising,Line management was organised assisted by tod.,"Failed taps remained same as yesterday,  some parents forgot to top up their accounts on time.","Successful taps decreased from 341 to 335 today,  some kids don't show when beans are being served",@GITHIORO COMPREHENSIVE
,Gathiruini Primary School,2026-01-22,Turmeric rice and Beans,245,247,219,28,0,2,3,2,2,0,0,,250,0,,"22 Jan 2026, 12:30:28","22 Jan 2026, 13:30:57",,Lunch was delicious,Line management was good with help of teacher on duty,Failed taps today were 3 same a  yesterday this is because parents didn't top up their accounts on time,Actual meal served today were 247 same as yesterday this is because most students were present today,@Catherine Wanjiru
,Kiawairia Primary,2026-01-22,Tumeric Rice and Beans,140,142,126,16,3,2,3,0,0,0,0,,145,3,,"22 Jan 2026, 12:00:59","22 Jan 2026, 13:30:03",,Food was hot and delicious,Lines were neat and organized,We had 3 failed taps an increase from 1 some parents didn't top up on time,We had 126 successful taps an increase from 123 turn up was good,@Mary kimani SC kiawairia comprehensive school
,PCEA Matuguta Primary & Junior Secondary School,2026-01-22,Turmeric Rice and Beans,460,467,428,39,2,3,16,0,3,0,0,,470,3,,"22 Jan 2026, 12:35:41","22 Jan 2026, 13:30:48",,Food was delicious,Queue was well managed,Failed taps were 16 an increase of 1 tap from yesterday's 15 failed taps. Respective parents had not topped up .,Actual taps were 467 an increase of 10 taps from yesterday's 457 actual meals. The students with sufficient balance came for food.,@Matuguta primary
,Mathanja Priamry School,2026-01-22,turmeric rice and beans,205,203,181,22,0,2,3,0,1,1,1,,205,0,,"22 Jan 2026, 12:20:30","22 Jan 2026, 13:20:40",,food was delicious,I managed the queue without any assistance,today we had 3 failed taps an increase compared to yesterday 2. the parents didn't top-up on time.,today we had 203 actual meals served a decrease compared to yesterday 204. some parents didn't top-up their accounts on time.,@mathanja primary school
,Ihiga Primary,2026-01-22,Turmeric Rice and Beans,160,160,148,12,0,2,2,0,0,0,0,,160,0,,"22 Jan 2026, 12:40:08","22 Jan 2026, 13:15:21",,Food was Enough,Queues were manageable.,Failed taps were 2 a decrease from yesterday's which was 4.Parents didn't top up.,Today's successful taps were 160 the same as yesterday's which was 160.Turn up had been constant.,@Naomi SC-Ihiga Comprehensive
,Kindiga Primary & Junior Secondary School,2026-01-22,Turmeric Rice and Beans,190,200,183,17,0,2,2,0,0,00,0,,200,00,,"22 Jan 2026, 12:40:39","22 Jan 2026, 13:20:49",,The food was delicious,Queues were well managed with the help of TOD.,"Failed taps decreased to 2 from yesterday's 4,parents did not top up accounts.","Successful taps increased to 200 from yesterday's 191,There was high turn out today.",@James Mbugua SC Kindiga Primary
,Gikang'a Kageche Secondary School,2026-01-22,Tumeric Rice and Beans,315,298,298,0,0,3,7,0,2,7,7,,310,0,,"22 Jan 2026, 13:10:11","22 Jan 2026, 13:50:16",,Food was delicious,Queue was well managed by TOD,"Today's failed taps was the same as yesterday, parents didn't top up on time",Today's successful taps decreased from 307 to 298.Turn out was low,@Pauline Gatimu
,GATHAITHI PRIMARY,2026-01-22,TUMERIC RICE AND BEANS,460,455,410,45,5,3,13,0,1,00,0,,460,5,,"22 Jan 2026, 12:35:42","22 Jan 2026, 13:40:26",,Food was great,Queue was well managed by School coordinator,Failed taps dropped from 15 to 13.,Actual meals served dropped from 458 to 455,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
,Gathaithi Secondary School,2026-01-22,Rice and beans,115,117,117,0,0,2,5,0,0,0,0,,120,0,,"22 Jan 2026, 13:17:50","22 Jan 2026, 13:56:02",,Food was delicious,Queuing was fine,We had 5 failed taps a rise from yesterday's 4 due to failure of topping up meal cards,We had a stable number of successful taps  comparing today and yesterday with 117,@Joseph mburu nga'ang'a
,Gathangari Primary School,2026-01-22,Rice and beans,410,412,379,33,0,3,8,0,1,9,0,,420,00,,"22 Jan 2026, 12:30:14","22 Jan 2026, 13:30:20",,Food was hot and delicious,The queue was smoothly managed by the T.O.D,Failed taps increased from 4 to 8. Some parents forgot to top up on time and have urged kids to remind them,Successful taps increased from 410 to 412.Most parents topped up on time,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
,Mukuyu Secondary School,2026-01-22,Tumeric rice and Beans,250,264,264,0,0,3,5,0,6,0,0,,285,0,,"22 Jan 2026, 12:40:07","22 Jan 2026, 13:20:17",,Food was hot and delicious,Queue was well managed,Mukuyu secondary school failed taps increases from 1 to 5. some parents didn't top up,Mukuyu secondary school successful taps increases from 241 to 264.students are reporting back,@Mukuyu Secondary School
,Gatitu Primary,2026-01-22,TUMERIC RICE AND BEANS.,385,381,342,39,1,3,5,0,2,1,1,,385,1,,"22 Jan 2026, 12:20:51","22 Jan 2026, 13:40:11",,Food was well cooked...tasted really great.,ToD helped coordinate students thus movement transitioned orderly.,A decrease from 9 to 5 caused by insufficient funded accounts.,A decrease also from 390 to 381 caused by absenteeism.,@Wambui ikonya -sc- Gatitu comprehensive
,Gitombo Primary School,2026-01-22,Tumeric rice and beans,175,179,165,14,0,2,2,0,1,0,0,,180,0,,"22 Jan 2026, 12:40:26","22 Jan 2026, 13:29:32",,Food was delicious learners enjoyed.,Queue was manageable.,Today failed taps was 2 an increase of 1from 1 yesterday parents didn't top up account on time.,Actual meals served today was 179 just like yesterday the number maintained.,@Veronica Mwaura -S/C- Gitombo primary
,Kiawaiguru Primary School,2026-01-22,Rice and beans,225,222,203,19,0,2,2,0,2,1,1,,225,2,,"22 Jan 2026, 12:20:00","22 Jan 2026, 13:20:00",,Food was delicious.,Queue was oderly.,Failed taps decreased from yesterday’s 4 to today 2.I reminded parents to top up .,Actual meals fed decreased from yesterday’s 223 to today 222.A few pupils from the lower grades were absent.,@KIAWAIGURU PRIMARY SCHOOL
,Kanyore Primary School,2026-01-22,TUMERIC RICE & BEANS,640,638,595,43,4,3,19,1,1,10,15,,620,5,,"22 Jan 2026, 12:30:12","22 Jan 2026, 13:30:17",,Food was delicious,Line management was organized,Number of failed taps decreased from 21 to 19. Reminded the kids to remind their parents to top up.,Number of successful taps increased from 637 to 638.There was no significant change in failed taps so thus the small increase on successful taps.,"@Haron Muiruri,SL Kanyore Primary"
,PCEA Matuguta Secondary School,2026-01-22,White Rice and Beans,125,124,124,0,0,2,3,2,0,00,0,,125,00,,"22 Jan 2026, 13:30:13","22 Jan 2026, 13:50:20",,Food was hot and delicious,Queues were orderly and well managed by me,Failed taps today increased from 01 yesterday to 03 today,Successful taps today were 124 lower by 01 from the projected meals that were 125,@Njeri -Matuguta secondary school
,Gitiha Secondary School,2026-01-22,White rice and beans stew,145,143,143,0,0,2,10,0,2,0,0,,140,0,,"22 Jan 2026, 12:50:30","22 Jan 2026, 13:17:36",,Food was enough,Queue was managable,Failed tap had increased from the previous day,Successful tap was constant,@Kang'ethe Dennis
,Githiga Primary,2026-01-22,T Rice and Beans,428,421,381,40,0,3,24,2,6,1,0.5,,420,0,,"22 Jan 2026, 12:30:20","22 Jan 2026, 13:58:32",,Food was sweet and delicious,Line Management was smooth,Failed taps remained constant  at 24,Actual meals  decreased  by 6 from 427.we Managed to serve  to serve 421.,@Nicholas-SC - Githiga Comprehensive
,Kiambururu Secondary School,2026-01-22,Turmeric Rice with beans,200,208,208,0,0,3,2,0,2,0,0,,215,0,,"22 Jan 2026, 13:20:32","22 Jan 2026, 13:40:44",,The meal was delicious,Line was well managed,Failed taps today was 2 compared to previous which there was none.,Successful taps was 208 an increase from previous which was 198 more students came for lunch.,@Salome-kiambururu secondary school
,Catholic Archdiocese Of Nairobi Gataka Primary & Junior Secondary,2026-01-22,Tumeric Rice and Beans,300,298,272,26,0,2,11,0,1,0.5,1,,300,0,,"22 Jan 2026, 12:37:02","22 Jan 2026, 13:40:13",,The food was delicious,The queue was well managed by the school coordinator,"The number of failed taps rose from 7 to 11, we reminded kids to request their parents to top up","The number of actual meals dropped from 300 to 298, some parents failed to make timely payments for their kids.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
,Gatina Primary School,2026-01-22,Turmeric rice and beans,455,460,395,65,0,3,11,1,1,0,0,,450,0,,"22 Jan 2026, 12:37:21","22 Jan 2026, 13:27:31",,Kids enjoyed  the meal,Line was smooth and orderly,"Failed taps were 11,  a decrease compared to yesterday's number of 12 , more parents managed to credit account thus reducing the failed taps.","Actual meal served were 460 an increase compared to yesterday's number of 455, high turn up and sufficient fund accounts led to raise of the number.",@Kang'ethe Dennis
