Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Kahunira Comprehensive School,2026-01-15,White Rice & Green Grams,690,720,661,59,0,4,22,2,8,00,0,0,690,0,4,"15 Jan 2026, 12:40:45","15 Jan 2026, 13:35:53",Being on Friday turn out is usually low.,"Food was delicious, students enjoyed bananas.",Queue management was well executed by teacher on duty.,Failed taps increased slightly from 21 to 22.,"Actual meals served today increased greatly from 700 to 720,this was contributed by distribution of bananas today.",@Mwangi Mary Kahunira Comprehensive
,Ciiko Primary,2026-01-15,Rice and Greengrams,960,965,904,61,0,5,9,0,13,5,10,0,965,0,5,"15 Jan 2026, 12:29:01","15 Jan 2026, 13:30:08",We expect the same turnout as today.,Food was hot and delicious,The queue was managed by the teacher on duty,Failed taps decreased from 15 to 9,Successful taps increased from 955  to 965.,@Ciiko Comprehensive school -SL- Samy Migwi
,Kahunira Secondary School,2026-01-15,White rice & Green Gram,140,149,149,0,0,3,4,2,3,0,0,0,160,0,3,"15 Jan 2026, 13:00:23","15 Jan 2026, 13:30:36",Expecting grade 10 students to,Food was delicious,Queue was well managed by TOD,"Failed taps increased from 2 to 4, some parents didn't top up their accounts","Meals served today decreased from 150 to 149, parents didn't top up their accounts",@Tapper kahunira secondary
,Githunguri Technical & Secondary School,2026-01-15,Rice and Green grams,162,157,157,0,0,2,5,6,23,2,3,0,170,0,2,"15 Jan 2026, 13:30:41","15 Jan 2026, 14:00:49",We expect a rise of successful taps tomorrow,Food was delicious and warm,Queue was well manageable by teacher on duty,Failed taps today was 5 which is a increase compared from 2 to 5 parents didn't top up,Actual meal served today was 157 which is a increase compared from 149 to 157 parents top up,"@Yvonne mugure, Githunguri Technical And Secondary School , Tapper"
,Kiawairia Primary,2026-01-15,Rice and Greengrams,130,129,113,16,3,2,4,0,1,2,2,,130,2,,"15 Jan 2026, 12:00:46","15 Jan 2026, 13:30:52",,Food was delicious,Lines were neat and ordely,We had 4 failed taps an increase from 1 some parents didn't top up on time,We had 113 successful taps a decrease from 116 due to high failed taps,@Mary kimani SC kiawairia comprehensive school
,Gathiruini Primary School,2026-01-15,Rice and Green grams,245,246,220,26,0,2,3,1,2,0,0,,250,0,,"15 Jan 2026, 12:30:47","15 Jan 2026, 13:30:57",,Lunch was delicious,Line management was good with help of teacher on duty,Failed taps today were 3 an increase from 2 this is because parents didn't top up their accounts on time,Actual meal served today were 246 an increase from 240 this is because most students were present today,@Catherine Wanjiru
,Kiawaiguru Primary School,2026-01-15,Rice and Green Grams,220,219,200,19,0,2,0,0,3,0,0,,220,2,,"15 Jan 2026, 12:30:00","15 Jan 2026, 13:20:00",,Food was delicious.,Line transtioned from class to class in an oderly manner.,Failed taps were 0 just like yesterday. I managed to remind most parents to top up before lunch.,Actual meals served was 219 just like yesterday.Most pupils reported to school.,@KIAWAIGURU PRIMARY SCHOOL
,Catholic Archdiocese Of Nairobi Gataka Primary & Junior Secondary,2026-01-15,Rice and Greengrams,290,276,259,17,0,2,7,0,2,4,0,,280,1,,"15 Jan 2026, 12:35:22","15 Jan 2026, 13:40:44",,The food was delicious,The queue was well managed by the school coordinator,"The number of failed taps remained at 7, we reminded kids to request their parents to top up.","The number of actual meals dropped from 289 to 276, some parents failed to make timely payments for their kids",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
,Gikang'a Kageche Secondary School,2026-01-15,Rice and Green Grams,260,260,260,0,0,3,7,7,19,0,0,,280,0,,"15 Jan 2026, 13:10:49","15 Jan 2026, 13:43:58",,Food was delicious,Queue was smoothly managed by the help of TOD,Today's failed taps increased from 4 to 7..parents didn't top up on time and 2 students using meal card from different schools,Today's successful taps was 260 an increase from yesterday which was 245.. students turn out was good,@Pauline Gatimu
,Ihiga Primary,2026-01-15,White Rice and Green Grams,170,157,144,13,0,2,5,0,0,5,10,,160,0,,"15 Jan 2026, 12:40:01","15 Jan 2026, 13:10:07",,Food was Hot.,Queues were manageable.,Failed taps were 5 an increase from yesterday's which was 0.Parents didn't top up.,Successful taps 157 a decrease from yesterday's which was 172.The drop was caused by failed taps and most kids don't show up on green grams day.,@Naomi SC-Ihiga Comprehensive
,Kindiga Primary & Junior Secondary School,2026-01-15,White Rice and GG,190,190,172,18,0,2,0,0,1,00,0,,190,00,,"15 Jan 2026, 12:40:04","15 Jan 2026, 13:20:12",,The food was delicious.,Queues were well managed with the help of TOD,"The no of failed taps today was 0,parents topped up accounts on time.","Successful taps increased to 190 from yesterday's 186,Turn out was high and parents topped up accounts.",@James Mbugua SC Kindiga Primary
,Kanyore Primary School,2026-01-15,Rice and green grams,620,642,600,42,0,3,16,0,6,5,0,,640,7,,"15 Jan 2026, 12:40:00","15 Jan 2026, 13:26:00",,Food was delicious,Queue was well managed,The number of failed taps increased from yesterday’s 14 to today’s 16 because more parents failed to top up the accounts.,The number of actual taps increased from yesterday’s 609 to today’s 642 because more kids were present.,@Kanyore Comprehensive School
,Mathanja Priamry School,2026-01-15,rice and green grams,195,196,178,18,0,2,1,0,1,0,0,,195,0,,"15 Jan 2026, 12:20:23","15 Jan 2026, 13:30:31",,food was delicious,I managed the queue without any assistance,today we had only 1 failed tap same as yesterday.,today we had 196 actual meals served an increase compared to yesterday 191. more kids were present today.,@mathanja primary school
,Kiambururu Secondary School,2026-01-15,Rice with Gg,200,194,194,0,0,3,3,1,2,0,0,,200,0,,"15 Jan 2026, 13:20:00","15 Jan 2026, 14:00:09",,The food was delicious,Line management was smooth,"Failed taps was 3 compared to previous which was 1, some parents forgot to top up",Successful taps was 194 compared to previous which was 191 a slightly increase.,@Salome-kiambururu secondary school
,Mukuyu Secondary School,2026-01-15,Rice and GG,300,293,293,0,0,3,11,1,27,10,0,,310,0,,"15 Jan 2026, 12:40:22","15 Jan 2026, 13:20:34",,Food was delicious,Queue was well managed,Mukuyu secondary school failed taps is equivalent to yesterday because same parents didn't top up,Mukuyu secondary school success actual taps increases to 293 compared to previous on which was 274 because students are still reporting,@Mukuyu Secondary School
,GATHAITHI PRIMARY,2026-01-15,Rice and Greengrams,475,488,440,48,2,3,15,2,3,00,0,,485,00,,"15 Jan 2026, 12:40:04","15 Jan 2026, 13:40:11",,Food was delicious,Teachers on duty managed the queue successfully,Failed taps increased from 9 to 15. Some parents failed to top up accounts on time,Successful taps increased from 472 to 488,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
,PCEA Matuguta Secondary School,2026-01-15,White Rice and Green grams,110,108,108,0,0,2,3,0,0,00,0,,110,00,,"15 Jan 2026, 13:30:46","15 Jan 2026, 13:45:54",,Food was hot and delicious,Queues were orderly and well managed by the help of the tod,Failed taps today remained same as yesterday. Respective parents didn't top up,Successful taps today were 108 lower in comparison to the projected meals that were 110 and also lower than yesterday's 125,@Njeri -Matuguta secondary school
,Kiambururu Comprehensive School,2026-01-15,White Rice and GG,275,275,246,29,0,3,13,7,3,0,0,,280,0,,"15 Jan 2026, 12:30:34","15 Jan 2026, 13:40:38",,The food was hot and delicious,Line management was smooth and fast,Failed taps increased from 4 to 13.Many parents failedbto top up on time today,Actual meals served increased from 269 to 275.We had new registrations today and student turnout was also high,@Kiambururu Comprehensive School
,Gitombo Primary School,2026-01-15,White rice and Green grams,180,176,163,13,0,2,1,0,1,1,1,,180,0,,"15 Jan 2026, 12:30:09","15 Jan 2026, 13:39:16",,Food was delicious.,Queue was manageable.,Today failed tap was 1 just like yesterday the number maintained.,Actual meals served today was 176 a decrease of 1 from 177 yesterday this is due to absenteeism.,@Veronica Mwaura -S/C- Gitombo primary
,Gatina Primary School,2026-01-15,White rice and Greengrams,450,438,375,63,0,3,13,3,4,5,7,,440,0,,"15 Jan 2026, 12:38:21","15 Jan 2026, 13:30:54",,Food was warm and delicious,Line was smooth and orderly.,"Failed taps decreased from 15 to 13, more sufficient account fund resulted to increase of failed taps.","Actual meal served were 438 a decrease from yesterday's number of 447, some kids were absent and failed taps were more.",@Kang'ethe Dennis
,Githioro Primary School,2026-01-15,White Rice and GREENGRAMS,330,339,314,25,0,2,3,2,3,0,0,,330,0,,"15 Jan 2026, 12:35:18","15 Jan 2026, 13:45:23",,Food wa appetising,Line management was organised assisted by tod,"Failed taps reduced from 5 to 3, parents remembered to top up their accounts.","Successful taps increased from 335 to 339, numbers are still increasing",@GITHIORO COMPREHENSIVE
,Githiga Primary,2026-01-15,Whiterice and  Green grams,390,384,351,33,0,3,31,1,1,1,2,,385,0,,"15 Jan 2026, 12:29:28","15 Jan 2026, 13:50:33",,Food was sweet and delicious,Line Management was smooth.,Failed taps increased  from 22 to 33.parents forgot to  top up.,Actual meals decreased  from 390 to 384. Turnout decreased and failed taps.,@Nicholas-SC - Githiga Comprehensive
,Gathaithi Secondary School,2026-01-15,Rice and green grams,110,112,112,0,0,2,6,0,6,0,0,,115,0,,"15 Jan 2026, 13:21:39","15 Jan 2026, 13:45:52",,Food was delicious,Queuing was done in order,We had 6 failed taps a rise from 5 due to failure of topping up,We  had 112 successful taps a rise from yesterday's  96 due more students attendance,@Joseph mburu nga'ang'a
,Gitiha Secondary School,2026-01-15,White rice and greengarams,140,136,136,0,0,2,8,0,4,2,3,,130,0,,"15 Jan 2026, 12:40:27","15 Jan 2026, 13:05:34",,Food was enough,The queue was smooth and managable,The failed taps had decreased from the previous day,Successful taps had increased from the previous day,@Kang'ethe Dennis
,Gathangari Primary School,2026-01-15,Rice and green grams,410,409,409,29,0,3,12,1,2,0,0,,415,0,,"15 Jan 2026, 12:20:42","15 Jan 2026, 14:00:50",,The Food was hot and sweet,Line was well managed,Today I had 12 filed taps and yesterday was 9,Yesterday successful taps were 409 and today were 409,@ANTHONY
,Gatitu Primary,2026-01-15,RICE AND GREEN GRAMS & BANANAS.,380,380,343,37,0,3,18,5,2,00,0,,385,1,,"15 Jan 2026, 12:20:38","15 Jan 2026, 13:50:06",,Today's food was well cooked... students enjoyed the bananas.,"Orderly queues  were made,which transitioned swiftly from one class to another.",Failed taos have increased from 10 to 18..some parents didn't pick up the calls thus some accounts having no funds at all..,Successful taps increased from 341 to 343... Most parents remembered to top up on time.,@Wambui ikonya -sc- Gatitu comprehensive
,PCEA Matuguta Primary & Junior Secondary School,2026-01-15,Rice and Greengrams,440,457,423,34,4,3,14,0,0,0,0,,460,4,,"15 Jan 2026, 12:35:02","15 Jan 2026, 13:40:12",,Food was delicious and sweet,Queue was well managed,Failed taps were 14 a decrease of 10 taps from yesterday's 24 failed taps. Respective parents had not topped up.,Actual Meals were 457 an increase of 24 taps from yesterday's 433 actual meals. Some of the students with failed taps yesterday topped up their accounts,@Matuguta primary
,Githima Primary,2026-01-15,White rice and green grams,265,269,243,26,4,2,1,0,2,0,0,,270,4,,"15 Jan 2026, 12:30:57","15 Jan 2026, 13:30:04",,The food was delicious,I managed the queue and the  kids were organized today.,We had 0ne failed tap which is an increase from yesterday's 0 failed taps.A parent forgot to top up on time.,We had 269 actual meals served which is an increase from yesterday's 266 actual meals served.The turn out was high and also parents managed to top up their accounts on time.,@Brenda kamawe Githima primary and junior secondary school
,Kiawairia Secondary School,2026-01-15,White rice and green grams,50,44,44,0,0,2,0,0,3,2,2,,50,0,,"15 Jan 2026, 13:25:25","15 Jan 2026, 13:35:31",,"Food was appetizing , yummy and hot",Line management was transitioning good,Failed taps decreased from 1 to 0 parents topped up their accounts on time,Actual meals increased from 43 to 44 grade 10 students are continuing to report,@Patrick Kariuki Kiawaria secondary school Tapper
,Kiababu Primary School,2026-01-15,Rice and green grams,270,263,237,26,0,2,11,0,7,2,3,0,270,0,2,"15 Jan 2026, 12:40:18","15 Jan 2026, 13:30:25",Expecting more kids to,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps increased from 7 to 11 as some parents did not manage to pay on Time,Successful taps decreased from 264 to 264 as some parents did not manage to pay on Time,@kiaibabu primary school
